
[00:00:00.000 --> 00:00:01.740]  很主要的人物
[00:00:01.740 --> 00:00:03.980]  我不知道你們應該聽出來了對不對
[00:00:03.980 --> 00:00:05.740]  那麼就是耶穌
[00:00:05.740 --> 00:00:08.220]  一切都是圍繞著他
[00:00:08.220 --> 00:00:10.680]  也就是整個信息的中心
[00:00:10.680 --> 00:00:14.520]  那麼這位耶穌到底是誰呢
[00:00:14.520 --> 00:00:17.120]  我覺得不但我們應該問這個問題
[00:00:17.120 --> 00:00:21.020]  而且我們從聖經裡面
[00:00:21.020 --> 00:00:26.400]  特別是在聖經新約前面四本書裡面
[00:00:26.400 --> 00:00:28.900]  我們發現這四本書呢
[00:00:28.900 --> 00:00:34.800]  都是在講主耶穌他活在世界上的一生
[00:00:34.800 --> 00:00:37.000]  就是記載他一生的事情
[00:00:37.000 --> 00:00:41.780]  那麼我們看見他和他所做的事情
[00:00:41.780 --> 00:00:45.340]  裡面有很多很多很奇妙的事情
[00:00:45.340 --> 00:00:46.440]  那麼就像約翰
[00:00:46.440 --> 00:00:48.480]  他的門徒約翰他說
[00:00:48.480 --> 00:00:50.480]  他所做的很多奇妙的事情
[00:00:50.480 --> 00:00:53.560]  神蹟如果全部都要寫下來的話
[00:00:53.560 --> 00:00:55.320]  那麼寫不完的
[00:00:55.320 --> 00:00:59.800]  世界上所有的紙都沒有辦法把它用完的
[00:00:59.800 --> 00:01:01.260]  那麼當時的人
[00:01:01.260 --> 00:01:04.000]  他們在看到耶穌做這些事情之後
[00:01:04.000 --> 00:01:06.600]  他們也會問同樣的一個問題
[00:01:06.600 --> 00:01:11.640]  他們的問題就是說這個人到底是誰
[00:01:11.640 --> 00:01:13.780]  他可以叫瞎子看見
[00:01:13.780 --> 00:01:15.780]  一個生來就是眼睛是瞎的
[00:01:15.780 --> 00:01:17.140]  他可以叫他看見
[00:01:17.140 --> 00:01:19.240]  他可以叫妾子行走
[00:01:19.240 --> 00:01:26.160]  他也可以叫這些各式各樣的病的
[00:01:26.160 --> 00:01:27.760]  被鬼附的
[00:01:27.760 --> 00:01:30.220]  那麼都可以叫他們
[00:01:30.220 --> 00:01:32.260]  都可以醫治他們的病
[00:01:32.260 --> 00:01:34.460]  然後他也可以叫死了的人
[00:01:34.460 --> 00:01:36.260]  從死裡復活
[00:01:36.260 --> 00:01:42.240]  甚至他連風和海都聽他的
[00:01:42.240 --> 00:01:46.000]  那麼連鬼都得聽他的
[00:01:46.000 --> 00:01:48.480]  所以他們跟隨他的人
[00:01:48.480 --> 00:01:50.180]  就是問一個問題
