
[00:00:00.000 --> 00:00:02.600]  6月對於許多香港人而言
[00:00:02.600 --> 00:00:06.720]  是一個令人思潮起伏的月份
[00:00:06.720 --> 00:00:09.480]  即使不談32年前「六四」事件
[00:00:09.480 --> 00:00:12.160]  引發香港人思緒的林林總總
[00:00:12.160 --> 00:00:19.160]  談及一些不論是一年前6月通過和實施的「國安安全法」
[00:00:19.160 --> 00:00:22.960]  還是兩年前的6月因為反修例風波
[00:00:22.960 --> 00:00:26.360]  而出現一連串的大規模的社會運動
[00:00:26.360 --> 00:00:30.800]  都徹底地改變了香港這座城市的面貌
[00:00:30.800 --> 00:00:34.480]  如果令到香港人的未來從此不再一樣
[00:00:34.480 --> 00:00:38.640]  我們想不到的是一宗發生在台灣的兇殺案
[00:00:38.640 --> 00:00:43.720]  最後竟然會演變成接近一年多的政治風暴
[00:00:43.720 --> 00:00:47.040]  不單影響了香港裏的人與人
[00:00:47.040 --> 00:00:51.480]  群眾與群眾以及人與政府之間的關係
[00:00:51.480 --> 00:00:57.160]  還震盪到中國在國際社會當中與其他國家之間的關係
[00:00:57.160 --> 00:01:00.960]  餘波到今天仍然未完
[00:01:00.960 --> 00:01:04.400]  更加想不到的是去到去年的年初
[00:01:04.400 --> 00:01:07.360]  一粒細小到我們肉眼都看不到
[00:01:07.360 --> 00:01:11.200]  現在還未知道來源的新型冠狀病毒
[00:01:11.200 --> 00:01:13.760]  令到疫情席捲全球
[00:01:13.760 --> 00:01:18.880]  到現在已經造成了超過1億7千多萬宗的感染個案
[00:01:18.880 --> 00:01:20.560]  超過三百多萬人
[00:01:20.560 --> 00:01:23.120]  因此而死亡
[00:01:23.120 --> 00:01:26.560]  帶來的經濟破壞更加無從估計
[00:01:26.560 --> 00:01:31.840]  無數的人要過著失業或停課的日子
[00:01:31.840 --> 00:01:33.720]  星星之火可以燎原
[00:01:33.720 --> 00:01:37.040]  可以說是這兩件事最好的一個注腳
[00:01:37.040 --> 00:01:38.440]  一開始的時候
[00:01:38.440 --> 00:01:41.600]  沒有人會意料到一些似乎微不足道的事情
[00:01:41.600 --> 00:01:45.960]  會帶來日後巨大的一些改變
[00:01:45.960 --> 00:01:48.080]  按照著主日經課的編排
[00:01:48.080 --> 00:01:53.120]  今天我們讀到福音書馬學福音第四章二十六至三十四節
[00:01:53.120 --> 00:01:55.920]  在這裡耶穌講了兩個比喻
[00:01:55.920 --> 00:01:59.640]  兩個都是和上帝的國有關的
[00:01:59.640 --> 00:02:03.360]  神的國一開始看來好像毫不起眼
[00:02:03.360 --> 00:02:06.000]  但在人意想不到的情況下
[00:02:06.000 --> 00:02:08.880]  竟然出現了爆炸性的發展
[00:02:08.880 --> 00:02:14.400]  深深影響著這個世界和改變人的生命
[00:02:14.400 --> 00:02:16.360]  我們先看第一個比喻
[00:02:16.360 --> 00:02:18.920]  一個有關種子長大的比喻
[00:02:18.920 --> 00:02:22.640]  記載在二十六至二十九節
[00:02:22.640 --> 00:02:26.040]  有說上帝的國如同人把種子撒在地上
[00:02:26.040 --> 00:02:28.640]  黑夜睡覺 白日起來
[00:02:28.640 --> 00:02:30.760]  這種就發芽 漸長
[00:02:30.760 --> 00:02:36.600]  那人卻不曉得如何這樣
[00:02:36.600 --> 00:02:37.840]  在這個比喻裡
[00:02:37.840 --> 00:02:41.040]  耶穌說上帝的國就好像種子一樣
[00:02:41.040 --> 00:02:45.040]  當撒到地上的時候就開始發芽生長
[00:02:45.040 --> 00:02:47.320]  耶穌要表達的就是一顆種子的發芽
[00:02:47.320 --> 00:02:48.960]  生長和結實
[00:02:48.960 --> 00:02:52.400]  靠的不只是殺種的人的努力
[00:02:52.400 --> 00:02:56.440]  因為這個人連植物如何生長他也不清楚
[00:02:56.440 --> 00:02:59.360]  殺下的種子究竟會怎樣
[00:02:59.360 --> 00:03:01.480]  他也不能確定
