
[00:00:00.000 --> 00:00:03.920]  中國人說「齊家治國平天下」
[00:00:03.920 --> 00:00:05.920]  甚麼叫做齊家?
[00:00:05.920 --> 00:00:10.220]  齊家就是令到家庭的成員能夠和睦相處
[00:00:10.220 --> 00:00:13.320]  一個家是由夫妻來到開始
[00:00:13.320 --> 00:00:16.880]  一個家庭是社會最基本的單位
[00:00:16.880 --> 00:00:20.780]  所以夫妻的關係是非常非常之重要
[00:00:20.780 --> 00:00:24.220]  今天就要跟大家講是《針研》的第五講
[00:00:24.220 --> 00:00:26.400]  是夫妻的智慧
[00:00:26.400 --> 00:00:31.620]  有一個小朋友放學回到家裡
[00:00:31.620 --> 00:00:33.720]  他跟爸爸說「爸爸 爸爸
[00:00:33.720 --> 00:00:35.980]  我今天學到一些很有趣的東西
[00:00:35.980 --> 00:00:37.600]  老師告訴我
[00:00:37.600 --> 00:00:40.120]  原來中國在古代的時候
[00:00:40.120 --> 00:00:41.620]  一段婚姻
[00:00:41.620 --> 00:00:43.760]  丈夫娶妻子回來
[00:00:43.760 --> 00:00:45.260]  他完全不明白
[00:00:45.260 --> 00:00:47.760]  完全不認識這個妻子
[00:00:47.760 --> 00:00:50.400]  原來是盲婚啞嫁
[00:00:50.400 --> 00:00:52.800]  這個爸爸跟兒子說
[00:00:52.800 --> 00:00:55.080]  他說「兒子 不出奇
[00:00:55.080 --> 00:00:58.060]  我和你媽媽相處了這麼久
[00:00:58.060 --> 00:00:59.560]  我仍然不明白她
[00:00:59.560 --> 00:01:02.160]  我仍然不認識她」
[00:01:02.160 --> 00:01:07.040]  這個正是美國家庭大部份出現的問題
[00:01:07.040 --> 00:01:09.160]  根據調查數字
[00:01:09.160 --> 00:01:13.120]  50%的婚姻都會分裂
[00:01:13.120 --> 00:01:15.880]  都會有離婚
[00:01:15.880 --> 00:01:17.640]  最令人驚訝的
[00:01:17.640 --> 00:01:20.680]  就是基督徒的離婚數字
[00:01:20.680 --> 00:01:23.160]  不比非基督徒來的少
[00:01:23.160 --> 00:01:25.920]  這個令到人家真的很驚訝
[00:01:25.920 --> 00:01:28.880]  而且還有一個很可怕的數字
[00:01:28.880 --> 00:01:32.240]  就是由這些破碎家庭出來的兒女
[00:01:32.240 --> 00:01:36.800]  他們的家庭都很有可能成為破碎
[00:01:36.800 --> 00:01:40.800]  《針研》就是一本充滿了智慧的書
[00:01:40.800 --> 00:01:45.320]  《針研》也是充滿了對婚姻的教導
[00:01:45.320 --> 00:01:47.600]  如果我們能夠將這些教導
