
[00:00:00.000 --> 00:00:02.000]  領事會主內平安
[00:00:02.000 --> 00:00:04.000]  過去有三個月的時間
[00:00:04.000 --> 00:00:06.000]  我放假去進修
[00:00:06.000 --> 00:00:07.000]  所以有一段時間
[00:00:07.000 --> 00:00:09.000]  有一段日子不在大家的當中
[00:00:09.000 --> 00:00:13.000]  盼望大家別來無恙
[00:00:13.000 --> 00:00:15.000]  夢神的保守
[00:00:15.000 --> 00:00:17.000]  都是有安好
[00:00:17.000 --> 00:00:19.000]  在今天的早上
[00:00:19.000 --> 00:00:21.000]  我們繼續一齊思想
[00:00:21.000 --> 00:00:22.000]  約翰福音裡面
[00:00:22.000 --> 00:00:25.000]  耶穌所施行的神蹟
[00:00:25.000 --> 00:00:26.000]  今天我們來到
[00:00:26.000 --> 00:00:29.000]  耶穌所施行的第三個神蹟
[00:00:29.000 --> 00:00:31.000]  在約翰福音五章
[00:00:31.000 --> 00:00:34.000]  是一個有關醫治的神蹟
[00:00:34.000 --> 00:00:35.000]  究竟神在今天早上
[00:00:35.000 --> 00:00:36.000]  要透過這段經文
[00:00:36.000 --> 00:00:39.000]  給我們有什麼提醒
[00:00:39.000 --> 00:00:42.000]  給我們去檢視我們的生命
[00:00:42.000 --> 00:00:44.000]  我們有什麼地方
[00:00:44.000 --> 00:00:45.000]  是需要有突破
[00:00:45.000 --> 00:00:47.000]  需要有更新
[00:00:47.000 --> 00:00:49.000]  以致我們能夠可以進入
[00:00:49.000 --> 00:00:52.000]  真正的豐盛裡面呢
[00:00:52.000 --> 00:00:53.000]  首先讓我們一起
[00:00:53.000 --> 00:00:55.000]  同讀這一段的經文
[00:00:55.000 --> 00:00:58.000]  我們讀完括弧裡面的內容
[00:00:58.000 --> 00:01:00.000]  預備起
[00:01:00.000 --> 00:01:01.000]  這時以後
[00:01:01.000 --> 00:01:04.000]  到了猶太人的一個節期
[00:01:04.000 --> 00:01:09.000]  耶穌就上耶路撒冷
[00:01:09.000 --> 00:01:11.000]  有一個詞紙
[00:01:11.000 --> 00:01:14.000]  希伯來話叫作「不是大」
[00:01:14.000 --> 00:01:16.000]  旁邊有五個囊子
[00:01:16.000 --> 00:01:18.000]  裡面躺著核眼的
[00:01:18.000 --> 00:01:19.000]  渠腿的
[00:01:19.000 --> 00:01:22.000]  血氣枯乾的許多病人
[00:01:22.000 --> 00:01:26.000]  有股卷加等候水洞
[00:01:26.000 --> 00:01:28.000]  因為有天使按時下
[00:01:28.000 --> 00:01:30.000]  詞紙攪動那水
[00:01:30.000 --> 00:01:31.000]  水洞之後
[00:01:31.000 --> 00:01:33.000]  誰先下去
[00:01:33.000 --> 00:01:36.000]  無論害什麼病就痊癒了
[00:01:36.000 --> 00:01:38.000]  在那裡有一個人
[00:01:38.000 --> 00:01:40.000]  病了三十八年
[00:01:40.000 --> 00:01:42.000]  耶穌看見他躺著
[00:01:42.000 --> 00:01:45.000]  知道他病了許久
[00:01:45.000 --> 00:01:46.000]  就問他說
[00:01:46.000 --> 00:01:48.000]  「你要痊癒嗎」
[00:01:48.000 --> 00:01:50.000]  病人回答說
[00:01:50.000 --> 00:01:52.000]  「先生,水洞的時候
[00:01:52.000 --> 00:01:55.000]  沒有人把我放在詞紙裡
[00:01:55.000 --> 00:01:57.000]  我正去的時候
[00:01:57.000 --> 00:02:00.000]  就有別人讓我先下去」
[00:02:00.000 --> 00:02:01.000]  耶穌對他說
[00:02:01.000 --> 00:02:04.000]  「起來,拿起你的玉子走吧
[00:02:04.000 --> 00:02:06.000]  那人立刻痊癒
[00:02:06.000 --> 00:02:09.000]  就拿起玉子來走了
[00:02:09.000 --> 00:02:11.000]  那天是安息日
[00:02:11.000 --> 00:02:14.000]  所以猶太人對那醫好的人說
[00:02:14.000 --> 00:02:16.000]  今天是安息日
[00:02:16.000 --> 00:02:18.000]  你拿玉子是不可的」
[00:02:18.000 --> 00:02:20.000]  他卻回答說
[00:02:20.000 --> 00:02:23.000]  「那使我痊癒的對我說
[00:02:23.000 --> 00:02:25.000]  拿你的玉子走吧」
[00:02:25.000 --> 00:02:26.000]  他們問他說
[00:02:26.000 --> 00:02:30.000]  「對你說拿玉子走的是什麼人」
[00:02:30.000 --> 00:02:33.000]  那醫好的人不知道是誰
[00:02:33.000 --> 00:02:35.000]  因為那裡的人多
[00:02:35.000 --> 00:02:37.000]  耶穌已經躲開了
[00:02:37.000 --> 00:02:40.000]  後來連累遇見他
[00:02:40.000 --> 00:02:41.000]  對他說
[00:02:41.000 --> 00:02:43.000]  「你已經痊癒了
[00:02:43.000 --> 00:02:45.000]  不要再犯罪
[00:02:45.000 --> 00:02:48.000]  恐怕你遭遇的更加厲害
[00:02:48.000 --> 00:02:50.000]  那人就去告訴猶太人
[00:02:50.000 --> 00:02:53.000]  使他痊癒的是耶穌」
[00:02:53.000 --> 00:02:57.000]  讓我們同心低頭祈禱
[00:02:57.000 --> 00:02:58.000]  親愛的主
[00:02:58.000 --> 00:03:00.000]  我們多謝你的愛
[00:03:00.000 --> 00:03:02.000]  多謝你的拯救
[00:03:02.000 --> 00:03:03.000]  在這一刻
[00:03:03.000 --> 00:03:06.000]  我們要一齊思想你的說話
[00:03:06.000 --> 00:03:08.000]  但願聖靈在我們當中
[00:03:08.000 --> 00:03:10.000]  開啟我們的耳朵
[00:03:10.000 --> 00:03:12.000]  啟迪我們的心靈
[00:03:12.000 --> 00:03:13.000]  讓我們聽得明白
[00:03:13.000 --> 00:03:15.000]  得著鼓勵
[00:03:15.000 --> 00:03:16.000]  並且能夠行在
[00:03:16.000 --> 00:03:19.000]  我們每一天的生活當中
[00:03:19.000 --> 00:03:21.000]  多謝你聽我同心地祈禱
[00:03:21.000 --> 00:03:23.000]  奉耶穌基督聖名
[00:03:23.000 --> 00:03:24.000]  阿們
[00:03:24.000 --> 00:03:27.000]  剛才所讀的一段經文
[00:03:27.000 --> 00:03:29.000]  是《約翰福音》裡記載的
[00:03:29.000 --> 00:03:32.000]  耶穌所行的第三個神蹟
[00:03:32.000 --> 00:03:34.000]  是一個病了三十八年的人
[00:03:34.000 --> 00:03:37.000]  蒙耶穌醫治的記載
