
[00:00:00.000 --> 00:00:06.000]  我們聽到之先我們一齊祈禱
[00:00:06.000 --> 00:00:08.400]  真祢的靈,我們多謝祢
[00:00:08.400 --> 00:00:10.700]  我們懇求祢與我們同在
[00:00:10.700 --> 00:00:12.500]  打開我們的心眼
[00:00:12.500 --> 00:00:17.200]  讓我們能夠聆聽祢自己寶貴的話語
[00:00:17.200 --> 00:00:19.200]  我們這樣的祈禱
[00:00:19.200 --> 00:00:23.500]  奉耶穌的名,阿們
[00:00:23.500 --> 00:00:30.500]  鄧小妹有沒有聽過教會年曆這個名詞?
[00:00:30.500 --> 00:00:35.500]  這個其實是傳統教會,大公教會
[00:00:35.500 --> 00:00:42.500]  是一個很寶貴的遺產
[00:00:42.500 --> 00:00:46.500]  主要是將耶穌基督的生平
[00:00:46.500 --> 00:00:49.500]  劃分了不同的時期
[00:00:49.500 --> 00:00:52.500]  有些的節期我們是很熟悉的
[00:00:52.500 --> 00:00:54.500]  我讀一下
[00:00:54.500 --> 00:00:57.500]  「張臨期」這個可能是陌生一點的
[00:00:57.500 --> 00:01:00.500]  但接下來就是「聖誕期」
[00:01:00.500 --> 00:01:02.500]  我們很熟悉的「聖誕節」
[00:01:02.500 --> 00:01:07.500]  「張臨期」就是在聖誕節之前四個的主日
[00:01:07.500 --> 00:01:09.500]  過了聖誕期
[00:01:09.500 --> 00:01:12.500]  然後就有「顯現期」
[00:01:12.500 --> 00:01:17.500]  再進到就是我們更加熟悉的「御輔期」
[00:01:17.500 --> 00:01:20.500]  或者有些教會叫做「大齋期」
[00:01:20.500 --> 00:01:25.500]  然後就到「復活期」或者「復活節」
[00:01:25.500 --> 00:01:28.500]  就是將耶穌基督的生平
[00:01:28.500 --> 00:01:31.500]  劃分為一個不同的時期
[00:01:31.500 --> 00:01:34.500]  過了這個「復活期」
[00:01:34.500 --> 00:01:36.500]  接下來是什麼呢?
[00:01:36.500 --> 00:01:39.500]  就是「聖靈降臨期」
[00:01:39.500 --> 00:01:42.500]  又或者在下半年裏面
[00:01:42.500 --> 00:01:46.500]  今年這個「聖靈降臨期」什麼時候開始呢?
[00:01:46.500 --> 00:01:47.500]  每年都不同的
[00:01:47.500 --> 00:01:50.500]  今年就是六月四日
[00:01:50.500 --> 00:01:53.500]  剛剛也是主日的時間
[00:01:53.500 --> 00:01:57.500]  就進入了教會年曆的「聖靈降臨期」
[00:01:57.500 --> 00:01:58.500]  所以各位聽眾
[00:01:58.500 --> 00:02:00.500]  我今天很想和大家分享
[00:02:00.500 --> 00:02:02.500]  就是《仕途行傳》第二章
[00:02:02.500 --> 00:02:03.500]  這一段經文
[00:02:03.500 --> 00:02:08.500]  看一下路加他怎樣描述
[00:02:08.500 --> 00:02:13.500]  聖靈和教會那種密切的關係
[00:02:13.500 --> 00:02:16.500]  在《仕途行傳》第一章
[00:02:16.500 --> 00:02:17.500]  一開始的時候
[00:02:17.500 --> 00:02:20.500]  就說到耶穌基督
[00:02:20.500 --> 00:02:23.500]  在復活、升天之前
[00:02:23.500 --> 00:02:27.500]  就給門徒有四十天的時間
[00:02:27.500 --> 00:02:30.500]  上了一個密集的課程
[00:02:30.500 --> 00:02:31.500]  是什麼呢?
[00:02:31.500 --> 00:02:36.500]  學怎樣來等待聖靈的降臨
[00:02:36.500 --> 00:02:38.500]  第一章第六節
[00:02:38.500 --> 00:02:39.500]  頂主媒如果你有聖經
[00:02:39.500 --> 00:02:42.500]  我很鼓勵你一邊聽一邊看聖經
[00:02:42.500 --> 00:02:44.500]  翻前面那一章
[00:02:44.500 --> 00:02:45.500]  第一章第六節
[00:02:45.500 --> 00:02:46.500]  這裡說什麼?
[00:02:46.500 --> 00:02:48.500]  原來路加告訴我們
[00:02:48.500 --> 00:02:50.500]  當時門徒
[00:02:50.500 --> 00:02:54.500]  他們還是想著自己的民族
[00:02:54.500 --> 00:02:57.500]  何時可以來復興
[00:02:57.500 --> 00:02:59.500]  這個就是當時一班門徒
[00:02:59.500 --> 00:03:02.500]  他們的焦點
[00:03:02.500 --> 00:03:03.500]  但是很快
[00:03:03.500 --> 00:03:04.500]  跳兩節
[00:03:04.500 --> 00:03:06.500]  去到第八節的時候
[00:03:06.500 --> 00:03:09.500]  聖經就將他們的眼光
[00:03:09.500 --> 00:03:11.500]  轉放在哪裡呢?
[00:03:11.500 --> 00:03:13.500]  我讀給大家聽
[00:03:13.500 --> 00:03:16.500]  很熟悉的,你們可能會背
[00:03:16.500 --> 00:03:19.500]  但聖靈降臨在你們身上
[00:03:19.500 --> 00:03:22.500]  你們就必得著能力
[00:03:22.500 --> 00:03:25.500]  並要在耶路撒冷
[00:03:25.500 --> 00:03:27.500]  猶太傳地
[00:03:27.500 --> 00:03:29.500]  和撒瑪利亞
[00:03:29.500 --> 00:03:32.500]  然後直到地極
[00:03:32.500 --> 00:03:35.500]  作我的見證
[00:03:35.500 --> 00:03:37.500]  這個金句
[00:03:37.500 --> 00:03:39.500]  很多教會都成為
[00:03:39.500 --> 00:03:43.500]  宣教一個很重要的提醒
[00:03:43.500 --> 00:03:45.500]  或者這個也是
[00:03:45.500 --> 00:03:49.500]  主耶穌給教會一個大使命
[00:03:49.500 --> 00:03:54.500]  呼應馬太福音第28章19到20節
[00:03:54.500 --> 00:03:59.500]  門徒要等候聖靈的降臨
[00:03:59.500 --> 00:04:03.500]  應許就是他們必得著能力
[00:04:03.500 --> 00:04:05.500]  有能力了
[00:04:05.500 --> 00:04:06.500]  做什麼呢?
[00:04:06.500 --> 00:04:08.500]  接受差遣
[00:04:08.500 --> 00:04:10.500]  從耶路撒冷開始
[00:04:10.500 --> 00:04:13.500]  直到地極
[00:04:13.500 --> 00:04:16.500]  為耶穌基督作見證
[00:04:16.500 --> 00:04:17.500]  就好像我們崇拜後
[00:04:17.500 --> 00:04:18.500]  牧師祝福
[00:04:18.500 --> 00:04:22.500]  但這個祝福是帶著差遣
[00:04:22.500 --> 00:04:25.500]  叫大家離開教會的時候
[00:04:25.500 --> 00:04:27.500]  回到日常生活裡面
[00:04:27.500 --> 00:04:30.500]  為主作見證
[00:04:30.500 --> 00:04:32.500]  有這樣的意思
[00:04:32.500 --> 00:04:34.500]  所以看回第二章
[00:04:34.500 --> 00:04:35.500]  第一節就這樣說
[00:04:35.500 --> 00:04:40.500]  五旬節到了,門徒聚集在一處
[00:04:40.500 --> 00:04:42.500]  今天我們明白了
[00:04:42.500 --> 00:04:45.500]  什麼叫做聖靈降臨節
[00:04:45.500 --> 00:04:49.500]  但是路加他在士徒行傳第二章
[00:04:49.500 --> 00:04:52.500]  他是怎樣記載
[00:04:52.500 --> 00:04:56.500]  五旬節發生什麼事呢?
[00:04:56.500 --> 00:04:59.500]  我們先看頭那四節
[00:04:59.500 --> 00:05:01.500]  我用一個分題
[00:05:01.500 --> 00:05:04.500]  聖靈一帶一路
[00:05:04.500 --> 00:05:07.500]  耶穌升天之後
[00:05:07.500 --> 00:05:10.500]  第一個的五旬節
[00:05:10.500 --> 00:05:16.500]  五旬節等於原來猶太人又叫做七七節
[00:05:16.500 --> 00:05:23.500]  他們就慶祝小麥修成一個很重要的節日
[00:05:23.500 --> 00:05:27.500]  當門徒聚集的時候
[00:05:27.500 --> 00:05:29.500]  路加怎樣描述呢?
[00:05:29.500 --> 00:05:33.500]  他說突然有響聲從天而降
[00:05:33.500 --> 00:05:38.500]  好像一陣大風吹過的聲音
[00:05:38.500 --> 00:05:39.500]  不單止這樣
[00:05:39.500 --> 00:05:44.500]  還有好像火焰形狀的蝨頭
[00:05:44.500 --> 00:05:48.500]  降臨在門徒身上
[00:05:48.500 --> 00:05:51.500]  他們就被聖靈充滿
[00:05:51.500 --> 00:05:56.500]  然後說起別國的話來
[00:05:56.500 --> 00:05:59.500]  這個就是耶穌吩咐門徒
[00:05:59.500 --> 00:06:02.500]  你們等到這個時候
[00:06:02.500 --> 00:06:05.500]  聖靈就降臨
[00:06:05.500 --> 00:06:07.500]  所以從那時候開始
[00:06:07.500 --> 00:06:11.500]  五旬節不單止稱為七七節
[00:06:11.500 --> 00:06:16.500]  還被稱為聖靈降臨節
[00:06:16.500 --> 00:06:20.500]  教會的傳統也都將這個時候開始
