
[00:00:00.000 --> 00:00:02.860]  弟兄姊妹 中午平安
[00:00:02.860 --> 00:00:04.040]  平安
[00:00:04.040 --> 00:00:08.140]  今天講的題目是
[00:00:08.140 --> 00:00:10.780]  推亞 推拉教會
[00:00:10.780 --> 00:00:13.980]  在啟示錄有記載的
[00:00:13.980 --> 00:00:16.540]  主耶穌顯現給
[00:00:16.540 --> 00:00:18.940]  使徒約翰
[00:00:18.940 --> 00:00:21.340]  然後他寫了七封信
[00:00:21.340 --> 00:00:23.340]  要給七個教會
[00:00:23.340 --> 00:00:28.020]  剛才就是我們所看到的七個教會
[00:00:28.020 --> 00:00:32.560]  平常我們就知道七個教會
[00:00:32.560 --> 00:00:34.560]  以佛所教會
[00:00:34.560 --> 00:00:37.560]  然後最後一個是勞底加教會
[00:00:37.560 --> 00:00:40.060]  平常我們比較知道的就是
[00:00:40.060 --> 00:00:41.560]  在七個教會當中
[00:00:41.560 --> 00:00:46.560]  以佛所教會是失去起初的愛心
[00:00:46.560 --> 00:00:49.560]  他們的first love已經沒有了
[00:00:49.560 --> 00:00:53.560]  勞底加教會是不冷不熱
[00:00:53.560 --> 00:00:55.560]  好像溫水一樣
[00:00:55.560 --> 00:00:57.560]  其他的五個教會
[00:00:57.560 --> 00:00:59.560]  或許我們知道
[00:00:59.560 --> 00:01:02.560]  菲拉鐵 菲利達維亞
[00:01:02.560 --> 00:01:05.560]  有去過菲利達維亞的舉手一下
[00:01:05.560 --> 00:01:07.560]  不少人啊
[00:01:07.560 --> 00:01:10.560]  請問一下菲利達維亞是什麼意思
[00:01:10.560 --> 00:01:13.560]  菲利達維亞這個城市叫做Brother Love
[00:01:13.560 --> 00:01:16.560]  兄弟相愛的意思
[00:01:16.560 --> 00:01:19.560]  所以菲利達維亞這個教會
[00:01:19.560 --> 00:01:22.560]  好像我們平常比較清楚
[00:01:22.560 --> 00:01:27.560]  七個教會就是在當時的土耳其
[00:01:27.560 --> 00:01:31.560]  今天我們說是小雅西亞
[00:01:31.560 --> 00:01:36.560]  七個教會是從衛星的圖上
[00:01:36.560 --> 00:01:40.560]  你可以看到七個教會的順序
[00:01:40.560 --> 00:01:42.560]  第一個教會就是以佛所
[00:01:42.560 --> 00:01:45.560]  四美那 繞一圈
[00:01:45.560 --> 00:01:48.560]  平常我們很少去注意到
[00:01:48.560 --> 00:01:51.560]  推亞推拉教會
[00:01:51.560 --> 00:01:54.560]  所以今天我們花一點時間看一下
[00:01:54.560 --> 00:01:58.560]  主耶穌寫這個信給推亞推拉的教會
[00:01:58.560 --> 00:02:02.560]  在還沒進入今天的主題的時候
[00:02:02.560 --> 00:02:06.560]  我們複習一下第一章第一節
[00:02:06.560 --> 00:02:11.560]  我問一下你們看過啟示錄整本書的舉手一下
[00:02:11.560 --> 00:02:18.560]  希望你們有機會再把這本書重新看一下
[00:02:18.560 --> 00:02:24.560]  啟示錄第一章第一節就提到耶穌基督的啟示
[00:02:24.560 --> 00:02:27.560]  The Revelation of Jesus Christ
[00:02:27.560 --> 00:02:31.560]  所以啟示錄整本書的主角是誰
[00:02:31.560 --> 00:02:33.560]  主角是主耶穌
[00:02:33.560 --> 00:02:36.560]  所以雖然這本書有很難解釋的地方
[00:02:36.560 --> 00:02:39.560]  但是在看整本書的時候
[00:02:39.560 --> 00:02:43.560]  不要忘記了整個一個中心思想
[00:02:43.560 --> 00:02:45.560]  是在提到主耶穌
[00:02:45.560 --> 00:02:49.560]  啟示錄是提到末世的情形
[00:02:49.560 --> 00:02:55.560]  所以現在很多電影都提到末世的災難
[00:02:55.560 --> 00:02:59.560]  平常很好的電影
[00:02:59.560 --> 00:03:02.560]  就是談到什麼好的東西
[00:03:02.560 --> 00:03:04.560]  這個事情人家大概不會去看
[00:03:04.560 --> 00:03:06.560]  等到什麼大災難的時候
[00:03:06.560 --> 00:03:08.560]  洛杉磯有什麼大災難
[00:03:08.560 --> 00:03:10.560]  San Francisco有什麼大災難的時候
[00:03:10.560 --> 00:03:13.560]  大家就去注意看這個電影
[00:03:13.560 --> 00:03:16.560]  所以你可以看到這個趨勢
[00:03:16.560 --> 00:03:20.560]  好像很多人也在注意這個末世的情形
[00:03:20.560 --> 00:03:23.560]  主耶穌也說末世很快就到了
[00:03:23.560 --> 00:03:25.560]  所以讀這個啟示錄
[00:03:25.560 --> 00:03:28.560]  讓我們更加在這個末世的世代當中
[00:03:28.560 --> 00:03:33.560]  能夠更加知道我們要怎麼樣的如何行
[00:03:33.560 --> 00:03:40.560]  啟示錄有一個我覺得給我很大的鼓勵
