
[00:00:00.000 --> 00:00:02.920]  弟弟姊妹平安 主恩滿滿
[00:00:02.920 --> 00:00:07.040]  很希望神和你親密同行
[00:00:07.040 --> 00:00:10.120]  你也樂意和主親密同行
[00:00:10.120 --> 00:00:12.080]  在過去的星期一
[00:00:12.080 --> 00:00:16.040]  我有機會和幾位神學院畢業的同學
[00:00:16.040 --> 00:00:19.120]  來到午膳聊聊天 近況
[00:00:19.120 --> 00:00:22.000]  說說大家教會發展的情況
[00:00:22.000 --> 00:00:26.440]  我們在旺角一間餐廳來吃飯 傾談
[00:00:26.440 --> 00:00:31.080]  大概一個多小時後 我們準備離開之前
[00:00:31.080 --> 00:00:36.840]  其實當中有一位女童工 蘇龍珠姑娘
[00:00:36.840 --> 00:00:41.480]  她帶了她自己的會友 一位姊妹
[00:00:41.480 --> 00:00:43.880]  都是很積極去服侍
[00:00:43.880 --> 00:00:47.160]  其實她是坐輪椅的
[00:00:47.160 --> 00:00:55.440]  我們離開之前 都分別需要去洗手間節奏
[00:00:55.440 --> 00:01:02.720]  這位童工帶這位坐輪椅的姊妹去洗手間
[00:01:02.720 --> 00:01:07.800]  問一位女的餐廳職員
[00:01:07.800 --> 00:01:11.120]  問她有沒有相見洗手間
[00:01:11.120 --> 00:01:18.480]  她說我不知道 你去問問管理員
[00:01:18.480 --> 00:01:20.640]  所以她去外面問
[00:01:20.640 --> 00:01:28.600]  好像找不到人 等電梯 可能是上一層有的
[00:01:28.600 --> 00:01:31.320]  等了一會兒 她見到
[00:01:31.320 --> 00:01:35.160]  剛才那位女職員叫另一位同事
[00:01:35.160 --> 00:01:41.080]  原來有一個男顧客去洗手間 帶她去
[00:01:41.080 --> 00:01:46.480]  所以她一會兒回來質問這位女職員
[00:01:46.480 --> 00:01:48.560]  為什麼你剛才說不知道
[00:01:48.560 --> 00:01:52.880]  你又對另一位顧客如此禮遇
[00:01:52.880 --> 00:01:54.560]  雙重標準
[00:01:54.560 --> 00:02:00.520]  很欣賞這位童工很理直氣壯
[00:02:00.520 --> 00:02:03.920]  來提點這位職員
[00:02:03.920 --> 00:02:07.120]  其實她在那裏工作 沒理由不知道
[00:02:07.120 --> 00:02:12.120]  原來她說那個雙層廁所在女廁旁邊
[00:02:12.120 --> 00:02:13.400]  怎會不知道呢
[00:02:13.400 --> 00:02:18.560]  只不過是耍她 不是很誠意去回答她
[00:02:18.560 --> 00:02:22.160]  我同學說我要投訴
[00:02:22.160 --> 00:02:24.080]  她說對不起呀 對不起呀
[00:02:24.080 --> 00:02:26.360]  她聽到投訴說對不起呀 對不起呀
[00:02:26.360 --> 00:02:30.040]  我很盼望她真心說對不起
[00:02:30.040 --> 00:02:32.080]  真誠去對其他人
[00:02:32.080 --> 00:02:33.560]  因為我見這位同學
[00:02:33.560 --> 00:02:35.960]  你為什麼跟那位女職員不談呢
[00:02:35.960 --> 00:02:37.600]  我走出去聽聽
[00:02:37.600 --> 00:02:38.960]  我支持你
[00:02:38.960 --> 00:02:41.720]  為了她的理直氣壯去感恩
