
[00:00:00.000 --> 00:00:04.000]  好,今天是父親節,所以呢我們都
[00:00:04.000 --> 00:00:07.000]  我這邊還沒有開這個
[00:00:07.000 --> 00:00:11.000]  所以呢,我們今天的這個分享會跟父親有關
[00:00:11.000 --> 00:00:17.000]  我們知道在聖經裡面其實都有很多有關父親的形象
[00:00:17.000 --> 00:00:22.000]  那對於父親的形象我想大家應該不陌生
[00:00:22.000 --> 00:00:25.000]  在聖經裡面有記載很多很多不同的父親
[00:00:25.000 --> 00:00:27.000]  那他們都有不同的個性
[00:00:27.000 --> 00:00:32.000]  我想在聖經裡面大家最熟悉的那位父親
[00:00:32.000 --> 00:00:35.000]  除了天父上帝以外大概是哪一位
[00:00:35.000 --> 00:00:38.000]  你最熟悉的,最有印象的
[00:00:38.000 --> 00:00:41.000]  有一個故事專門講父親的,記得嗎
[00:00:41.000 --> 00:00:44.000]  對,有人說了浪子回頭的故事
[00:00:44.000 --> 00:00:47.000]  在路加福音的十五章裡面
[00:00:47.000 --> 00:00:50.000]  有一個很出名的浪子回頭的故事
[00:00:50.000 --> 00:00:52.000]  那裡講了一個慈父
[00:00:52.000 --> 00:00:55.000]  他一直在等待那位的浪子回家
[00:00:55.000 --> 00:00:59.000]  那這個慈父的形象我們都非常的熟悉
[00:00:59.000 --> 00:01:02.000]  不過今天我跟大家要分享的這個父親的形象
[00:01:02.000 --> 00:01:06.000]  不是這個浪子回頭裡面的這個父親
[00:01:06.000 --> 00:01:11.000]  乃是大家相對比較陌生一點的這位父親
[00:01:11.000 --> 00:01:15.000]  就是耶穌他的養父約瑟
[00:01:15.000 --> 00:01:18.000]  那為什麼說是耶穌的養父呢
[00:01:18.000 --> 00:01:22.000]  我們先讀聖經,讀完我們再講
[00:01:22.000 --> 00:01:28.000]  我們看馬太福音的一章十八到二十五節
[00:01:28.000 --> 00:01:31.000]  如果你手上有聖經,請你翻開聖經
[00:01:31.000 --> 00:01:33.000]  也可以打開你手機的聖經軟件
[00:01:33.000 --> 00:01:35.000]  不然的話你可以看這個屏幕
[00:01:35.000 --> 00:01:38.000]  翻到的話我們一起來念這段的經文
