
[00:00:00.000 --> 00:00:08.720]  好,我們就繼續我們的史詩記的精讀
[00:00:08.720 --> 00:00:15.400]  這個禮拜我們其實就是去到最尾的時候了
[00:00:15.400 --> 00:00:18.640]  但是下個禮拜我們還有一堂的
[00:00:18.640 --> 00:00:20.800]  我們希望回來總結很多東西
[00:00:20.800 --> 00:00:23.680]  也是用這些時間去思想一下
[00:00:23.680 --> 00:00:29.680]  我們怎樣去應用史詩記當中給我們的一些訊息
[00:00:29.680 --> 00:00:32.360]  如果你之前一直有和我們一起的時候
[00:00:32.360 --> 00:00:35.920]  你記得我們開始的時候是在看一個很大的圖畫
[00:00:35.920 --> 00:00:37.440]  一個整個聖經的圖畫
[00:00:37.440 --> 00:00:40.120]  然後一個史詩記的圖畫
[00:00:40.120 --> 00:00:45.720]  接著我們進入史詩記的主體的部分
[00:00:45.720 --> 00:00:46.640]  Body
[00:00:46.640 --> 00:00:49.600]  那部分我們看了兩個大史詩
[00:00:49.600 --> 00:00:53.280]  那部分說真的也挺好玩的
[00:00:53.280 --> 00:00:55.520]  覺得可以笑一下
[00:00:55.520 --> 00:01:01.280]  接著有很多很特別的這些寫作的手法
[00:01:01.280 --> 00:01:04.080]  讓我們看到一些東西
[00:01:04.080 --> 00:01:05.440]  但是
[00:01:05.440 --> 00:01:07.120]  或者我們可以這樣說
[00:01:07.120 --> 00:01:10.280]  史詩記最終的訊息的高潮
[00:01:10.280 --> 00:01:12.880]  那個高潮也是那個低潮
[00:01:12.880 --> 00:01:15.840]  是在最後那個結論
[00:01:15.840 --> 00:01:18.800]  最後那個終結那裡就出來了
[00:01:18.800 --> 00:01:22.360]  就是如果你上個禮拜在這裡的時候
[00:01:22.360 --> 00:01:28.040]  你應該開始看到史詩記那個時代的黑暗
[00:01:28.040 --> 00:01:30.960]  甚至你應該看到史詩記那個時代的黑暗
[00:01:30.960 --> 00:01:34.480]  和我們今天的教會的情況
[00:01:34.480 --> 00:01:36.640]  都有些相似的
[00:01:36.640 --> 00:01:39.800]  其實是很可怕的一件事情
[00:01:39.800 --> 00:01:43.000]  今天我們看最後那個結尾
[00:01:43.000 --> 00:01:45.360]  就更黑暗一些
[00:01:45.360 --> 00:01:46.840]  但是可能黑暗到一個地步
[00:01:46.840 --> 00:01:48.360]  我們覺得和我們無關
[00:01:48.360 --> 00:01:50.320]  我想這個是一個很危險的地方
[00:01:50.320 --> 00:01:54.120]  所以我還是想你不要這麼快就覺得
[00:01:54.120 --> 00:01:57.400]  最後這個沒有君王的日子和我們無關
[00:01:57.400 --> 00:02:02.280]  其實很有可能是和我們很有關係的
[00:02:02.280 --> 00:02:06.360]  今天的挑戰就是我們要看三章聖經
[00:02:06.360 --> 00:02:07.320]  OK
[00:02:07.320 --> 00:02:10.640]  我們又不會讀完三章
[00:02:10.640 --> 00:02:11.600]  我們讀一章
