
[00:00:00.000 --> 00:00:02.780]  多謝主席跟我們讀這段經文
[00:00:02.780 --> 00:00:05.740]  也多謝今天很多弟兄姊妹
[00:00:05.740 --> 00:00:13.600]  很辛勞地為我們預備今天聖誕崇拜的聚會
[00:00:13.600 --> 00:00:17.140]  無論你是跟我們在現場聚會
[00:00:17.140 --> 00:00:19.400]  或者是在網上聚會
[00:00:19.400 --> 00:00:22.700]  相信大家都是心情很矛盾
[00:00:22.700 --> 00:00:24.500]  又有一些傷感
[00:00:24.500 --> 00:00:27.640]  本來我們前兩個星期已經開始報告
[00:00:27.640 --> 00:00:35.640]  就是聖誕日我們已經可以有150人聚會
[00:00:35.640 --> 00:00:44.840]  希望大家可以一起在現場分享我們敬拜的喜悅
[00:00:44.840 --> 00:00:50.540]  但是又回頭現在只可以有70人
[00:00:50.540 --> 00:00:54.440]  所以有一種可惜的感覺
[00:00:54.440 --> 00:00:57.440]  但是不只是因為聚會人數的可惜
[00:00:57.440 --> 00:01:01.840]  而是在很多方面我們都覺得真的很可惜
[00:01:01.840 --> 00:01:09.040]  尤其是如果小朋友發覺在商場裡面沒有了聖誕老人
[00:01:09.040 --> 00:01:13.440]  平時的聖誕是很多的聖誕禮物
[00:01:13.440 --> 00:01:17.440]  今年雖然就算是有一點點
[00:01:17.440 --> 00:01:20.640]  但是都已經少了很多
[00:01:20.640 --> 00:01:24.840]  小朋友心裡面都是很不開心
[00:01:24.840 --> 00:01:30.040]  我們的家人不可以一起團聚
[00:01:30.040 --> 00:01:33.640]  聖誕的時候也是一種遺憾
[00:01:33.640 --> 00:01:39.240]  可能對於我們華人始終沒有那麼重要
[00:01:39.240 --> 00:01:41.240]  但是在西人的文化裡面
[00:01:41.240 --> 00:01:44.440]  無論你是不是信耶穌的
[00:01:44.440 --> 00:01:47.640]  聖誕就是一個家庭團聚
[00:01:47.640 --> 00:01:53.840]  就有點像我們的年三十晚那種團年飯
[00:01:53.840 --> 00:01:59.040]  尤其是北區海灘沒得出來
[00:01:59.040 --> 00:02:01.040]  沒得見家人
[00:02:01.040 --> 00:02:08.640]  只可以在有可能限度的在小小的區裡面
[00:02:08.640 --> 00:02:13.040]  或者在網上見都是很遺憾的事
[00:02:13.040 --> 00:02:16.640]  尤其是我們的弟兄Leroy他的家人
[00:02:16.640 --> 00:02:20.240]  因為爸爸過世他們住在北區海灘
[00:02:20.240 --> 00:02:25.240]  就連墳場都不讓他們去
[00:02:25.240 --> 00:02:27.240]  不可以做安息禮拜
[00:02:27.240 --> 00:02:34.240]  所以他們只可以先交給殯儀館做了火化
[00:02:34.240 --> 00:02:37.240]  然後等到遲些放寬了
[00:02:37.240 --> 00:02:39.840]  再可以做安息禮拜
[00:02:39.840 --> 00:02:46.840]  所以很多這些都令到我們的聖誕是暗淡了很多
[00:02:46.840 --> 00:02:49.840]  所以更加是驅使我們去想
[00:02:49.840 --> 00:02:53.240]  之前有疫情的時候
[00:02:53.240 --> 00:02:55.240]  我們已經要重新想
[00:02:55.240 --> 00:02:59.240]  究竟我們的崇拜聚會、小組聚會
[00:02:59.240 --> 00:03:01.440]  那個重要性在哪裡呢?
[00:03:01.440 --> 00:03:03.040]  不可以做這些的時候
[00:03:03.040 --> 00:03:05.840]  我們的信仰生活是怎樣的呢?
[00:03:05.840 --> 00:03:07.840]  甚至我們擴闊一點想
[00:03:07.840 --> 00:03:09.440]  教會究竟是什麼呢?
[00:03:09.440 --> 00:03:14.640]  我們一向的教會神學的定義就是
[00:03:14.640 --> 00:03:16.640]  神呼召我們離開黑暗
[00:03:16.640 --> 00:03:19.440]  然後我們聚在一起就是教會了
[00:03:19.440 --> 00:03:21.440]  然後聚在一起之後
[00:03:21.440 --> 00:03:27.440]  我們被差派出去在世界上作炎作光
[00:03:27.440 --> 00:03:29.040]  這個就是教會了
[00:03:29.040 --> 00:03:30.840]  現在究竟是怎樣的呢?
[00:03:30.840 --> 00:03:37.440]  我們少了被焦聚一起的那種向度
[00:03:37.440 --> 00:03:40.040]  那種一起變成網上一起
[00:03:40.040 --> 00:03:42.040]  好像虛擬的一起
[00:03:42.040 --> 00:03:46.040]  所以我們一直不太喜歡這個虛擬的名詞
[00:03:46.040 --> 00:03:47.240]  尤其是教會
[00:03:47.240 --> 00:03:50.440]  虛擬的教會就不是真的教會
[00:03:50.440 --> 00:03:52.440]  就是假的教會
[00:03:52.440 --> 00:03:54.440]  我們沒辦法接受
[00:03:54.440 --> 00:03:56.840]  為什麼可以是假的教會呢?
[00:03:56.840 --> 00:04:01.040]  所以我們最多都是說網上聚會
[00:04:01.040 --> 00:04:08.840]  起碼我自己很抗拒用虛擬這個詞
[00:04:08.840 --> 00:04:11.040]  所以聖誕我們真的要想想
[00:04:11.040 --> 00:04:14.440]  究竟如果沒有聖誕的時候是怎樣呢?
[00:04:14.440 --> 00:04:17.840]  聖誕不再出現、聖誕不再來
[00:04:17.840 --> 00:04:20.640]  究竟聖誕有多重要呢?
[00:04:20.640 --> 00:04:22.640]  如果從來沒有聖誕
[00:04:22.640 --> 00:04:24.240]  我們很知道
[00:04:24.240 --> 00:04:27.040]  有聖誕就是因為有耶穌的降生
[00:04:27.040 --> 00:04:31.040]  如果沒有聖誕的意思就是沒有耶穌的降生
[00:04:31.040 --> 00:04:33.040]  那這個世界變成怎樣呢?
[00:04:33.040 --> 00:04:36.440]  信耶穌的人就知道了
[00:04:36.440 --> 00:04:38.440]  就算本來有聖誕
[00:04:38.440 --> 00:04:41.440]  但是如果將來再沒有聖誕
[00:04:41.440 --> 00:04:43.440]  那是什麼意思呢?
[00:04:43.440 --> 00:04:46.040]  有些不是很合邏輯的
[00:04:46.040 --> 00:04:48.240]  因為聖誕是一個歷史事件
[00:04:48.240 --> 00:04:50.240]  發生了是有就是有的
[00:04:50.240 --> 00:04:52.240]  不可以突然間沒有了
[00:04:52.240 --> 00:04:55.040]  除非時間已經沒有了
[00:04:55.040 --> 00:04:59.640]  有時間的存在就一定是有聖誕節的存在
[00:04:59.640 --> 00:05:03.840]  但是我們當然要明白那個思想的意思就是說
[00:05:03.840 --> 00:05:07.640]  如果我們不再可以紀念聖誕
[00:05:07.640 --> 00:05:10.040]  不再可以慶祝聖誕
[00:05:10.040 --> 00:05:12.840]  那究竟會是怎樣呢?
[00:05:12.840 --> 00:05:15.440]  當然我們說是在心中的
[00:05:15.440 --> 00:05:17.440]  因為主耶穌在我們心中
[00:05:17.440 --> 00:05:19.440]  我們的信仰是在我們心中
[00:05:19.440 --> 00:05:22.440]  所以就算弟兄姊妹說
[00:05:22.440 --> 00:05:25.040]  我去不去現場崇拜也好
[00:05:25.040 --> 00:05:26.840]  耶穌在我心中
[00:05:26.840 --> 00:05:28.440]  但是我們要小心地想
[00:05:28.440 --> 00:05:30.840]  如果我們是過分地想的時候
[00:05:30.840 --> 00:05:33.840]  就好像有一些說信耶穌的人
[00:05:33.840 --> 00:05:36.240]  他告訴你我是不需要去教會的
[00:05:36.240 --> 00:05:39.040]  因為我信那個耶穌在心中就可以了
[00:05:39.040 --> 00:05:40.640]  他知道我信他
[00:05:40.640 --> 00:05:42.240]  我又知道我信他
[00:05:42.240 --> 00:05:44.640]  那任何教會聚會
[00:05:44.640 --> 00:05:47.840]  甚至教會的存在對我來說不重要
[00:05:47.840 --> 00:05:50.440]  因為只要我說我信耶穌
[00:05:50.440 --> 00:05:53.840]  耶穌在我心中就什麼都夠了
[00:05:53.840 --> 00:05:56.640]  那你又好像覺得他說得對
