
[00:00:00.000 --> 00:00:03.020]  好 讓我們進入上帝的話語
[00:00:03.020 --> 00:00:04.260]  我們去聆聽神的一道
[00:00:04.260 --> 00:00:06.460]  我們再有一個祈禱
[00:00:06.460 --> 00:00:08.440]  全能全智的主你才是那位
[00:00:08.440 --> 00:00:11.520]  掌管生命 掌管世情
[00:00:11.520 --> 00:00:15.940]  掌管人心 掌管宇宙的大君王
[00:00:15.940 --> 00:00:18.680]  在這一刻我們去敬拜你的時候
[00:00:18.680 --> 00:00:21.360]  我們不單將榮耀重讚歸於你
[00:00:21.360 --> 00:00:22.780]  我們更加將我們的心心靈
[00:00:22.780 --> 00:00:25.080]  完全降服在你的面前
[00:00:25.080 --> 00:00:27.580]  願意我們去聆聽上帝的話語
[00:00:27.580 --> 00:00:31.180]  你透過孩子成為你流通的管子
[00:00:31.180 --> 00:00:34.560]  將你的說話向我們展現
[00:00:34.560 --> 00:00:37.640]  不單讓我們能夠打開我們的耳朵
[00:00:37.640 --> 00:00:39.580]  更加打開我們的心靈
[00:00:39.580 --> 00:00:41.780]  讓你的話語接觸我們的生命
[00:00:41.780 --> 00:00:43.000]  去更新我們
[00:00:43.000 --> 00:00:46.660]  以致我們能夠得著你的帶領和保守
[00:00:46.660 --> 00:00:49.940]  願這一刻我們都將我們的心交上
[00:00:49.940 --> 00:00:52.520]  求主你帶領我們這一刻輕度的時間
[00:00:52.520 --> 00:00:55.460]  禱告交託 奉耶穌基督得性命之祈求
[00:00:55.460 --> 00:00:58.040]  阿門
[00:00:58.040 --> 00:01:01.740]  我們今天的題目是《大時代小女子》
[00:01:01.740 --> 00:01:05.020]  回到《撒姆爾記》上第一章
[00:01:05.020 --> 00:01:08.560]  我每次都會重溫之前說過的道
[00:01:08.560 --> 00:01:10.820]  讓大家可以有少許的記憶
[00:01:10.820 --> 00:01:11.840]  如果還記得
[00:01:11.840 --> 00:01:13.360]  很快 剛剛是上個星期
[00:01:13.360 --> 00:01:16.640]  就說了約拿丹和大衛的結盟
