
[00:00:00.000 --> 00:00:09.620]  今天我所定的題目 我們要看的是一位婦女 在舊約中的婦女 哈娜
[00:00:09.620 --> 00:00:16.360]  當我讀的時候 我就看到這個字 向主傾心吐意
[00:00:16.360 --> 00:00:19.720]  那我就把這個定下來
[00:00:19.720 --> 00:00:27.420]  我們知道 通常我過去兩年多三年 查考的聖經都在新約
[00:00:27.420 --> 00:00:31.800]  那講到舊約的時候 機會極其的少
[00:00:31.800 --> 00:00:41.880]  那今天我們就來看一下 哈娜在舊約的時代
[00:00:41.880 --> 00:00:45.740]  在前言裡面 我們有一個大綱 我這樣寫的
[00:00:45.740 --> 00:00:56.380]  在舊俗的歷史中 神永遠會興起檢選人來成全祂的計畫
[00:00:56.380 --> 00:01:01.860]  我記得我在中學的時候 我是沒有口才的人
[00:01:01.860 --> 00:01:08.320]  所以在中學的時候 有一個題目是很吸引在辯論的
[00:01:08.320 --> 00:01:14.960]  是什麼題目呢 是時事造英雄呢 或是英雄造時事
[00:01:14.960 --> 00:01:20.180]  那我雖然沒有口才 我也沒有機會可以參與辯論
[00:01:20.180 --> 00:01:24.880]  可是辯論完 辯論後之後 我也沒有得到答案
[00:01:24.880 --> 00:01:31.220]  誰講得有理 誰就贏 誰口才不好 誰就輸
[00:01:31.220 --> 00:01:38.720]  那後來我越來越了解聖經 越來越了解神的計畫的時候
[00:01:38.720 --> 00:01:44.020]  我慢慢體會出來 在舊俗的歷史當中
[00:01:53.220 --> 00:01:59.360]  希望 本來我想到大家會打瞌睡
[00:01:59.360 --> 00:02:03.860]  再來這個的話 可能更好打瞌睡
[00:02:03.860 --> 00:02:12.460]  那就用這個麥克風 簡單的方式來跟各位一起敬拜
[00:02:12.460 --> 00:02:18.420]  所以在中學的時候很喜歡辯論 是時事造英雄呢 或是英雄造時事
[00:02:18.420 --> 00:02:21.420]  後來我對聖經越來越了解
[00:02:21.420 --> 00:02:26.780]  在舊俗的計畫中 在神要成全舊俗的計畫中
[00:02:26.780 --> 00:02:31.420]  神永遠都是揀選人來成就祂的計畫
[00:02:31.420 --> 00:02:36.320]  所以剛剛我們所讀的經文雖然不多
[00:02:36.320 --> 00:02:41.820]  可是很多經文的內容 信息的內容都在第一章裡面
[00:02:41.820 --> 00:02:47.320]  所以我說 很多時候你們要帶聖經來
[00:02:47.320 --> 00:02:50.880]  那我雖然讀聖經的部分只有幾節
[00:02:50.880 --> 00:02:58.520]  可是涵蓋的部分 可能前面二十節都是在我信息的內容裡面
[00:02:58.520 --> 00:03:04.320]  假如我們花十分鐘讀聖經 可能我們時間就要拉長
[00:03:04.320 --> 00:03:08.420]  現在我們崇拜的時間是希望越短越好
[00:03:08.420 --> 00:03:11.220]  可是也不能短到一個地步
[00:03:11.220 --> 00:03:13.320]  三言兩語就結束
[00:03:13.320 --> 00:03:19.320]  起碼也給各位帶回去一些可以回憶 有學習的
[00:03:19.320 --> 00:03:24.020]  所以從第一章到第三章 有一個字很特別
[00:03:24.020 --> 00:03:29.520]  也有一個字出現的特別多 我放在大綱上
[00:03:29.520 --> 00:03:34.120]  就是耶和華的名字出現超過六十次
[00:03:34.120 --> 00:03:37.620]  從第一章到第三章就超過六十次
[00:03:37.620 --> 00:03:41.920]  假如你看我們今天讀的經文 就短短的幾節裡面
[00:03:41.920 --> 00:03:47.020]  起碼有八到十次耶和華的名字出現
[00:03:47.020 --> 00:03:50.920]  那表示什麼 當這個名字一直出現
[00:03:50.920 --> 00:03:58.520]  它就是在主宰這整個故事 主宰這整個事件的發生
[00:03:58.520 --> 00:04:02.120]  很多時候我們看聖經的時候 單單讀這一段聖經
[00:04:02.120 --> 00:04:06.520]  我們就不要太快下定語
[00:04:06.520 --> 00:04:11.920]  那我們就看更廣的歷史 我們就來看
[00:04:11.920 --> 00:04:16.320]  在舊時代過去之前 新時代來臨
[00:04:16.320 --> 00:04:22.120]  神要用洪水來滅這個舊時代 祂揀選誰
[00:04:22.120 --> 00:04:29.920]  祂揀選諾亞 諾亞也願意順服神的揀選
[00:04:29.920 --> 00:04:37.620]  這時代過去之後 神揀選誰 神揀選亞伯拉罕
[00:04:37.620 --> 00:04:43.320]  神對亞伯拉罕說 我要你使萬民萬國一民得福
[00:04:43.320 --> 00:04:51.020]  亞伯拉罕也順服神的護照 離開他的本家本鄉本族
[00:04:51.020 --> 00:04:55.920]  神揀選亞伯拉罕 因為揀選亞伯拉罕
[00:04:55.920 --> 00:05:02.120]  彌賽亞的族系也是從亞伯拉罕下來的
[00:05:02.120 --> 00:05:07.720]  神的選民也是亞伯拉罕的後裔
[00:05:07.720 --> 00:05:13.420]  亞伯拉罕之後 我們再看歷史
[00:05:13.420 --> 00:05:18.320]  以色列民在埃及維努四百年之久
[00:05:18.320 --> 00:05:23.420]  神揀選誰帶領他們離開維努之地
[00:05:23.420 --> 00:05:29.120]  到印序之地 神再揀選摩西
[00:05:29.120 --> 00:05:35.320]  神揀選摩西 摩西前四十年在皇宮裡面
[00:05:35.320 --> 00:05:42.620]  滿有智慧 滿有知識 學通埃及一切的學問 深情記載
[00:05:42.620 --> 00:05:48.220]  可是四十年的時候 他是血氣方剛
[00:05:48.220 --> 00:05:53.720]  所以神把他放在曠野四十年
[00:05:53.720 --> 00:05:58.820]  最後的四十年 把神的百姓從維努之地
[00:05:58.820 --> 00:06:04.020]  帶領出來要進入神所應許之地
[00:06:04.020 --> 00:06:08.120]  神又再揀選 摩西過去之後再揀選
[00:06:08.120 --> 00:06:14.120]  揀選約書亞 摩西在曠野離世
[00:06:14.120 --> 00:06:18.020]  誰帶領百姓在曠野遊蕩四十年之後
[00:06:18.020 --> 00:06:24.020]  進入安息之地呢 選約書亞
[00:06:24.020 --> 00:06:29.220]  所以約書亞帶領百姓進入神所應許之地
[00:06:29.220 --> 00:06:32.320]  迦南之地 留乃於民
[00:06:32.320 --> 00:06:37.620]  當以色列民到留乃於民 迦南之地之後
[00:06:37.620 --> 00:06:42.620]  他們一切富裕了 他們也遠離神了
[00:06:42.620 --> 00:06:46.420]  所以在誓師記裡面記載一句話
[00:06:46.420 --> 00:06:51.420]  雖然誓師記有很多誓師起來拯救他們
[00:06:51.420 --> 00:06:53.720]  又是犯罪 又是遠離神
[00:06:53.720 --> 00:06:57.420]  可是誓師記就用一句話
[00:06:57.420 --> 00:07:02.220]  來描寫當時的百姓的情形
[00:07:02.220 --> 00:07:09.220]  他們行眼中自己認為正的是
[00:07:09.220 --> 00:07:14.820]  百姓行眼中自己認為正的是
[00:07:14.820 --> 00:07:19.620]  換句話說 這句話給我們一個什麼結論
[00:07:19.620 --> 00:07:23.820]  真理不是絕對的 真理是相對的
[00:07:23.820 --> 00:07:25.820]  你可以認為這是真理
[00:07:25.820 --> 00:07:28.820]  可他也可以認為那個是真理
[00:07:28.820 --> 00:07:33.820]  所以百姓行自己眼中認為正的是
[00:07:33.820 --> 00:07:35.820]  換句話說沒有神了
[00:07:35.820 --> 00:07:37.820]  唯有神才是真理
[00:07:37.820 --> 00:07:39.820]  當沒有神的時候
[00:07:39.820 --> 00:07:43.820]  你我百姓他就是神
[00:07:43.820 --> 00:07:47.820]  所以在這樣的一個情況
[00:07:47.820 --> 00:07:50.820]  哈拿就出現了
[00:07:50.820 --> 00:07:54.820]  在這樣的背景下面 哈拿出現
[00:07:54.820 --> 00:07:57.820]  這哈拿的出現我們來看
[00:07:57.820 --> 00:07:59.820]  這個名字的意思
[00:07:59.820 --> 00:08:03.820]  哈拿這個意思
[00:08:03.820 --> 00:08:06.820]  在英文上是這樣寫
[00:08:06.820 --> 00:08:09.820]  Women of Grace
[00:08:09.820 --> 00:08:11.820]  那我就用
[00:08:11.820 --> 00:08:14.820]  他這個意思裡面就是恩慈
[00:08:14.820 --> 00:08:18.820]  和祥 祥和的婦人
[00:08:18.820 --> 00:08:20.820]  名符其實
[00:08:20.820 --> 00:08:25.820]  我原來沒有注意到他的名字是這樣
[00:08:25.820 --> 00:08:27.820]  可是我讀了幾遍之後
[00:08:27.820 --> 00:08:33.820]  我對哈拿有更新的認識
[00:08:33.820 --> 00:08:36.820]  假如你有機會你多讀幾遍
[00:08:36.820 --> 00:08:37.820]  你就可以看到
[00:08:37.820 --> 00:08:46.820]  哈拿是一個慈祥 和祥 恩慈的一位
[00:08:46.820 --> 00:08:49.820]  所以在這樣的情況裡面
[00:08:49.820 --> 00:08:53.820]  哈拿出生在那裡
[00:08:53.820 --> 00:08:55.820]  在世世的時代
[00:08:55.820 --> 00:09:00.820]  也就是借助哈拿所生的撒末爾
[00:09:00.820 --> 00:09:02.820]  殆盡亡國
[00:09:02.820 --> 00:09:05.820]  原來是世世時代
[00:09:05.820 --> 00:09:09.820]  誰有本事 誰打敗外邦人
[00:09:09.820 --> 00:09:12.820]  他就起來當世師
[00:09:12.820 --> 00:09:14.820]  不是神來統治
[00:09:14.820 --> 00:09:18.820]  從撒末爾開始
[00:09:18.820 --> 00:09:21.820]  神立王
[00:09:21.820 --> 00:09:23.820]  從撒末爾開始
[00:09:23.820 --> 00:09:27.820]  一切的君王由神來高立
[00:09:27.820 --> 00:09:30.820]  跟隨神的 遵行神的
[00:09:30.820 --> 00:09:34.820]  神就讓他在寶座上長存
[00:09:34.820 --> 00:09:39.820]  由神的統戰
[00:09:39.820 --> 00:09:43.820]  所以就進入王治的時代
[00:09:43.820 --> 00:09:47.820]  那我們來看哈拿的處境是什麼
[00:09:47.820 --> 00:09:48.820]  第一個
[00:09:48.820 --> 00:09:49.820]  他的處境
[00:09:49.820 --> 00:09:52.820]  我這裡列出來不易
[00:09:52.820 --> 00:09:53.820]  很有意思
[00:09:53.820 --> 00:09:56.820]  假如你看這第一章裡面
[00:09:56.820 --> 00:09:58.820]  這裡就特別講
[00:09:58.820 --> 00:10:02.820]  耶和華不使哈拿生育
[00:10:02.820 --> 00:10:06.820]  在第一章的第五節
[00:10:06.820 --> 00:10:08.820]  很有趣的一件事
[00:10:08.820 --> 00:10:09.820]  我看英文聖經
[00:10:09.820 --> 00:10:19.820]  神把他的懷孕封住了
[00:10:19.820 --> 00:10:22.820]  這我們無法去明瞭這件事情
[00:10:22.820 --> 00:10:23.820]  身體是我的
[00:10:23.820 --> 00:10:28.820]  怎麼神能這樣做
[00:10:28.820 --> 00:10:29.820]  所以哈拿的不育
[00:10:29.820 --> 00:10:31.820]  在當時的情形
[00:10:31.820 --> 00:10:35.820]  在當時的背景是巨木的情形
[00:10:35.820 --> 00:10:37.820]  是需要人工的
[00:10:37.820 --> 00:10:39.820]  需要有人盯著
[00:10:39.820 --> 00:10:43.820]  家裡生養越多越好的
[00:10:43.820 --> 00:10:45.820]  所以在詩篇裡面
[00:10:45.820 --> 00:10:46.820]  詩人就說
[00:10:46.820 --> 00:10:49.820]  我的箭袋若是滿了箭
[00:10:49.820 --> 00:10:57.820]  他在城門口就可以跟人家說話
