
[00:00:00.000 --> 00:00:04.800]  今早在這裡的時候,實在很開心見到大家敬拜
[00:00:04.800 --> 00:00:10.800]  因為星期日很多人去玩,去飲茶,去做家事的時候
[00:00:10.800 --> 00:00:15.200]  我想問問大家,如果有朋友或者同事說
[00:00:15.200 --> 00:00:20.000]  「某某人,星期日去飲茶了,或者我們去哪裡玩,一起來吧」
[00:00:20.000 --> 00:00:23.000]  那你會怎樣回答他呢?
[00:00:23.000 --> 00:00:27.000]  你會怎樣回答他呢?
[00:00:27.000 --> 00:00:30.000]  「哎呀,不好意思,對不起,星期日我要去教會」
[00:00:30.000 --> 00:00:34.000]  你會怎樣回答他呢?
[00:00:34.000 --> 00:00:37.000]  有沒有別的答案呢?
[00:00:37.000 --> 00:00:41.000]  下午飲茶吧,早上不行了,為甚麼?
[00:00:41.000 --> 00:00:44.000]  因為要去教會嘛
[00:00:44.000 --> 00:00:47.000]  很開心的,大家都不怕讓人知道
[00:00:47.000 --> 00:00:51.000]  原來星期日早上我們要敬拜神去教會
[00:00:51.000 --> 00:00:54.000]  但我想告訴大家,當你這樣回答別人的時候
[00:00:54.000 --> 00:00:58.000]  其實你的答案就不是很對
[00:00:58.000 --> 00:01:01.000]  或者不是很全對
[00:01:01.000 --> 00:01:04.000]  因為當我們這樣回答的時候
[00:01:04.000 --> 00:01:09.000]  其實就說「哎呀,不行,星期日早上我要去一個地方」
[00:01:09.000 --> 00:01:12.000]  教會很多時候,當我們這樣說的時候
[00:01:12.000 --> 00:01:22.000]  「所以我有星期日的地方去,所以我不能夠來參加你的派對,或者去玩」
[00:01:22.000 --> 00:01:25.000]  正確的部分,又不正確的部分
[00:01:25.000 --> 00:01:32.000]  如果你說「星期日,不好意思,我要去教堂裡面敬拜神」
[00:01:32.000 --> 00:01:36.000]  這樣我覺得就比較正確一點
[00:01:36.000 --> 00:01:38.000]  對不對?
[00:01:38.000 --> 00:01:41.000]  去教會,給我們的感覺就是去一個地方
[00:01:41.000 --> 00:01:44.000]  但事實上,你在一個地方裡面做甚麼事呢?
[00:01:44.000 --> 00:01:47.000]  去敬拜上帝
[00:01:47.000 --> 00:01:50.000]  這個才是最主要的原因
[00:01:50.000 --> 00:01:53.000]  敬拜天父上帝
[00:01:53.000 --> 00:01:57.000]  教會事實上不是一個地方
[00:01:57.000 --> 00:01:59.000]  去年我也說過這個問題
[00:01:59.000 --> 00:02:02.000]  教會是人,不是地方
[00:02:02.000 --> 00:02:07.000]  不過教會在星期日會聚在一個地方去敬拜上帝
[00:02:07.000 --> 00:02:12.000]  平時教會是散佈在每一個地方,每一個角落
[00:02:12.000 --> 00:02:14.000]  教會應該是在世界當中
[00:02:14.000 --> 00:02:17.000]  教會應該是在社區裡面
[00:02:17.000 --> 00:02:20.000]  耶穌在世的時候,教會開始了
[00:02:20.000 --> 00:02:22.000]  一群人跟著耶穌,那就是教會
[00:02:22.000 --> 00:02:26.000]  耶穌呼著一群基督徒出來,和他們一起去傳福音
[00:02:26.000 --> 00:02:29.000]  如果大家記得聖經裡面有一個記載
[00:02:29.000 --> 00:02:32.000]  有一次耶穌差遣了七十個人
[00:02:32.000 --> 00:02:37.000]  兩個兩個出去,去到祂要傳道的地方
[00:02:37.000 --> 00:02:40.000]  先去那裡為耶穌開路做見證
[00:02:40.000 --> 00:02:43.000]  預備耶穌來講道
[00:02:43.000 --> 00:02:48.000]  在耶穌的時代,新約的時代,根本沒有教堂
[00:02:48.000 --> 00:02:52.000]  如果真的要敬拜聚會,除了去聖殿之外
[00:02:52.000 --> 00:02:55.000]  其實教會慢慢發展的時候,開始的時候
[00:02:55.000 --> 00:02:57.000]  我講過很多次,在哪裡聚會?
[00:02:57.000 --> 00:02:59.000]  在哪裡敬拜?
[00:02:59.000 --> 00:03:01.000]  在家裡
[00:03:01.000 --> 00:03:03.000]  不過神賜福,教會
[00:03:03.000 --> 00:03:05.000]  所以很快家裡不夠大
[00:03:05.000 --> 00:03:08.000]  想多一點一起敬拜,多一點一起服事,不行了
[00:03:08.000 --> 00:03:12.000]  於是開始建築禮拜堂
[00:03:12.000 --> 00:03:14.000]  叫教堂
[00:03:14.000 --> 00:03:19.000]  然後可以多一點人在教堂裡面聚會,敬拜上帝
[00:03:19.000 --> 00:03:22.000]  當然是讀聖經,大家團聚生活
[00:03:22.000 --> 00:03:26.000]  其實本來是一件好事
[00:03:26.000 --> 00:03:29.000]  但是大家有沒有留意到,當教會這樣發展的時候
[00:03:29.000 --> 00:03:32.000]  在不知不覺當中
[00:03:32.000 --> 00:03:37.000]  我們就習慣了在教會裡面聚會
[00:03:37.000 --> 00:03:41.000]  我們習慣了在教會裡面生活
[00:03:41.000 --> 00:03:43.000]  於是在不知不覺當中
[00:03:43.000 --> 00:03:46.000]  我們將教會和教堂
[00:03:46.000 --> 00:03:50.000]  變成一個可以彼此互用的一個混合的名詞
[00:03:50.000 --> 00:03:52.000]  教堂就是教會,教會就是教堂
[00:03:52.000 --> 00:03:57.000]  慢慢我們就去教會等於去教堂,去教堂等於去教會
[00:03:57.000 --> 00:04:00.000]  這就成為我們今天的一個問題
[00:04:00.000 --> 00:04:03.000]  問題在哪裡?我還沒聽出來
[00:04:03.000 --> 00:04:06.000]  問題就是我們在不知不覺當中
[00:04:06.000 --> 00:04:09.000]  將我們教會的生活,將我們教會的活動
[00:04:09.000 --> 00:04:14.000]  限制在教堂的範圍裡面
[00:04:14.000 --> 00:04:16.000]  你聽明白我說什麼嗎?
[00:04:16.000 --> 00:04:18.000]  是不知不覺的,本來是一件好事
[00:04:18.000 --> 00:04:21.000]  但是歷史慢慢發展,教會慢慢增長的時候
[00:04:21.000 --> 00:04:24.000]  我們將一切的活動,我們所做的事情
[00:04:24.000 --> 00:04:26.000]  限制在教會裡面
[00:04:26.000 --> 00:04:29.000]  一個好不好的結果是什麼呢?
[00:04:29.000 --> 00:04:31.000]  因為通常教會聚會,教會活動
[00:04:31.000 --> 00:04:33.000]  在什麼時間舉行呢?
[00:04:33.000 --> 00:04:35.000]  星期天嘛
