
[00:00:00.000 --> 00:00:05.940]  好不好,在開始之前,我邀請大家一同為今天的信息來禱告
[00:00:05.940 --> 00:00:08.580]  親愛的主,我們來到祢的面前
[00:00:08.580 --> 00:00:13.220]  主啊,讓我們珍惜每一個祢與我們同在的時刻
[00:00:13.220 --> 00:00:16.080]  主啊,讓我們現在的焦距對準祢
[00:00:16.080 --> 00:00:18.920]  主啊,讓原祢的聖靈向我們來說話
[00:00:18.920 --> 00:00:22.660]  主啊,求祢賜給孩子口才,賜給孩子智慧
[00:00:22.660 --> 00:00:26.000]  主啊,讓我知道祢要我分享的是什麼內容
[00:00:26.000 --> 00:00:27.800]  主求祢帶領我們
[00:00:27.800 --> 00:00:31.360]  讓我們弟兄姊妹,我們都回到祢的話語裡面
[00:00:31.360 --> 00:00:34.500]  主啊,重視祢向我們所說的每一句話
[00:00:34.500 --> 00:00:37.040]  我們也樂意照著去遵行
[00:00:37.040 --> 00:00:39.000]  謝謝主,垂聽我們的禱告
[00:00:39.000 --> 00:00:42.080]  奉靠耶穌基督,寶貴得勝的民求
[00:00:42.080 --> 00:00:43.080]  Amen
[00:00:43.080 --> 00:00:48.220]  今天我要跟大家分享的題目是
[00:00:48.220 --> 00:00:49.780]  求主恩高我
[00:00:49.780 --> 00:00:51.860]  為什麼要分享這個題目呢?
[00:00:51.860 --> 00:00:54.480]  是有一次在我們同工
[00:00:54.480 --> 00:00:57.160]  牧澤同工團隊我們在禱告的時候
[00:00:57.160 --> 00:00:59.820]  我感覺到,我覺得我們教會
[00:00:59.820 --> 00:01:05.060]  需要辦一場,或者辦很多場
[00:01:05.060 --> 00:01:08.000]  這個神同在的聚會
[00:01:08.000 --> 00:01:11.440]  其實我們很多的聚會對不對
[00:01:11.440 --> 00:01:13.180]  我們生活中有很多的聚會
[00:01:13.180 --> 00:01:17.080]  其實我們應該把這些聚會轉化成神同在的聚會
[00:01:17.080 --> 00:01:21.040]  應該是讓每一場聚會都有神的同在
[00:01:21.040 --> 00:01:25.820]  而不是另外刻意的去找一個時間一個地點
[00:01:25.820 --> 00:01:29.220]  讓寧良堂不管是英語堂還是粵語堂
[00:01:29.220 --> 00:01:31.860]  還是國語堂的弟兄姊妹來參加
[00:01:31.860 --> 00:01:34.660]  來感受到神的同在
[00:01:34.660 --> 00:01:37.060]  那我就在思想這個議題的時候
[00:01:37.060 --> 00:01:41.740]  我就想到,其實我們要來認識聖靈的工作
[00:01:41.740 --> 00:01:44.940]  我們要認識神在我們教會
[00:01:44.940 --> 00:01:47.440]  在我們信徒生命當中
[00:01:47.440 --> 00:01:51.280]  聖靈到底扮演什麼樣的角色
[00:01:51.280 --> 00:01:56.420]  我們是否真實的看重神在我們生命中
[00:01:56.420 --> 00:01:59.460]  所擺下來的這些的屬靈領袖
[00:01:59.460 --> 00:02:02.660]  還有神給我們的裝備
[00:02:02.660 --> 00:02:12.640]  所以我選擇了這個路加福音的這段經文
[00:02:12.640 --> 00:02:14.940]  在我們成禱的時候
[00:02:14.940 --> 00:02:18.040]  不久之前才跟大家分享
[00:02:18.040 --> 00:02:20.780]  不過呢,我今天想要從另外一個角度
[00:02:20.780 --> 00:02:23.740]  來跟大家分享恩高是什麼
[00:02:23.740 --> 00:02:25.540]  主耶穌說
[00:02:25.540 --> 00:02:27.240]  主的靈在我身上
[00:02:27.240 --> 00:02:28.760]  因為祂用高高我
[00:02:28.760 --> 00:02:31.080]  叫我傳福音給貧窮的人
[00:02:31.080 --> 00:02:34.420]  什麼是高呢?
[00:02:34.420 --> 00:02:36.720]  因為祂用高高我
[00:02:36.720 --> 00:02:38.660]  你們想到高,你們想到什麼?
