
[00:00:00.000 --> 00:00:03.500]  各位兄弟姐妹,我是讀歷史的
[00:00:03.500 --> 00:00:07.120]  所以有時我講到都會講一些歷史的故事
[00:00:07.120 --> 00:00:10.120]  不過可能有些人就覺得
[00:00:10.120 --> 00:00:12.620]  又是講歷史呀?
[00:00:12.620 --> 00:00:14.360]  out的喎
[00:00:14.360 --> 00:00:19.440]  不過有些可能有些data、有些資料真是out的
[00:00:19.440 --> 00:00:23.080]  但是在這些故事裡面的處境
[00:00:23.080 --> 00:00:24.880]  那些人的心路歷程
[00:00:24.880 --> 00:00:26.520]  那些人的反應
[00:00:26.520 --> 00:00:28.160]  那些人的想法
[00:00:28.160 --> 00:00:30.600]  可能跟我們今天都很有關係的
[00:00:30.600 --> 00:00:34.240]  主要是在日光之下無新事
[00:00:34.240 --> 00:00:38.680]  所以今天當我講一些某些故事的時候
[00:00:38.680 --> 00:00:40.080]  你又留意一下
[00:00:40.080 --> 00:00:42.880]  勝利妹妹藉著那些故事
[00:00:42.880 --> 00:00:44.720]  跟你說話
[00:00:44.720 --> 00:00:47.400]  好,1940年5月
[00:00:47.400 --> 00:00:49.400]  我記這個日子三五次
[00:00:49.400 --> 00:00:51.160]  1940年5月
[00:00:51.160 --> 00:00:55.040]  是第二次世界大戰的初期
[00:00:55.040 --> 00:00:57.600]  英國和法國
[00:00:57.600 --> 00:00:59.600]  都已經向德國宣戰
[00:00:59.600 --> 00:01:01.360]  他們怎樣預備呢?
[00:01:01.360 --> 00:01:05.080]  他們估計德軍會在比利時
[00:01:05.080 --> 00:01:08.920]  那個地方進攻法國的北部
[00:01:08.920 --> 00:01:13.800]  所以他們在那裡就擺了很多的軍隊在那裡防備
[00:01:13.800 --> 00:01:15.800]  但是他們怎樣都想不到
[00:01:15.800 --> 00:01:17.800]  在他們的後面原來是
[00:01:17.800 --> 00:01:21.280]  這個盧森堡的森林
[00:01:21.280 --> 00:01:22.880]  沒有人想過
[00:01:22.880 --> 00:01:24.880]  德軍在那裡可以穿越的
[00:01:24.880 --> 00:01:27.840]  因為很多的森林,很密的森林
[00:01:27.840 --> 00:01:29.840]  但是竟然德國的坦克
[00:01:29.840 --> 00:01:31.840]  用閃電子的方式
[00:01:31.840 --> 00:01:34.960]  很快就穿過了那個森林
[00:01:34.960 --> 00:01:36.480]  包抄他們
[00:01:36.480 --> 00:01:40.400]  所以那時候有40萬的英軍
[00:01:40.400 --> 00:01:44.880]  被困在一個叫做鄧寇克的沙灘那裡
[00:01:44.880 --> 00:01:47.720]  現在圖上面給大家看一張照片
[00:01:47.720 --> 00:01:53.000]  就是當年英軍被德軍包圍著
[00:01:53.000 --> 00:01:56.440]  這個傳單是當時德軍的飛機丟下去
[00:01:56.440 --> 00:01:57.880]  叫他們投降的
[00:01:57.880 --> 00:01:59.320]  我們已經包圍你了
[00:01:59.320 --> 00:02:00.800]  你無路可走的了
[00:02:00.800 --> 00:02:03.280]  你又沒有船載你過去
[00:02:03.280 --> 00:02:07.080]  如果你是當時的英國人
[00:02:07.080 --> 00:02:08.680]  你會怎樣想呢?
[00:02:08.680 --> 00:02:10.440]  如果你40萬的英軍
[00:02:10.440 --> 00:02:14.840]  其實是等於全個英國的陸軍的總和
[00:02:14.840 --> 00:02:17.040]  換句話說,如果你40萬人投降
[00:02:17.040 --> 00:02:19.040]  又或者全部被消滅
