
[00:00:00.000 --> 00:00:01.320]  丁永自美平安
[00:00:01.320 --> 00:00:05.680]  無論你在現場還是在家裏
[00:00:05.680 --> 00:00:08.480]  讓我們帶着一個渴慕的心
[00:00:08.480 --> 00:00:11.120]  恭敬的來到神的面前領受神的話語
[00:00:11.120 --> 00:00:14.200]  我想今天的經文大家都蠻熟悉的
[00:00:14.200 --> 00:00:17.360]  如果你是基督徒可能都聽過這個神蹟的故事
[00:00:17.360 --> 00:00:17.760]  對不對
[00:00:17.760 --> 00:00:19.000]  這個神蹟的記載
[00:00:19.000 --> 00:00:22.200]  我預備的時候就想到
[00:00:22.200 --> 00:00:24.640]  曾經有一個傳道人講過一個故事
[00:00:24.640 --> 00:00:26.920]  曾經在一個墓者
[00:00:26.920 --> 00:00:32.520]  墓者一個傳道人他在法國的一個鄉村在那裏傳道
[00:00:32.520 --> 00:00:35.120]  這個鄉村盛產白葡萄酒
[00:00:35.120 --> 00:00:38.680]  所以傳完道之後就要收取一些奉獻
[00:00:38.680 --> 00:00:39.240]  對吧
[00:00:39.240 --> 00:00:41.920]  結果村民沒有什麼錢
[00:00:41.920 --> 00:00:43.760]  但是家家都有酒
[00:00:43.760 --> 00:00:45.200]  傳道人說這樣好了
[00:00:45.200 --> 00:00:46.720]  我這裏有一口缸
[00:00:46.720 --> 00:00:49.920]  大家一人就奉獻一勺酒好了
[00:00:49.920 --> 00:00:52.160]  所以每人一勺
[00:00:52.160 --> 00:00:53.160]  每人一勺
[00:00:53.160 --> 00:00:54.680]  每家倒一勺
[00:00:54.680 --> 00:00:57.680]  這個缸就滿了
[00:00:57.680 --> 00:01:00.800]  然後傳道人很感恩
[00:01:00.800 --> 00:01:04.960]  結果拿起一勺來喝了一口
[00:01:04.960 --> 00:01:06.800]  水
[00:01:06.800 --> 00:01:08.520]  完全是水
[00:01:08.520 --> 00:01:09.480]  你知道爲什麼嗎
[00:01:09.480 --> 00:01:16.000]  因爲村民想每個人都奉獻一勺酒
[00:01:16.000 --> 00:01:19.200]  我就奉獻一勺水的話也嘗不出來
[00:01:19.200 --> 00:01:22.040]  明白嗎
[00:01:22.040 --> 00:01:25.200]  所以他們認爲說既然都嘗不出來
[00:01:25.200 --> 00:01:28.080]  所以每個人都有這樣一個僥倖的心理
[00:01:28.080 --> 00:01:29.320]  投機的心理
[00:01:29.320 --> 00:01:30.800]  所以都奉獻了一勺水
[00:01:30.800 --> 00:01:32.680]  結果整整一缸的水
[00:01:32.680 --> 00:01:37.680]  所以讓我們看到人的罪可以把酒變成水
[00:01:37.680 --> 00:01:41.480]  但是今天的經文我們看到神的恩
[00:01:41.480 --> 00:01:45.000]  神的能力是可以把水變成酒
[00:01:45.000 --> 00:01:45.800]  阿們
[00:01:45.800 --> 00:01:48.840]  講到這段經文
[00:01:48.840 --> 00:01:50.920]  我必須先解釋一下
[00:01:50.920 --> 00:01:56.120]  我們中國人的這個世代的飲酒和今天的這個世代的飲酒是不太一樣的
[00:01:56.120 --> 00:02:02.680]  酒在2000年前中東社會是不可缺少的一個飲料
[00:02:02.680 --> 00:02:03.160]  爲什麼
[00:02:03.160 --> 00:02:04.240]  很簡單
[00:02:04.240 --> 00:02:05.680]  它不會腐敗
[00:02:05.680 --> 00:02:07.000]  它不會腐化
