
[00:00:00.000 --> 00:00:05.760]  在這兩個月我們的心情都是顛簸的
[00:00:05.760 --> 00:00:09.840]  有些人說我們都是在經歷分裂
[00:00:09.840 --> 00:00:12.120]  我們內部分裂
[00:00:12.120 --> 00:00:16.800]  我們的心、我們的身體、我們的頭腦是分裂的
[00:00:16.800 --> 00:00:23.600]  我們的家庭、我們的教會、社會都是分裂的
[00:00:23.600 --> 00:00:25.720]  我們怎樣去回應呢?
[00:00:25.720 --> 00:00:30.800]  什麼叫做好的回應,什麼叫做不好的回應呢?
[00:00:30.800 --> 00:00:34.720]  要知道什麼叫做好,什麼叫做不好
[00:00:34.720 --> 00:00:37.120]  這個就是關乎智慧
[00:00:37.120 --> 00:00:40.520]  也是關乎使人得福
[00:00:40.520 --> 00:00:46.760]  當然我所講的不單止是和當下有一定的關係
[00:00:46.760 --> 00:00:50.320]  我想讓大家知道這個不單止是當下
[00:00:50.320 --> 00:00:55.120]  並且是和我們日常的生活當中是相關的
[00:00:55.120 --> 00:00:57.240]  不單止是爲着今天
[00:00:57.240 --> 00:00:58.960]  也是爲着將來
[00:00:58.960 --> 00:01:01.160]  一個很長遠的路
[00:01:01.160 --> 00:01:03.440]  我們一同要前進的
[00:01:03.440 --> 00:01:05.640]  所以今天我們分享的題目就是
[00:01:05.640 --> 00:01:10.280]  追尋智慧使人得福
[00:01:10.280 --> 00:01:15.480]  阿里士多德寫了一本倫理學的巨書
[00:01:15.480 --> 00:01:18.240]  叫做《尼國馬可倫理學》
[00:01:18.240 --> 00:01:24.760]  這本書就稱爲西方倫理學的第一本巨書
[00:01:24.760 --> 00:01:31.120]  這本書其實是阿里士多德用兒子的名字來命名的
[00:01:31.120 --> 00:01:33.440]  就是爸爸給兒子的禮物
[00:01:33.440 --> 00:01:38.080]  這本書只是一本使用手冊的簡介
[00:01:38.080 --> 00:01:42.920]  在這本手冊當中,阿里士多德想問一些很核心的問題
[00:01:42.920 --> 00:01:46.880]  就是說,怎樣纔是活得好
[00:01:46.880 --> 00:01:49.640]  我們怎樣行動纔是好
[00:01:49.640 --> 00:01:52.840]  能夠行動得喜樂
[00:01:52.840 --> 00:01:55.920]  我們怎樣生活得美麗
[00:01:55.920 --> 00:01:58.280]  我們要怎樣彼此的對待
[00:01:58.280 --> 00:02:00.880]  建立一個美好的社會
[00:02:00.880 --> 00:02:05.360]  根據阿里士多德,美麗的人生
[00:02:05.360 --> 00:02:08.360]  是有一些重要的品德
[00:02:08.360 --> 00:02:10.960]  品德是什麼呢?是我們的態度
[00:02:10.960 --> 00:02:13.160]  我們的氣質
[00:02:13.160 --> 00:02:17.360]  我們做事的傾向,想事的傾向,說話的傾向
[00:02:17.360 --> 00:02:22.440]  以一個正確的方式去行動
[00:02:22.440 --> 00:02:26.280]  能夠在社會當中建立美善
[00:02:26.280 --> 00:02:30.480]  在這本《尼國馬可倫起學》當中
[00:02:30.480 --> 00:02:35.080]  阿里士多德就說出四種核心的品德
[00:02:35.080 --> 00:02:36.720]  明智
[00:02:36.720 --> 00:02:38.240]  正義
[00:02:38.240 --> 00:02:39.680]  勇氣
[00:02:39.680 --> 00:02:41.440]  節制
[00:02:41.440 --> 00:02:46.520]  早期的教會就說這四種的品德是好東西
[00:02:46.520 --> 00:02:48.600]  是和我們基督教信仰都是相符的
[00:02:48.600 --> 00:02:51.760]  雖然是哲學,不過和我們基督教信仰是相符的
[00:02:51.760 --> 00:02:55.240]  後期,早期教會也加上三樣的品德
[00:02:55.240 --> 00:02:57.400]  是我們城鎮家很熟悉的
[00:02:57.400 --> 00:03:00.400]  就是信、忘、愛
[00:03:00.400 --> 00:03:02.520]  我們稱這七種品德
[00:03:02.520 --> 00:03:06.840]  叫做是由天上而來的品德
[00:03:06.840 --> 00:03:10.120]  這個是美麗生命的藍圖
[00:03:10.120 --> 00:03:14.640]  在今天,今早我們是集中在第一個的品德
[00:03:14.640 --> 00:03:18.640]  叫做明智,或者智慧,叫做prudence
[00:03:18.640 --> 00:03:24.160]  明智其實這個字是解釋爲實踐智慧
[00:03:24.160 --> 00:03:27.960]  重點就在實踐方面,不是隻有想
[00:03:27.960 --> 00:03:31.520]  意思就是說在生活當中所顯露出來的智慧
[00:03:31.520 --> 00:03:35.280]  是我們生活當中所需要的智慧
[00:03:35.280 --> 00:03:37.320]  實踐智慧就是說
[00:03:37.320 --> 00:03:40.240]  你停下來,想一想
[00:03:40.240 --> 00:03:43.320]  你行動的結果是什麼
[00:03:43.320 --> 00:03:44.960]  實踐智慧就是說
[00:03:44.960 --> 00:03:48.000]  你都要花時間,你往下向前看一看
[00:03:48.000 --> 00:03:50.480]  查一查,看看你自己在想什麼
[00:03:50.480 --> 00:03:54.200]  看看你自己有沒有什麼ego在裏面
[00:03:54.200 --> 00:03:56.840]  所以譬如在我們日常生活當中
[00:03:56.840 --> 00:03:58.520]  在社交媒體
[00:03:58.520 --> 00:04:01.640]  我們很多時候見到一些不開心的事
