
[00:00:00.000 --> 00:00:04.740]  今日我選了一位牧者在他臨死之前
[00:00:04.740 --> 00:00:08.280]  和他的屬靈兒子提摩泰這一段說話
[00:00:08.280 --> 00:00:11.520]  和大家去做一些勉勵和提醒
[00:00:11.520 --> 00:00:14.420]  在講道之先我先有一個禱告
[00:00:14.420 --> 00:00:18.560]  主耶穌基督我們獻上感謝
[00:00:18.560 --> 00:00:23.220]  我們可以一同在聖殿裏面去敬拜上帝
[00:00:23.220 --> 00:00:28.500]  願意祢的說話都成為我們的幫助和激勵
[00:00:28.500 --> 00:00:32.940]  我們亦都心願無論是聽的人、講的人
[00:00:32.940 --> 00:00:37.780]  都謙卑在祢面前去恭聽上帝祢自己的說話
[00:00:37.780 --> 00:00:40.100]  我們多謝祢聽我們的禱告
[00:00:40.100 --> 00:00:44.060]  是奉耶穌基督得聖名祈求 阿們
[00:00:44.060 --> 00:00:50.440]  我講一講這本書的小小的背景
[00:00:50.440 --> 00:00:55.920]  其實如果我們看提摩太后書第四章
[00:00:55.920 --> 00:00:58.780]  我們大概知道保羅快要死了
[00:00:58.780 --> 00:01:03.280]  因為第四章其實講了一段的幻歌
[00:01:03.280 --> 00:01:06.360]  保羅自己講自己一段的幻歌
[00:01:06.360 --> 00:01:10.680]  他說我現在被囂電 我離世的時候到了
[00:01:10.680 --> 00:01:13.640]  那美好的象我已經打過了
[00:01:13.640 --> 00:01:16.460]  當跑的路我已經跑盡了
[00:01:16.460 --> 00:01:20.320]  所信的道我已經守住了
[00:01:20.320 --> 00:01:23.900]  這句話大概我們知道保羅快要離世了
[00:01:23.900 --> 00:01:26.600]  他離世不是因為病而離世的
[00:01:26.600 --> 00:01:30.000]  他是因為逼伯殉道離世
[00:01:30.000 --> 00:01:32.760]  當時的皇帝叫做尼祿皇帝
[00:01:32.760 --> 00:01:35.740]  可能大家都有聽過這個名字
[00:01:35.740 --> 00:01:38.020]  尼祿是一個暴君
[00:01:38.020 --> 00:01:42.220]  其實保羅死的時候的同期
[00:01:42.220 --> 00:01:44.920]  都有一些使徒他們都是殉道的
[00:01:44.920 --> 00:01:48.360]  譬如彼得 彼得和保羅都是大約
[00:01:48.360 --> 00:01:55.340]  主后六十多年的時候 即是尼祿作王的時候他們殉道
[00:01:55.340 --> 00:01:59.400]  保羅快要死 然後他寫了一封信
[00:01:59.400 --> 00:02:01.420]  給他的屬靈兒子提摩太
[00:02:01.420 --> 00:02:03.420]  希望屬靈兒子提摩太
[00:02:03.420 --> 00:02:08.040]  他領受到保羅對他的那份心意
[00:02:08.040 --> 00:02:11.260]  或者怎樣叮囑他向前走
[00:02:11.260 --> 00:02:12.940]  或者我們這樣去想
[00:02:12.940 --> 00:02:16.360]  如果有一天香港去到一個地步
[00:02:16.360 --> 00:02:21.980]  好像當年尼祿皇帝作王的時候
[00:02:21.980 --> 00:02:27.040]  第一批人過世 或者第一批人被逼伯殉道離世
[00:02:27.040 --> 00:02:29.340]  如果用太古城堂去做一個例子
[00:02:29.340 --> 00:02:32.560]  當然是李牧師 接著就是歐牧師
[00:02:32.560 --> 00:02:35.880]  接著到誰呢? 接著到Michael
[00:02:35.880 --> 00:02:40.980]  十級以下 有一天可能就是去到你那裡
[00:02:40.980 --> 00:02:42.260]  我們這樣去想
[00:02:42.260 --> 00:02:48.080]  如果你是尼牧師 歐牧師的屬靈兒女
[00:02:48.080 --> 00:02:53.280]  他們被抓到坐牢 你也知道他快要死了
[00:02:53.280 --> 00:02:57.960]  那作為你 或者我們會想到作為提摩太
[00:02:57.960 --> 00:03:01.200]  其實他有些什麼心情呢?
[00:03:01.200 --> 00:03:04.440]  我相信也不會像拜年那樣興奮 是吧?
[00:03:04.440 --> 00:03:06.660]  他應該也會很忐忑
[00:03:06.660 --> 00:03:10.580]  或者他可能會在想 其實什麼時候到我呢?
[00:03:10.580 --> 00:03:15.820]  就好像香港這個大環境可能也是一樣的
[00:03:15.820 --> 00:03:17.980]  我們之前 上一年疫情
[00:03:17.980 --> 00:03:20.660]  我們可能也問了很多這個問題
[00:03:20.660 --> 00:03:23.060]  就是疫時什麼時候會停呢?
[00:03:23.060 --> 00:03:25.280]  我們什麼時候不用戴口罩呢?
[00:03:25.280 --> 00:03:28.540]  這個也是疫情給我們一些的陰霾
[00:03:28.540 --> 00:03:32.140]  或者一些的白色恐怖
[00:03:32.140 --> 00:03:37.000]  但是如果香港真的去到
[00:03:37.000 --> 00:03:41.840]  好像當年的環境有一些政治的迫害
[00:03:41.840 --> 00:03:46.740]  其實作為信徒 你會怎麼想的呢?
[00:03:46.740 --> 00:03:49.620]  然後 當然了 保羅他也知道
[00:03:49.620 --> 00:03:53.060]  他的屬靈兒子提摩太也會很忐忑不安
[00:03:53.060 --> 00:03:57.000]  所以他在監獄裏面也要寫一封信給提摩太
