
[00:00:00.000 --> 00:00:05.000]  當我們看到今天的經文的這個主題的時候
[00:00:05.000 --> 00:00:07.000]  你會不會覺得很奇怪
[00:00:07.000 --> 00:00:09.000]  為真道爭辯
[00:00:09.000 --> 00:00:14.000]  你看聖經裡面告訴我們
[00:00:14.000 --> 00:00:15.000]  常常都告訴我們說
[00:00:15.000 --> 00:00:19.000]  凡所行的都不要發怨言
[00:00:19.000 --> 00:00:20.000]  還有什麼
[00:00:20.000 --> 00:00:23.000]  起爭論 是不是
[00:00:23.000 --> 00:00:28.000]  你看見 即使是保羅講這句話
[00:00:28.000 --> 00:00:31.000]  但是保羅的書信裡面他也充滿了
[00:00:31.000 --> 00:00:33.000]  我們弟兄準備在一起
[00:00:33.000 --> 00:00:35.000]  要彼此和睦 對不對
[00:00:35.000 --> 00:00:38.000]  一心追趕 是不是
[00:00:38.000 --> 00:00:40.000]  要追求和睦 一心追趕
[00:00:40.000 --> 00:00:42.000]  耶穌基督的十字架
[00:00:42.000 --> 00:00:44.000]  拆斷了我們中間隔斷的牆
[00:00:44.000 --> 00:00:46.000]  使我們兩下能夠合而為一 是不是
[00:00:46.000 --> 00:00:48.000]  等等這些的經文
[00:00:48.000 --> 00:00:49.000]  你都是告訴我們看見
[00:00:49.000 --> 00:00:51.000]  教會裡面應該是充滿了和諧
[00:00:51.000 --> 00:00:53.000]  彼此相愛的 是不是
[00:00:53.000 --> 00:00:55.000]  是不是如此
[00:00:55.000 --> 00:00:58.000]  是不是 是 對不對
[00:00:58.000 --> 00:01:02.000]  但是 所以我在想著今天這個主題的時候
[00:01:02.000 --> 00:01:04.000]  唉呀 我想了斟酌了半天
[00:01:04.000 --> 00:01:07.000]  要不要講爭辯這兩個字
[00:01:07.000 --> 00:01:08.000]  不過呢
[00:01:08.000 --> 00:01:11.000]  我就想到聖經上有提到爭辯
[00:01:11.000 --> 00:01:13.000]  等一下我會說
[00:01:13.000 --> 00:01:16.000]  在加拿大書今天我們要講的
[00:01:16.000 --> 00:01:18.000]  最大聖經裡面
[00:01:18.000 --> 00:01:24.000]  保羅他還記得我們上次信息講到
[00:01:24.000 --> 00:01:27.000]  保羅為了這一個福音 對不對
[00:01:27.000 --> 00:01:31.000]  他是 他像這些外報人傳福音的
[00:01:31.000 --> 00:01:34.000]  保羅是外報人的使徒
[00:01:34.000 --> 00:01:36.000]  那麼但是彼得呢
[00:01:36.000 --> 00:01:39.000]  是猶太人的使徒 是不是
[00:01:39.000 --> 00:01:41.000]  所以還記得上次我們提到說
[00:01:41.000 --> 00:01:44.000]  所以保羅特別為了這個緣故
[00:01:44.000 --> 00:01:48.000]  因為有從這個耶路撒冷教會來的
[00:01:48.000 --> 00:01:50.000]  這些弟兄來說 你們不可以
[00:01:50.000 --> 00:01:52.000]  你們這些外報人信耶穌
[00:01:52.000 --> 00:01:54.000]  不單單信耶穌 你們還需要怎麼樣
[00:01:54.000 --> 00:01:56.000]  還要受割禮
[00:01:56.000 --> 00:01:58.000]  受割禮了才能得救
[00:01:58.000 --> 00:01:59.000]  所以保羅為這個事情
[00:01:59.000 --> 00:02:01.000]  他就上去到耶路撒冷
[00:02:01.000 --> 00:02:05.000]  跟這些耶路撒冷教會的三大助使
[00:02:05.000 --> 00:02:07.000]  彼得 約翰 還有什麼 雅各
[00:02:07.000 --> 00:02:08.000]  跟他們講說
[00:02:08.000 --> 00:02:10.000]  最後他證明一件事情就是說
[00:02:10.000 --> 00:02:13.000]  我們所領受的福音是一樣的
[00:02:13.000 --> 00:02:15.000]  這個福音是唯一的
[00:02:15.000 --> 00:02:17.000]  這個福音是我們所領受的
[00:02:17.000 --> 00:02:19.000]  跟這個使徒們都印證
[00:02:19.000 --> 00:02:21.000]  這個是不能夠改變的福音
[00:02:21.000 --> 00:02:25.000]  不可以說今天因這要再加上什麼
[00:02:25.000 --> 00:02:27.000]  我們信耶穌是因為信耶穌
[00:02:27.000 --> 00:02:29.000]  不是因為行為
[00:02:29.000 --> 00:02:31.000]  請記得這件事情
[00:02:31.000 --> 00:02:35.000]  所以講完這些之後呢
[00:02:35.000 --> 00:02:40.000]  接著就是第二章十一節到十六節
[00:02:40.000 --> 00:02:42.000]  保羅接著講什麼呢
[00:02:42.000 --> 00:02:44.000]  保羅說後來基法到了
[00:02:44.000 --> 00:02:47.000]  基法是誰呢
[00:02:47.000 --> 00:02:49.000]  基法就是彼得
[00:02:49.000 --> 00:02:53.000]  好了 耶路撒冷的當家使徒彼得來了
[00:02:53.000 --> 00:02:56.000]  是不是 主耶穌的大弟子彼得來了
[00:02:56.000 --> 00:02:59.000]  彼得到了安提阿
[00:02:59.000 --> 00:03:02.000]  記得啊 安提阿是外邦人的教會
[00:03:02.000 --> 00:03:07.000]  是這個當耶路撒冷教會興旺之後
[00:03:07.000 --> 00:03:08.000]  然後遭受逼迫
[00:03:08.000 --> 00:03:10.000]  然後慢慢這個被逼迫的人
[00:03:10.000 --> 00:03:12.000]  就開始出去傳福音
[00:03:12.000 --> 00:03:14.000]  所以在安提阿這裡都是
[00:03:14.000 --> 00:03:16.000]  多數都是這些外邦人
[00:03:16.000 --> 00:03:20.000]  那麼他保羅說後來基法到了安提阿
[00:03:20.000 --> 00:03:22.000]  因他有可責之處
[00:03:22.000 --> 00:03:30.000]  我就當面抵擋他
[00:03:30.000 --> 00:03:33.000]  這裡到底是什麼一件事情呢
