
[00:00:00.000 --> 00:00:05.000]  請珍妮姐妹主內平安
[00:00:05.000 --> 00:00:08.000]  大家喜不喜歡看電影呢?
[00:00:08.000 --> 00:00:10.000]  我很喜歡看電影
[00:00:10.000 --> 00:00:13.000]  不過我以前很少看電影
[00:00:13.000 --> 00:00:15.000]  尤其是過去十年都不是太多
[00:00:15.000 --> 00:00:18.000]  我只看了幾套
[00:00:18.000 --> 00:00:21.000]  我會在什麼情況需要看電影呢?
[00:00:21.000 --> 00:00:23.000]  就是在我心情很低落
[00:00:23.000 --> 00:00:24.000]  很迷惘
[00:00:24.000 --> 00:00:26.000]  屬靈生命很低沉的時候
[00:00:26.000 --> 00:00:28.000]  我會特別去祈禱
[00:00:28.000 --> 00:00:31.000]  求神讓我去看一套麗智的電影
[00:00:31.000 --> 00:00:32.000]  去激勵我
[00:00:32.000 --> 00:00:34.000]  其中一套是很有印象的
[00:00:34.000 --> 00:00:37.000]  亦對我生命有很大的影響
[00:00:37.000 --> 00:00:40.000]  這套電影就是《Guardian》
[00:00:40.000 --> 00:00:41.000]  驚濤搶救
[00:00:41.000 --> 00:00:44.000]  我想問在座有沒有人看過?
[00:00:44.000 --> 00:00:45.000]  終於有了
[00:00:45.000 --> 00:00:49.000]  是在2006年年底播放的
[00:00:49.000 --> 00:00:51.000]  當時到底發生了什麼事呢?
[00:00:51.000 --> 00:00:55.000]  當時我參加了短宣中心
[00:00:55.000 --> 00:00:58.000]  兩年的全時間訓練
[00:00:58.000 --> 00:01:02.000]  大家知不知道短宣中心的訓練是什麼呢?
[00:01:02.000 --> 00:01:03.000]  都不太知道
[00:01:03.000 --> 00:01:06.000]  我們信徒當中
[00:01:06.000 --> 00:01:09.000]  上帝不是呼召所有人去成為傳道人
[00:01:09.000 --> 00:01:10.000]  全時間去侍奉
[00:01:10.000 --> 00:01:13.000]  但又要讓所有人去傳福音
[00:01:13.000 --> 00:01:14.000]  不懂得傳
[00:01:14.000 --> 00:01:17.000]  所以短宣中心就開始了
[00:01:17.000 --> 00:01:20.000]  有兩年的全時間訓練
[00:01:20.000 --> 00:01:25.000]  今次我們奉獻十分之一
[00:01:25.000 --> 00:01:28.000]  同樣奉獻時間上的十分之一
[00:01:28.000 --> 00:01:30.000]  假如一個人有六十歲命
[00:01:30.000 --> 00:01:32.000]  十分之一即是六年
[00:01:32.000 --> 00:01:34.000]  六年很艱難
[00:01:34.000 --> 00:01:37.000]  奉獻六年的時間去做神的工作
[00:01:37.000 --> 00:01:39.000]  就兩年
[00:01:39.000 --> 00:01:41.000]  所以有兩年的全時間
[00:01:41.000 --> 00:01:45.000]  都有機會去學習和出隊傳福音
[00:01:45.000 --> 00:01:47.000]  我們當中的生活是怎樣呢?
[00:01:47.000 --> 00:01:50.000]  我們逢星期二至四早上八時
[00:01:50.000 --> 00:01:52.000]  我們會一起去準備靈修
[00:01:52.000 --> 00:01:54.000]  然後當中的聖經學習
[00:01:54.000 --> 00:01:56.000]  學習怎樣去傳福音
[00:01:56.000 --> 00:01:58.000]  然後晚上或下午會出隊
[00:01:58.000 --> 00:02:01.000]  我們出隊、收隊的時候已經是九時多
[00:02:01.000 --> 00:02:03.000]  大家可以想像
[00:02:03.000 --> 00:02:05.000]  星期二至四都是這樣
[00:02:05.000 --> 00:02:07.000]  星期五上午都有些學習
[00:02:07.000 --> 00:02:10.000]  下午直至星期日
[00:02:10.000 --> 00:02:13.000]  就是教會的實習
[00:02:13.000 --> 00:02:16.000]  亦都是因為我成為短宣之後
[00:02:16.000 --> 00:02:18.000]  我在教會的實習
[00:02:18.000 --> 00:02:20.000]  由三樣的實習變成七樣的實習
[00:02:20.000 --> 00:02:22.000]  大家可以想像
[00:02:22.000 --> 00:02:24.000]  七樣的實習都是新的
[00:02:24.000 --> 00:02:27.000]  所以對我來說都是很大壓力
[00:02:27.000 --> 00:02:29.000]  大家數數手指
[00:02:29.000 --> 00:02:31.000]  咦!還有星期一
[00:02:31.000 --> 00:02:33.000]  星期一要做甚麼呢?
[00:02:33.000 --> 00:02:35.000]  星期一就是我陪伴家人
[00:02:35.000 --> 00:02:37.000]  跟進福音對象
[00:02:37.000 --> 00:02:39.000]  做功課、溫書
[00:02:39.000 --> 00:02:41.000]  我們要考試的
[00:02:41.000 --> 00:02:43.000]  還有做家務的日子
[00:02:43.000 --> 00:02:46.000]  一天之內哪裏可以做這麼多事
[00:02:46.000 --> 00:02:48.000]  是的,沒錯,是做不到這麼多事的
[00:02:48.000 --> 00:02:51.000]  所以當時我完全搞不定
[00:02:51.000 --> 00:02:53.000]  與此同時
[00:02:53.000 --> 00:02:56.000]  家人都不太贊成我去短宣
[00:02:56.000 --> 00:02:58.000]  不知道做甚麼
[00:02:58.000 --> 00:02:59.000]  尤其是我爸爸
[00:02:59.000 --> 00:03:01.000]  他說自己是無神論的
[00:03:01.000 --> 00:03:03.000]  他不相信這個世界有神
[00:03:03.000 --> 00:03:05.000]  對於我在短宣的時候
[00:03:05.000 --> 00:03:08.000]  他會覺得我好像在做和尚
[00:03:08.000 --> 00:03:10.000]  在逃避生活
[00:03:10.000 --> 00:03:13.000]  所以我當時想起都很難過
[00:03:13.000 --> 00:03:15.000]  在這個情況下
[00:03:15.000 --> 00:03:17.000]  我去看了這套電影
[00:03:17.000 --> 00:03:19.000]  今天我很想嘗試
