
[00:00:00.000 --> 00:00:03.780]  神在約瑟雅基第三章第四節裡面
[00:00:03.780 --> 00:00:06.000]  神對約瑟雅所說的一句話
[00:00:06.000 --> 00:00:07.220]  神對他說
[00:00:07.220 --> 00:00:11.720]  這條路是你們向來沒走過的道路
[00:00:11.720 --> 00:00:14.800]  我就想到神在我們教會這些年
[00:00:14.800 --> 00:00:17.840]  真的帶領我們走過多少次
[00:00:17.840 --> 00:00:20.960]  向來沒有走過的道路
[00:00:20.960 --> 00:00:22.880]  你知道很多時候我們人的眼目
[00:00:22.880 --> 00:00:26.960]  常常會只看見新的事情
[00:00:26.960 --> 00:00:31.320]  我們常常很想知道神在做什麼新的工作呢
[00:00:31.320 --> 00:00:35.800]  神要在我們生命當中成就什麼新的事情呢
[00:00:35.800 --> 00:00:37.640]  但這些年我越來越明白
[00:00:37.640 --> 00:00:41.600]  其實最重要的不是新的事情
[00:00:41.600 --> 00:00:47.440]  最重要的是我們有跟上神走上新的道路
[00:00:47.440 --> 00:00:48.880]  Amen
[00:00:48.880 --> 00:00:51.040]  不是新的事情
[00:00:51.040 --> 00:00:53.840]  而是新的道路
[00:00:53.840 --> 00:00:58.000]  這條道路是一條憑信心不憑眼見的道路
[00:00:58.000 --> 00:01:01.680]  這條道路是一個聆聽聖靈的聲音
[00:01:01.680 --> 00:01:04.760]  順從聖靈的引導的道路
[00:01:04.760 --> 00:01:07.240]  你知道今天很多人來到我們教會
[00:01:07.240 --> 00:01:10.280]  看見很多新的事情各方面的成長
[00:01:10.280 --> 00:01:11.480]  都覺得很稀奇
[00:01:11.480 --> 00:01:13.680]  因為他們眼睛只看見新的事
[00:01:13.680 --> 00:01:16.080]  他們常常只注意到新的事情
[00:01:16.080 --> 00:01:19.080]  但事實上這些新的事情的發生
[00:01:19.080 --> 00:01:23.080]  都是因為我們教會走在一條新的道路上
[00:01:23.080 --> 00:01:24.400]  Amen
[00:01:24.400 --> 00:01:30.200]  今天什麼時候當我們繼續走在這條新的道路上
[00:01:30.200 --> 00:01:33.360]  憑信心不憑眼見
[00:01:33.360 --> 00:01:35.280]  聆聽聖靈的聲音
[00:01:35.280 --> 00:01:37.160]  順從聖靈的引導
[00:01:37.160 --> 00:01:41.240]  那我告訴你新事就不斷會發生的
[00:01:41.240 --> 00:01:43.200]  但如果什麼時候
[00:01:43.200 --> 00:01:46.680]  我們決定我們不再走在新的道路上
[00:01:46.680 --> 00:01:49.880]  我們不再憑信心只憑眼見
[00:01:49.880 --> 00:01:52.600]  不再順從聖靈的引導
[00:01:52.600 --> 00:01:55.720]  那我告訴你新事就會停止的
[00:01:55.720 --> 00:01:56.640]  Amen
[00:01:56.640 --> 00:01:58.840]  所以今天我們若是渴望
[00:01:58.840 --> 00:02:03.720]  繼續在我們生命當中經歷新的作為的話
[00:02:03.720 --> 00:02:06.480]  那我們就必須不斷地在生命當中
[00:02:06.480 --> 00:02:09.520]  選擇走上新的道路
[00:02:09.520 --> 00:02:10.600]  Amen
[00:02:10.600 --> 00:02:12.960]  所以今天早上四方面來講
[00:02:12.960 --> 00:02:16.000]  這新的道路是怎麼樣一個道路
[00:02:16.000 --> 00:02:16.840]  第一個
[00:02:16.840 --> 00:02:19.680]  新的道路需要有新的策略
