
[00:00:00.000 --> 00:00:03.400]  在聽道之先,請我們祈禱
[00:00:03.400 --> 00:00:08.200]  我們的盤石救贖主
[00:00:08.200 --> 00:00:11.200]  願僕人口中的言語
[00:00:11.200 --> 00:00:13.800]  會眾的心懷意念
[00:00:13.800 --> 00:00:16.200]  都蒙主祢的月亮
[00:00:16.200 --> 00:00:17.200]  阿們
[00:00:17.200 --> 00:00:22.600]  各位,活出亮麗的一生
[00:00:22.600 --> 00:00:26.800]  每一個認真的人都會想
[00:00:26.800 --> 00:00:28.600]  都會探索
[00:00:28.600 --> 00:00:30.600]  都會追求
[00:00:30.600 --> 00:00:33.000]  一般人可能認為
[00:00:33.000 --> 00:00:35.200]  活出亮麗的一生
[00:00:35.200 --> 00:00:42.200]  就是能夠得到金錢、財富、名利、權力、社會地位
[00:00:42.200 --> 00:00:46.200]  或者幸福、健康、快樂
[00:00:46.200 --> 00:00:51.000]  大學生可能會想到得到高等的學位
[00:00:51.000 --> 00:00:55.200]  畢業之後也都找到一份理想的工作
[00:00:55.200 --> 00:01:00.800]  大學的老師可能會想到得到教授的名銜
[00:01:00.800 --> 00:01:04.200]  得到崇高的學術地位
[00:01:04.200 --> 00:01:10.200]  或者懂得向一些成功人士學習
[00:01:10.200 --> 00:01:13.200]  讀名人的傳記
[00:01:13.200 --> 00:01:17.600]  或者好像近代有些專家
[00:01:17.600 --> 00:01:20.800]  專講人的生涯規劃
[00:01:20.800 --> 00:01:29.400]  得到指點去活出一個那些規劃師認為的美好的人生
[00:01:29.400 --> 00:01:37.600]  這一種將一生交給規劃師去計劃的方式
[00:01:37.600 --> 00:01:40.000]  我都是有一點的存疑
[00:01:40.000 --> 00:01:44.400]  因為很多人一生有美好的人生
[00:01:44.400 --> 00:01:49.000]  不是一定要經過某一些人的規劃
[00:01:49.000 --> 00:01:50.800]  在我來說
[00:01:50.800 --> 00:01:54.400]  我的一生是有上帝的規劃
[00:01:54.400 --> 00:01:56.400]  上帝的引導
[00:01:56.400 --> 00:01:59.400]  現代的人以為
[00:01:59.400 --> 00:02:03.600]  得到一套美好的人生
[00:02:03.600 --> 00:02:08.600]  或者使他活出精彩的一些秘笈
[00:02:08.600 --> 00:02:10.800]  如果這樣的話
[00:02:10.800 --> 00:02:13.800]  他就會有良藝的人生
[00:02:13.800 --> 00:02:17.000]  今天不少怪獸的父母
[00:02:17.000 --> 00:02:20.000]  逼他的子女要讀名校
[00:02:20.000 --> 00:02:21.800]  跟名師學習
[00:02:21.800 --> 00:02:24.800]  讀完書之後要賺到錢
[00:02:24.800 --> 00:02:28.600]  甚至兒子女兒的對象
[00:02:28.600 --> 00:02:30.800]  是由父母幫他賺的
[00:02:30.800 --> 00:02:33.800]  一般人的看法
[00:02:33.800 --> 00:02:36.000]  活出亮麗的人生
[00:02:36.000 --> 00:02:38.000]  是要去得到
[00:02:38.000 --> 00:02:41.000]  用方法去獲至
[00:02:41.000 --> 00:02:46.000]  但耶穌在今天我們要看的經課裏面
[00:02:46.000 --> 00:02:49.000]  馬太第五章
[00:02:49.000 --> 00:02:53.000]  是告訴我們一至二十節
[00:02:53.000 --> 00:02:55.600]  十五至二十節
