
[00:00:00.000 --> 00:00:04.060]  張德培是一位很出色的網球運動員
[00:00:04.060 --> 00:00:12.080]  他在1989年奪得了法國公開賽的大獎冠軍
[00:00:12.080 --> 00:00:15.560]  當時他只有17歲
[00:00:15.560 --> 00:00:18.000]  張德培是一個很虔誠的基督徒
[00:00:18.000 --> 00:00:21.480]  當他年青的時候 他已經下了一個心志
[00:00:21.480 --> 00:00:25.480]  他說我的生命是交給神 神是我的主
[00:00:25.480 --> 00:00:29.660]  是一個很有委心的態度
[00:00:29.660 --> 00:00:36.620]  但是張德培也覺得人生往往有很多不同的方向
[00:00:36.620 --> 00:00:42.320]  名利等等 人會很喜歡將所有的精力放在這裏
[00:00:42.320 --> 00:00:46.800]  於是乎拿到人生很高的一個成就 一個高峰
[00:00:46.800 --> 00:00:50.580]  究竟這個是為了神還是為了自己呢?
[00:00:50.580 --> 00:00:55.200]  有時也很矛盾 其實張德培自己也有些矛盾
[00:00:55.200 --> 00:00:59.900]  他在1998年 即是說他奪得了這個公開大獎之後
[00:00:59.900 --> 00:01:06.640]  九年之後 他一直他的職業的網球生涯
[00:01:06.640 --> 00:01:09.520]  一直越來越爬得很高
[00:01:09.520 --> 00:01:13.360]  去到1998年 他很多的戰事
[00:01:13.360 --> 00:01:16.340]  他說這裏打那裏打 他很忙
[00:01:16.340 --> 00:01:19.600]  打到有一場賽事是只有四天休息的
[00:01:19.600 --> 00:01:23.420]  即是之間有四天休息 打完這個四天 然後再打
[00:01:23.420 --> 00:01:28.220]  他心想我努力的打完這一仗 努力的去堅持
[00:01:28.220 --> 00:01:31.740]  可能我會拿到世界第一名的位置
[00:01:31.740 --> 00:01:34.860]  因為他已經很逼近這個位置
[00:01:34.860 --> 00:01:39.320]  但是這一年很可惜 他節節的失敗
[00:01:39.320 --> 00:01:42.860]  結果令到他很大的一個打擊
[00:01:42.860 --> 00:01:48.580]  他覺得這個失敗 整個人好像倒了一樣
[00:01:48.580 --> 00:01:52.140]  當然後來他覺得應該放手了
[00:01:52.140 --> 00:01:54.300]  他知道輸贏不是一個重要的事
[00:01:54.300 --> 00:01:58.160]  最重要的是做一些合乎神心意的事情
[00:01:58.160 --> 00:02:01.940]  儘管如此 但是當他的地位越來越低的時候
[00:02:01.940 --> 00:02:05.980]  他說當他看到自己從最前的十名
[00:02:05.980 --> 00:02:08.140]  慢慢在十名之外
[00:02:08.140 --> 00:02:14.520]  他開始整個人沉了下來 很不開心
[00:02:14.520 --> 00:02:17.780]  當然他在神的面前他說
[00:02:17.780 --> 00:02:21.940]  我真的要認定誰是我的生命的主
[00:02:21.940 --> 00:02:24.340]  他覺得其實最重要
[00:02:24.340 --> 00:02:28.020]  如果我相信我所做的一切是為了榮耀神
[00:02:28.020 --> 00:02:29.940]  所有的事情都在神的旨意裡面
[00:02:29.940 --> 00:02:34.080]  我不需要這麼介懷 名利得失
[00:02:34.080 --> 00:02:35.860]  所以他最後都有好的釋放
[00:02:35.860 --> 00:02:42.020]  後來他撤退了他的網球生涯
[00:02:42.020 --> 00:02:44.060]  他去了一個家族裡面
[00:02:44.060 --> 00:02:47.980]  專門去宣揚基督的一個機構
[00:02:47.980 --> 00:02:50.040]  特別是在下一代 他寫的那個
[00:02:50.040 --> 00:02:56.020]  要是為了下一輩能夠榮耀神的一個基金去發展
[00:02:56.020 --> 00:02:58.120]  我相信現在都有很多的工作
[00:02:58.120 --> 00:03:00.380]  有些是傳福音的工作
[00:03:00.380 --> 00:03:04.240]  張克培的掙扎就是
[00:03:04.240 --> 00:03:06.500]  誰是我生命的主呢?
[00:03:06.500 --> 00:03:10.180]  是主耶穌 是神 是我們自己
[00:03:10.180 --> 00:03:14.220]  還是我們最終的目標是為了榮耀我們自己呢?
[00:03:14.220 --> 00:03:16.220]  為什麼為了榮耀神呢?
[00:03:16.220 --> 00:03:20.180]  我相信我們可能都要再苦心問一下我們自己
[00:03:20.180 --> 00:03:23.660]  其實今天我們想講一個題目
[00:03:23.660 --> 00:03:25.840]  就是一個毀生的敬拜
[00:03:25.840 --> 00:03:28.240]  其實當我們會看到
[00:03:28.240 --> 00:03:30.400]  原來神是我們的主的時候
[00:03:30.400 --> 00:03:35.260]  我們自然就會在我們的敬拜裡面去反映出來
[00:03:35.260 --> 00:03:37.480]  又或者當我們每次敬拜的時候
[00:03:37.480 --> 00:03:39.440]  就提醒你和我
[00:03:39.440 --> 00:03:41.520]  誰是我們生命的主宰
[00:03:41.520 --> 00:03:42.540]  我們一同去學習
[00:03:42.540 --> 00:03:44.020]  所以敬拜很重要
[00:03:44.020 --> 00:03:46.540]  每一次回來敬拜都讓我們去想一想
[00:03:46.540 --> 00:03:49.760]  這個問題 這個掙扎
[00:03:49.760 --> 00:03:51.760]  其實我們看《靈顯禮記》
[00:03:51.760 --> 00:03:53.540]  我們就用這一段經文
[00:03:53.540 --> 00:03:56.080]  在第十章《靈顯禮記》第十章二
[00:03:56.080 --> 00:03:58.380]  三十二節到三十九節
[00:03:58.380 --> 00:03:59.540]  我們就一起去學一下
[00:03:59.540 --> 00:04:01.540]  看看當時的那些以色列人
[00:04:01.540 --> 00:04:05.320]  他們為了這個敬拜的生活
[00:04:05.320 --> 00:04:06.620]  他們有很多的付出
[00:04:06.620 --> 00:04:07.860]  很多的毀身
[00:04:07.860 --> 00:04:10.860]  這個成為了我們的一個借鏡
[00:04:10.860 --> 00:04:13.300]  我們崇拜回來是怎樣的呢?
[00:04:13.300 --> 00:04:14.960]  是例行公事?
[00:04:14.960 --> 00:04:16.440]  我們基督徒是要這樣
[00:04:16.440 --> 00:04:18.940]  我們回來會不會是一種雀躍呢?
[00:04:18.940 --> 00:04:21.480]  會不會在當中我們遇到主
[00:04:21.480 --> 00:04:24.600]  我們能夠生命得到轉化呢?
[00:04:24.600 --> 00:04:26.740]  還是我們很被動的
[00:04:26.740 --> 00:04:30.560]  好像一個旁觀者那樣
[00:04:30.560 --> 00:04:34.740]  我想很看重我們是怎樣的一個心態
[00:04:34.740 --> 00:04:36.500]  或者我們看這段經文
[00:04:36.500 --> 00:04:38.700]  我們知道《靈顯禮記》一直在說
[00:04:38.700 --> 00:04:40.480]  是所有的以色列人
[00:04:40.480 --> 00:04:42.100]  那些被老歸回的人
[00:04:42.100 --> 00:04:44.640]  就是重建這個城牆
[00:04:44.640 --> 00:04:47.100]  一照第七章講及這個
[00:04:47.100 --> 00:04:49.200]  然後第八章一直講到
[00:04:49.200 --> 00:04:51.460]  最後都是重建人的生命
[00:04:51.460 --> 00:04:53.140]  第八章開始講到
[00:04:53.140 --> 00:04:56.880]  以色列先讀神的話語
[00:04:56.880 --> 00:04:59.440]  然後人民去悔改
[00:04:59.440 --> 00:05:00.820]  並且在第十章
[00:05:00.820 --> 00:05:02.420]  他們知道自己的問題
[00:05:02.420 --> 00:05:06.500]  並且很刻意地去納約彼此的承諾
[00:05:06.500 --> 00:05:09.260]  他要去做一些合乎神心意
[00:05:09.260 --> 00:05:10.800]  神誡命的事情
[00:05:10.800 --> 00:05:14.340]  但我們留意這幾方面的承諾
[00:05:14.340 --> 00:05:17.940]  他不是直接講我要做甚麼做甚麼
[00:05:17.940 --> 00:05:19.740]  有甚麼很道德的事情
[00:05:19.740 --> 00:05:22.800]  全部是在乎他們和神的關係
[00:05:22.800 --> 00:05:24.080]  譬如他首先講
[00:05:24.080 --> 00:05:26.340]  我們不要將我們的兒女
[00:05:26.340 --> 00:05:29.020]  給外邦的兒女通婚
[00:05:29.020 --> 00:05:30.460]  這個不是種族歧視
[00:05:30.460 --> 00:05:34.920]  而是說以至於他們的信仰能夠保持純正
[00:05:34.920 --> 00:05:38.340]  我們不會被一些外邦的鬼神
[00:05:38.340 --> 00:05:39.720]  去影響我們的信仰
[00:05:39.720 --> 00:05:41.120]  整個國民的信仰
[00:05:41.120 --> 00:05:42.640]  還有就是在安息日裏面
[00:05:42.640 --> 00:05:43.900]  這個安息日很重要
[00:05:43.900 --> 00:05:46.720]  是和神納約的表示
[00:05:46.720 --> 00:05:49.100]  我們不做生意 不做買賣
[00:05:49.100 --> 00:05:54.260]  更加在安息日的延伸
[00:05:54.260 --> 00:05:56.360]  安息年我們不做買賣
[00:05:56.360 --> 00:06:01.080]  我們也將一些欠我們錢的人都不要了
[00:06:01.080 --> 00:06:04.280]  這個完全是和神的一個毀身的態度
[00:06:04.280 --> 00:06:06.000]  來到最後這個段落
[00:06:06.000 --> 00:06:10.160]  講到怎樣毀身在神的敬拜生活裏面
[00:06:10.160 --> 00:06:14.640]  我們看看這段經文給我們一個很好的學習
[00:06:14.640 --> 00:06:17.440]  首先這個敬拜生活是要付出的
[00:06:17.440 --> 00:06:22.900]  並且這個敬拜目的是為了要我們和神建立一個很親密的關係
