
[00:00:00.000 --> 00:00:02.740]  因爲保羅的福音很大
[00:00:02.740 --> 00:00:06.700]  所以保羅的福音一定要被傳到地極
[00:00:06.700 --> 00:00:10.600]  如果你的福音不夠大的時候
[00:00:10.600 --> 00:00:13.300]  你的福音沒理由需要傳到地極
[00:00:13.300 --> 00:00:16.380]  但是保羅的福音很大
[00:00:16.380 --> 00:00:21.940]  大到他沒法想象這個福音只能留在某一個地方
[00:00:21.940 --> 00:00:23.580]  這個福音一定要傳到地極
[00:00:23.580 --> 00:00:25.840]  於是保羅他說
[00:00:25.840 --> 00:00:27.740]  羅馬書十五章十九節
[00:00:27.740 --> 00:00:33.100]  我從耶路撒冷直轉到以利利古
[00:00:33.100 --> 00:00:35.800]  到處傳了基督的福音
[00:00:35.800 --> 00:00:36.700]  但是都不夠
[00:00:36.700 --> 00:00:40.580]  他說這樣我立了志向
[00:00:40.580 --> 00:00:44.740]  不在基督的名已經傳揚過的地方傳福音
[00:00:44.740 --> 00:00:49.080]  免得建造在別人的根基上
[00:00:49.080 --> 00:00:53.500]  他說我已經傳遍我周圍的地方
[00:00:53.500 --> 00:00:56.340]  但是還不夠
[00:00:56.340 --> 00:00:58.840]  我想去更遠的地方
[00:00:58.840 --> 00:01:01.480]  福音沒到過的地方
[00:01:01.480 --> 00:01:02.600]  爲什麼
[00:01:02.600 --> 00:01:07.680]  因爲他的福音很大
[00:01:07.680 --> 00:01:11.140]  大到一個地方沒法容納
[00:01:11.140 --> 00:01:13.680]  如果你的福音不夠大的話
[00:01:13.680 --> 00:01:17.080]  你不會有傳福音的動力
[00:01:17.080 --> 00:01:19.200]  如果你的福音不夠大很小的話
[00:01:19.200 --> 00:01:20.280]  你自己信就好了
[00:01:20.280 --> 00:01:22.080]  爲什麼叫人信
[00:01:22.080 --> 00:01:23.740]  如果你福音不夠大的時候
[00:01:23.740 --> 00:01:26.540]  偶爾聽一下就好了
[00:01:26.540 --> 00:01:28.940]  如果你的福音不夠大的時候
[00:01:28.940 --> 00:01:32.100]  在公理堂裏面講一下就好了
[00:01:32.100 --> 00:01:33.840]  如果你的福音不夠大的時候
[00:01:33.840 --> 00:01:40.100]  根本就不夠力量衝破這四道牆
[00:01:40.100 --> 00:01:45.700]  但是因爲保羅的福音極其巨大
[00:01:45.700 --> 00:01:49.840]  所以他心繫地極
[00:01:49.840 --> 00:01:54.500]  這個福音一定要傳到地極
[00:01:54.500 --> 00:01:56.440]  羅馬書15章21節這麼說
[00:01:56.440 --> 00:01:58.240]  「卻如經上所記
[00:01:58.240 --> 00:02:00.840]  未曾傳給他們的
[00:02:00.840 --> 00:02:02.940]  他們必看見
[00:02:02.940 --> 00:02:04.780]  未曾聽見過的人」
[00:02:04.780 --> 00:02:06.000]  他們要明白
[00:02:06.000 --> 00:02:12.500]  保羅說全世界都要聽見這個信息
[00:02:12.500 --> 00:02:16.100]  因爲它是最偉大的信息
[00:02:16.100 --> 00:02:20.600]  保羅在引用舊約聖經裏面以蔡阿順52章
[00:02:20.600 --> 00:02:23.300]  以蔡阿順52章15節
[00:02:23.300 --> 00:02:24.600]  但是如果你熟悉舊約的時候
[00:02:24.600 --> 00:02:28.900]  你知道以蔡阿順52章和以蔡阿順53章
[00:02:28.900 --> 00:02:31.900]  其實是不離不開的
[00:02:31.900 --> 00:02:33.900]  如果你熟悉以蔡阿順
[00:02:33.900 --> 00:02:38.300]  你知道以蔡阿順52章至53章
[00:02:38.300 --> 00:02:40.600]  其實是以蔡阿順裏面
[00:02:40.600 --> 00:02:46.300]  四首《瀑人詩歌》裏面的壓軸好戲
[00:02:46.300 --> 00:02:49.600]  以蔡阿順53章說什麼
[00:02:49.600 --> 00:02:51.900]  你來了教會你一定知道
[00:02:51.900 --> 00:02:55.600]  是上帝受苦的瀑人
[00:02:55.600 --> 00:02:58.400]  所以保羅說這個福音要傳到地極
[00:02:58.400 --> 00:03:01.100]  但是這個福音是什麼
[00:03:01.100 --> 00:03:02.900]  這個福音不是我們公理堂
[00:03:02.900 --> 00:03:06.900]  派一些好的醫生去非洲治病
[00:03:06.900 --> 00:03:10.400]  不是我們公理堂給錢上大陸
[00:03:10.400 --> 00:03:12.800]  去見一下學校
[00:03:12.800 --> 00:03:15.600]  不是我們跨境行善這麼簡單
[00:03:15.600 --> 00:03:21.800]  這個福音是講到我們全洋基督
[00:03:21.800 --> 00:03:23.800]  保羅心是地極
[00:03:23.800 --> 00:03:25.500]  但是他心愛救主
[00:03:25.500 --> 00:03:27.800]  保羅最終的意向不是說
[00:03:27.800 --> 00:03:30.300]  要有基督徒可以去到
[00:03:30.300 --> 00:03:31.800]  達菲爾士峯
[00:03:31.800 --> 00:03:33.400]  南極北極
[00:03:33.400 --> 00:03:35.100]  插支旗在那裏
[00:03:35.100 --> 00:03:39.000]  保羅最終的意向是要地極裏面
[00:03:39.000 --> 00:03:44.700]  所有的人可以聽見救主的福音
[00:03:44.700 --> 00:03:51.400]  因爲他心愛着他的救主
[00:03:51.400 --> 00:03:54.000]  你有沒有這個目標
[00:03:54.000 --> 00:03:55.600]  你有沒有這個意象
[00:03:55.600 --> 00:03:56.400]  你有沒有這個感動
[00:03:56.400 --> 00:03:59.600]  你應該有的
[00:03:59.600 --> 00:04:00.700]  我們有沒有
[00:04:00.700 --> 00:04:01.900]  我們作爲一個教會
[00:04:01.900 --> 00:04:03.400]  我們有沒有這樣的目標
[00:04:03.400 --> 00:04:04.400]  有沒有這樣的意象
[00:04:04.400 --> 00:04:06.600]  有沒有這樣的感動
[00:04:06.600 --> 00:04:11.200]  將這個福音帶到地極
[00:04:11.200 --> 00:04:15.000]  不是將公理堂之旗插在地極
[00:04:15.000 --> 00:04:19.600]  是將我們救主的福音
