
[00:00:00.000 --> 00:00:06.000]  若我們一起禱告,我們等候神去真摰,去向我們講說話
[00:00:06.000 --> 00:00:15.000]  天父,我們讚美祢,因為祢是那位掌管風浪,掌管天氣,是可畏的神
[00:00:15.000 --> 00:00:21.000]  當祢的百姓來到祢面前的時候,要學習敬畏祢
[00:00:21.000 --> 00:00:27.000]  主,我們要感謝祢,因為祢不單止是一位有威嚴的神
[00:00:27.000 --> 00:00:30.000]  祢也是那位願意拯救我們的神
[00:00:30.000 --> 00:00:33.000]  祢是那位有慈愛的神
[00:00:33.000 --> 00:00:36.000]  因著祢的救贖,我們被祢的愛去吸引
[00:00:36.000 --> 00:00:39.000]  我們願意來到祢面前
[00:00:39.000 --> 00:00:45.000]  主啊,求祢藉著幾千年前的僕人所講的說話
[00:00:45.000 --> 00:00:47.000]  今日仍然向我們說話
[00:00:47.000 --> 00:00:53.000]  求祢的聖靈引導我們的心,督責,提醒,挑戰,改變我們
[00:00:53.000 --> 00:00:58.000]  求祢帶領我們,看我們在祢面前禱告,奉耶穌基督的名,阿門
[00:00:58.000 --> 00:01:02.000]  好,和大家講一個希臘的神話
[00:01:02.000 --> 00:01:08.000]  希臘的神話裏面講到有一個關於進美的男士
[00:01:08.000 --> 00:01:15.000]  他的英文名叫Nazis,中文我將他翻譯為納西斯
[00:01:15.000 --> 00:01:20.000]  有一個很漂亮的女子叫Echo,喜歡了他
[00:01:20.000 --> 00:01:25.000]  其實這個進美的男士Nazis也有很多追求者
[00:01:25.000 --> 00:01:30.000]  他叫走了Echo去到森林裏面
[00:01:30.000 --> 00:01:35.000]  後來納西斯嘗試去到森林裏面找Echo
[00:01:35.000 --> 00:01:40.000]  但是納西斯又不願意去到Echo所身處的地方
[00:01:40.000 --> 00:01:43.000]  他就離開了森林
[00:01:43.000 --> 00:01:50.000]  Echo在這個時候祈禱:神啊,那些不愛其他人的人
[00:01:50.000 --> 00:01:54.000]  我願祢讓他們只懂得愛自己
[00:01:54.000 --> 00:01:58.000]  在這個時候納西斯走到一個湖邊
[00:01:58.000 --> 00:02:04.000]  他一看見湖底,這個人很帥,當然是自己
[00:02:04.000 --> 00:02:08.000]  他的倒影,他就愛上了自己
[00:02:08.000 --> 00:02:12.000]  原來Echo的祈禱應驗了
[00:02:12.000 --> 00:02:17.000]  但是Nazis納西斯他明白到
[00:02:17.000 --> 00:02:22.000]  他的帥也令到周圍的女性追求者很痛苦
[00:02:22.000 --> 00:02:27.000]  於是他就想著跳到湖裏面,結束了自己的生命
[00:02:27.000 --> 00:02:31.000]  後來那些女性追求者不斷去找他
[00:02:31.000 --> 00:02:36.000]  發現找不到他的身體,只找到一朵花
[00:02:36.000 --> 00:02:39.000]  於是他就將這朵花起名叫Nazis
