
[00:00:00.000 --> 00:00:03.000]  我哋再一次喺神面前安靜祈禱,好嗎?
[00:00:03.000 --> 00:00:06.000]  讓我哋可以領受上帝嘅話語。
[00:00:06.000 --> 00:00:09.000]  讓我哋合上眼睛。
[00:00:09.000 --> 00:00:14.000]  我哋從心裏面去領受上帝嘅話語。
[00:00:14.000 --> 00:00:19.000]  慈悲仁愛嘅天父,我哋再一次去向你禱告。
[00:00:19.000 --> 00:00:21.000]  求你恩代我們。
[00:00:21.000 --> 00:00:26.000]  我哋人好軟弱,我哋知道個嘢我哋做唔到。
[00:00:26.000 --> 00:00:33.000]  但我哋知道喺心裏面,神已經將一個道嘅種子,一個你話語嘅種子畀咗我哋。
[00:00:33.000 --> 00:00:43.000]  我求你幫助我哋,叫我哋可以喺生命裏面,呢個種子能夠孕育,能夠長大,結出好多果實。
[00:00:43.000 --> 00:00:46.000]  求你幫助我哋,聆聽你嘅話語。
[00:00:46.000 --> 00:00:50.000]  多謝你聽我哋祈禱,奉耶穌幾多個聖名。阿們。
[00:00:50.000 --> 00:00:57.000]  我係一個盲人,所以對聲音好敏感。總務唔該出去叫嗰位朋友細聲啲。
[00:00:57.000 --> 00:01:00.000]  係呀,未關門咩?
[00:01:00.000 --> 00:01:08.000]  關咗啦,請佢細啲。因為我會聽到人講嘢,我會聽㗎。
[00:01:08.000 --> 00:01:13.000]  好,喺孕嬰嗰度我問咗兩個問題。
[00:01:13.000 --> 00:01:16.000]  父母會因咩而快樂呀?
[00:01:16.000 --> 00:01:21.000]  不如我又訪問下,有邊個你係有父母嘅身份嘅?
[00:01:21.000 --> 00:01:24.000]  你睇下手,1、2、3。
[00:01:24.000 --> 00:01:26.000]  喺頭邊呀。
[00:01:26.000 --> 00:01:28.000]  仔女嘅呢?1、2、3。
[00:01:28.000 --> 00:01:32.000]  其實個個都應該拍㗎。
[00:01:32.000 --> 00:01:37.000]  個個都係做過兒女,因為你點會出世呢?
[00:01:37.000 --> 00:01:41.000]  有咩會令父母快樂呀?
[00:01:41.000 --> 00:01:46.000]  聽話係,即係聽仔女話。
[00:01:46.000 --> 00:01:50.000]  你知唔知我哋蘇牧師講咗句名句。
[00:01:50.000 --> 00:01:57.000]  佢話我哋係最後一代孝敬父母,又第一代孝敬仔女呀。
[00:01:57.000 --> 00:01:58.000]  有冇聽過呀?
