
[00:00:00.000 --> 00:00:02.700]  最近我讀到一篇文章
[00:00:02.700 --> 00:00:05.800]  其中講到一個很特別的話題
[00:00:05.800 --> 00:00:11.900]  它講到如果撒旦真的要完全控制一個城市
[00:00:11.900 --> 00:00:15.400]  那個城市到底會變成怎樣呢?
[00:00:15.400 --> 00:00:21.800]  即使在你的腦裏你會想到一個什麼圖畫呢?
[00:00:21.800 --> 00:00:25.900]  你會否想到整個城市都充滿了很多混亂
[00:00:25.900 --> 00:00:32.300]  很多暴力很多色情的事情在很多地方發生
[00:00:32.300 --> 00:00:35.100]  又或者我們想另一個情景
[00:00:35.100 --> 00:00:37.900]  很多的教會都被迫要關閉
[00:00:37.900 --> 00:00:44.100]  很多的牧者領袖都要被監禁
[00:00:44.100 --> 00:00:47.100]  但幾十年前費城有一個牧師
[00:00:47.100 --> 00:00:50.100]  他講出了另外一個景象
[00:00:50.100 --> 00:00:53.700]  讓我們思考如果撒旦控制一個地方的時候
[00:00:53.700 --> 00:00:55.700]  它是會怎樣的?
[00:00:55.700 --> 00:00:59.500]  他說在這個地方可能所有的酒吧
[00:00:59.500 --> 00:01:02.500]  所有的夜總會都會關閉
[00:01:02.500 --> 00:01:06.200]  色情的現象都會被禁止
[00:01:06.200 --> 00:01:07.700]  在一條很整潔的街上
[00:01:07.700 --> 00:01:10.700]  你會看到一些人帶著微笑
[00:01:10.700 --> 00:01:14.700]  彬彬有禮地行走
[00:01:14.700 --> 00:01:16.700]  而最重要的是
[00:01:16.700 --> 00:01:21.500]  在星期日在教會裏面的聚會是座無虛席
[00:01:21.500 --> 00:01:26.500]  不過在那裏不是全是在講基督
[00:01:26.500 --> 00:01:28.200]  不知道大家有沒有看過一本書
[00:01:28.200 --> 00:01:29.700]  或者聽過一本書
[00:01:29.700 --> 00:01:33.700]  這本書叫做《沒有基督的基督教》
[00:01:33.700 --> 00:01:38.700]  作者講到美國教會的一些情況
[00:01:38.700 --> 00:01:40.300]  他比較憂心
[00:01:40.300 --> 00:01:45.700]  他講到有一類的教會可以打著基督的名號
[00:01:45.700 --> 00:01:47.200]  但太多的時候
[00:01:47.200 --> 00:01:52.000]  都是將基督和基督為中心的福音放在一邊
