
[00:00:00.000 --> 00:00:02.420]  大興子妹主內平安
[00:00:02.420 --> 00:00:08.620]  今天我們繼續用宏觀神學的角度去看出《埃及記》
[00:00:08.620 --> 00:00:11.240]  大家都記得上回我們講到
[00:00:11.240 --> 00:00:16.020]  摩西的夢照、裝備和使命
[00:00:16.020 --> 00:00:21.880]  看到《埃及記》開頭的十幾章
[00:00:21.880 --> 00:00:25.760]  講到摩西上帝怎樣呼召他
[00:00:25.760 --> 00:00:28.080]  帶領以色列人離開埃及
[00:00:28.080 --> 00:00:30.080]  以及怎樣去裝備他
[00:00:30.080 --> 00:00:33.640]  四十年的皇宮的生活
[00:00:33.640 --> 00:00:36.480]  令他可以學盡埃及人所有的學問
[00:00:36.480 --> 00:00:40.580]  四十年的曠野生活是可以磨練他
[00:00:40.580 --> 00:00:44.240]  令他有些人生的經歷可以更加熟練
[00:00:44.240 --> 00:00:47.240]  可以令他有更加多的忍耐力
[00:00:47.240 --> 00:00:49.240]  接著到了八十歲
[00:00:49.240 --> 00:00:55.380]  上帝的使命就要他將以色列人帶到離開了埃及這個地方
[00:00:55.380 --> 00:00:58.220]  今天我們講到埃及人在曠野的時候
[00:00:58.220 --> 00:01:03.260]  上帝要他們有同心、同在和同行
[00:01:03.260 --> 00:01:13.500]  我在英國華人教會侍奉了大大話話有四十年的時間
[00:01:13.500 --> 00:01:14.700]  每次講到四十年
[00:01:14.700 --> 00:01:17.280]  有些人就說 安德魯你這麼老了
[00:01:17.280 --> 00:01:20.500]  你忘記了我三歲開始侍奉了 是不是
[00:01:20.500 --> 00:01:22.500]  說笑而已
[00:01:22.500 --> 00:01:29.540]  發覺一件事在英國教會有一個很大的特色
[00:01:29.540 --> 00:01:34.960]  第一 教會那些是來自五湖四海的人
[00:01:34.960 --> 00:01:37.260]  我差點在講龍蛇混雜
[00:01:37.260 --> 00:01:40.860]  其實大家的背景是很不同的
[00:01:40.860 --> 00:01:44.160]  因為華人教會每個埠通常都是第一間
[00:01:44.160 --> 00:01:45.400]  大埠可能有幾間
[00:01:45.400 --> 00:01:49.000]  但是真的沒有分得這麼清楚的宗派
[00:01:49.000 --> 00:01:54.100]  大家可能來自了福音派教會
[00:01:54.100 --> 00:01:55.980]  有些可能禮儀派、靈恩派
[00:01:55.980 --> 00:01:57.980]  所以我們很多都聚在一起
[00:01:57.980 --> 00:02:03.080]  而且會有很多未信主的朋友都會來我們主日的崇拜
[00:02:03.080 --> 00:02:06.380]  這個是香港主日崇拜比較少見的
[00:02:06.380 --> 00:02:07.680]  在我們早期教會
[00:02:07.680 --> 00:02:12.180]  我們差不多一半或者甚至超過一半是未信主的
[00:02:12.180 --> 00:02:15.120]  所以其實每一個星期都有一個報道會
[00:02:15.120 --> 00:02:18.300]  每一個主日崇拜都有一個福音的禍場
[00:02:18.300 --> 00:02:20.500]  都有一個傳福的機會
[00:02:20.500 --> 00:02:22.100]  所以這個是有不同的
[00:02:22.100 --> 00:02:22.500]  為什麼呢?
[00:02:22.500 --> 00:02:24.500]  因為他們來到英國
[00:02:24.500 --> 00:02:27.900]  他們星期天很悶 沒有什麼事做
[00:02:27.900 --> 00:02:29.000]  而且那個年代
[00:02:29.000 --> 00:02:30.200]  一講幾十年前
[00:02:30.200 --> 00:02:33.600]  英國星期天商店又不開門
[00:02:33.600 --> 00:02:34.400]  戲院又不開門
[00:02:34.400 --> 00:02:35.400]  電視也沒有東西看
[00:02:35.400 --> 00:02:37.000]  那些人就回教會了
[00:02:37.000 --> 00:02:39.300]  跟著他們的先生、太太回教會
[00:02:39.300 --> 00:02:42.300]  從初初未信 慢慢就信主
[00:02:42.300 --> 00:02:44.100]  這跟香港教會都很不同
[00:02:44.100 --> 00:02:46.400]  為什麼今天我們走在一起這間教會呢?
[00:02:46.400 --> 00:02:47.900]  有什麼共同點?
[00:02:47.900 --> 00:02:49.400]  共同點當然是很簡單
[00:02:49.400 --> 00:02:51.600]  共同點就是我們的語言
[00:02:51.600 --> 00:02:52.500]  我們的語言
[00:02:52.500 --> 00:02:55.100]  我們這裡大部分都是講廣東話
[00:02:55.100 --> 00:02:59.600]  或者有幾個上網的弟兄姊妹是講華語、國語
[00:02:59.600 --> 00:03:03.600]  我們同聲同氣
[00:03:03.600 --> 00:03:06.100]  令我們走在一起
[00:03:06.100 --> 00:03:07.600]  經常都說同聲同氣
[00:03:07.600 --> 00:03:12.400]  大家自己人、香港人或者是廣東人
[00:03:12.400 --> 00:03:14.400]  我們容易談得來
[00:03:14.400 --> 00:03:15.500]  這是真的 當然
[00:03:15.500 --> 00:03:17.700]  語言溝通是很重要
