
[00:00:00.000 --> 00:00:04.040]  最近在一位牧師的網誌看到
[00:00:04.040 --> 00:00:09.120]  我們都認識一位資深的牧師
[00:00:09.120 --> 00:00:11.680]  他退休了
[00:00:11.680 --> 00:00:14.640]  但是精神健康有些問題出現了
[00:00:14.640 --> 00:00:18.720]  但是最近他寫了一些網誌裡面的一句話
[00:00:18.720 --> 00:00:20.480]  給人很大的欣慰
[00:00:20.480 --> 00:00:25.400]  因為他從一個病患裡面康復過來
[00:00:25.400 --> 00:00:26.120]  他這樣說
[00:00:26.120 --> 00:00:29.040]  他說「神醫治了我,我康復了」
[00:00:29.040 --> 00:00:35.280]  衷心感謝大家對我的愛護、關心、鼓勵、支持
[00:00:35.280 --> 00:00:38.280]  牧師也是人,會病倒的
[00:00:38.280 --> 00:00:42.520]  我們都是神手中的瓦器,十分脆弱
[00:00:42.520 --> 00:00:45.040]  但有寶貝在我們裡頭
[00:00:45.040 --> 00:00:48.720]  十分需要大家繼續用禱告托著我
[00:00:48.720 --> 00:00:51.880]  感謝神,感謝你們」
[00:00:51.880 --> 00:00:57.240]  這位牧師經過了一段時間
[00:00:57.240 --> 00:00:59.520]  可能是一個很艱難的時間
[00:00:59.520 --> 00:01:03.080]  感謝主,他已經在康復裡面
[00:01:03.080 --> 00:01:06.520]  實際上他裡面說得很對
[00:01:06.520 --> 00:01:09.920]  牧師也是人,也有軟弱的時候
[00:01:09.920 --> 00:01:11.480]  有時候是身體的軟弱
[00:01:11.480 --> 00:01:13.360]  有時候是心靈的軟弱
[00:01:13.360 --> 00:01:15.920]  因為我們都是一個脆弱的人
[00:01:15.920 --> 00:01:19.760]  也需要神額外的保護
[00:01:19.760 --> 00:01:23.920]  需要在禱告裡面得到支持、力量
[00:01:23.920 --> 00:01:26.680]  同時間其實今天所讀的經文
[00:01:26.680 --> 00:01:29.880]  大家在上次也讀過一次
[00:01:29.880 --> 00:01:32.360]  第十八章十一節那裡
[00:01:32.360 --> 00:01:35.200]  保羅去到哥倫多這個地方
[00:01:35.200 --> 00:01:38.360]  去傳講福音、宣教
[00:01:38.360 --> 00:01:41.400]  但是當時一個很軟弱的保羅
[00:01:41.400 --> 00:01:43.840]  很需要神的力量
[00:01:43.840 --> 00:01:46.600]  所以保羅說在他軟弱的時候
[00:01:46.600 --> 00:01:48.920]  就能夠看到神的光強
[00:01:48.920 --> 00:01:52.680]  他能夠經歷了神的特別的看顧
[00:01:52.680 --> 00:01:55.960]  特別的保護、特別的帶領
