
[00:00:00.000 --> 00:00:02.000]  各位親愛的弟兄姐妹,平安!
[00:00:02.000 --> 00:00:06.000]  我們今天活在一個抑鬱症
[00:00:06.000 --> 00:00:08.000]  這種情況的底下
[00:00:08.000 --> 00:00:10.000]  每天的新聞
[00:00:10.000 --> 00:00:12.000]  都離不開
[00:00:12.000 --> 00:00:14.000]  新型的肺炎
[00:00:14.000 --> 00:00:16.000]  各種不同的報告
[00:00:16.000 --> 00:00:18.000]  留意來看今天的世界
[00:00:18.000 --> 00:00:20.000]  你可以這樣說
[00:00:20.000 --> 00:00:22.000]  天災人禍
[00:00:22.000 --> 00:00:24.000]  實在是數不清
[00:00:24.000 --> 00:00:26.000]  到目前爲止
[00:00:26.000 --> 00:00:28.000]  我們可以看來看
[00:00:28.000 --> 00:00:30.000]  就是每天報告的
[00:00:30.000 --> 00:00:32.000]  那些累積的
[00:00:32.000 --> 00:00:36.000]  新型肺炎
[00:00:36.000 --> 00:00:38.000]  確診的那個數字
[00:00:38.000 --> 00:00:40.000]  每天都不一樣
[00:00:40.000 --> 00:00:42.000]  我在四月初的時間
[00:00:42.000 --> 00:00:44.000]  已經有一個的預測
[00:00:44.000 --> 00:00:46.000]  就是
[00:00:46.000 --> 00:00:48.000]  實際報告出來的數字
[00:00:48.000 --> 00:00:50.000]  我相信
[00:00:50.000 --> 00:00:52.000]  一定是超過五百萬
[00:00:52.000 --> 00:00:54.000]  那個是四月初
[00:00:54.000 --> 00:00:56.000]  那個時間
[00:00:56.000 --> 00:00:58.000]  是大概一百多
[00:00:58.000 --> 00:01:00.000]  兩百萬而已
[00:01:00.000 --> 00:01:02.000]  但我已經預測最低限度
[00:01:02.000 --> 00:01:04.000]  有五百萬以上這個個案
[00:01:04.000 --> 00:01:06.000]  另外一方面
[00:01:06.000 --> 00:01:08.000]  死亡的人數最低限度
[00:01:08.000 --> 00:01:10.000]  有四十萬之多
[00:01:10.000 --> 00:01:12.000]  但是
[00:01:12.000 --> 00:01:14.000]  各位
[00:01:14.000 --> 00:01:16.000]  很想各位留意的
[00:01:16.000 --> 00:01:18.000]  就是這些只是確實
[00:01:18.000 --> 00:01:20.000]  已經報告出來的數字
[00:01:20.000 --> 00:01:22.000]  根據紐約
[00:01:22.000 --> 00:01:24.000]  他們的調查
[00:01:24.000 --> 00:01:26.000]  大概百分之十五的
[00:01:26.000 --> 00:01:28.000]  那些的市民
[00:01:28.000 --> 00:01:30.000]  雖然是沒有被
[00:01:30.000 --> 00:01:32.000]  公佈他們患上
[00:01:32.000 --> 00:01:34.000]  這個新型肺炎
[00:01:34.000 --> 00:01:36.000]  但是百分之十五的人
[00:01:36.000 --> 00:01:38.000]  他們已經有一些
[00:01:38.000 --> 00:01:40.000]  抗體在他們的身體
[00:01:40.000 --> 00:01:42.000]  裏面
[00:01:42.000 --> 00:01:44.000]  他們有這個抗體就表明他們曾經
[00:01:44.000 --> 00:01:46.000]  有這個病毒
[00:01:46.000 --> 00:01:48.000]  入侵他們的身體當中
[00:01:48.000 --> 00:01:50.000]  因爲這個緣故
[00:01:50.000 --> 00:01:52.000]  我們從這樣的一個計算
[00:01:52.000 --> 00:01:54.000]  來來看
[00:01:54.000 --> 00:01:56.000]  今天整個的世界
[00:01:56.000 --> 00:01:58.000]  患上或者是
[00:01:58.000 --> 00:02:00.000]  受到這個新型肺炎影響過的人
[00:02:00.000 --> 00:02:02.000]  數以一計
[00:02:02.000 --> 00:02:04.000]  這是
[00:02:04.000 --> 00:02:06.000]  非常非常龐大的一個數字
[00:02:06.000 --> 00:02:08.000]  也是令人
[00:02:08.000 --> 00:02:10.000]  感覺到非常
[00:02:10.000 --> 00:02:12.000]  不舒服
[00:02:12.000 --> 00:02:14.000]  非常恐懼
[00:02:14.000 --> 00:02:16.000]  另外一方面
[00:02:16.000 --> 00:02:18.000]  我們來來看看
[00:02:18.000 --> 00:02:20.000]  除了這個新型肺炎以外
[00:02:20.000 --> 00:02:22.000]  各地繼續不斷
[00:02:22.000 --> 00:02:24.000]  還是有各種不同的
[00:02:24.000 --> 00:02:26.000]  天災
[00:02:26.000 --> 00:02:28.000]  澳洲的山林大火
[00:02:28.000 --> 00:02:30.000]  另外一方面
[00:02:30.000 --> 00:02:32.000]  各個不同的地方出現的地震
[00:02:32.000 --> 00:02:34.000]  風災
[00:02:34.000 --> 00:02:36.000]  火山爆發等等
[00:02:36.000 --> 00:02:38.000]  這些是繼續
[00:02:38.000 --> 00:02:40.000]  不斷影響着我們整個
[00:02:40.000 --> 00:02:42.000]  世界的一些的天災
[00:02:42.000 --> 00:02:44.000]  人禍
[00:02:44.000 --> 00:02:46.000]  很多人因爲這個緣故
[00:02:46.000 --> 00:02:48.000]  他們就提出一個問題
[00:02:48.000 --> 00:02:50.000]  到底現在
[00:02:50.000 --> 00:02:52.000]  是不是已經有這個
[00:02:52.000 --> 00:02:54.000]  末日
[00:02:54.000 --> 00:02:56.000]  要來到呢
[00:02:56.000 --> 00:02:58.000]  有些異端
[00:02:58.000 --> 00:03:00.000]  特別是說
[00:03:00.000 --> 00:03:02.000]  這個七年大災難已經來臨了
[00:03:02.000 --> 00:03:04.000]  那我們今天
[00:03:04.000 --> 00:03:06.000]  來來看看
[00:03:06.000 --> 00:03:08.000]  到底今天發生這些的事情
[00:03:08.000 --> 00:03:10.000]  是不是一些
[00:03:10.000 --> 00:03:12.000]  所謂七年大災難
[00:03:12.000 --> 00:03:14.000]  已經來臨的一些跡象呢
[00:03:14.000 --> 00:03:16.000]  因爲這個緣故
[00:03:16.000 --> 00:03:18.000]  爲了令我們
[00:03:18.000 --> 00:03:20.000]  不會受到異端
[00:03:20.000 --> 00:03:22.000]  邪教那些的影響
[00:03:22.000 --> 00:03:24.000]  另外一方面
[00:03:24.000 --> 00:03:26.000]  也不至我們對聖經
[00:03:26.000 --> 00:03:28.000]  有些的誤解
[00:03:28.000 --> 00:03:30.000]  我希望能夠跟各位一起
