
[00:00:00.000 --> 00:00:02.000]  好 大家早晨
[00:00:02.000 --> 00:00:04.000]  開始的時候呢
[00:00:04.000 --> 00:00:06.000]  有條題目想考考大家的
[00:00:06.000 --> 00:00:08.000]  通識題
[00:00:08.000 --> 00:00:10.000]  請問你知不知道
[00:00:10.000 --> 00:00:12.000]  週一至週五
[00:00:12.000 --> 00:00:14.000]  晚上八點半
[00:00:14.000 --> 00:00:16.000]  無線翡翠台
[00:00:16.000 --> 00:00:18.000]  現在在做什麼戲
[00:00:18.000 --> 00:00:20.000]  沒人看這件事吧
[00:00:20.000 --> 00:00:24.000]  現在在拍一套叫做
[00:00:24.000 --> 00:00:26.000]  超時空男神
[00:00:26.000 --> 00:00:31.000]  講時空穿梭回到未來
[00:00:31.000 --> 00:00:34.000]  大概都是抄韓劇的
[00:00:34.000 --> 00:00:37.000]  今天我們不想和你回到未來
[00:00:37.000 --> 00:00:40.000]  但是我想和你做一個時空穿梭
[00:00:40.000 --> 00:00:44.000]  但是我想帶你回到羅馬書
[00:00:44.000 --> 00:00:47.000]  羅馬的教會
[00:00:47.000 --> 00:00:50.000]  這段經文其實非常難講
[00:00:50.000 --> 00:00:54.000]  因為很多人讀一讀這段聖經
[00:00:54.000 --> 00:00:56.000]  馬上就把它斷章取義地
[00:00:56.000 --> 00:00:59.000]  應用到今天的教會裡
[00:00:59.000 --> 00:01:01.000]  其實你這樣做這段經文
[00:01:01.000 --> 00:01:03.000]  是非常浪費的
[00:01:03.000 --> 00:01:05.000]  你根本沒辦法將這段經文的
[00:01:05.000 --> 00:01:07.000]  強大威力展示出來
[00:01:07.000 --> 00:01:09.000]  所以今天我想帶你回到
[00:01:09.000 --> 00:01:11.000]  2000年前初期的教會
[00:01:11.000 --> 00:01:13.000]  我想你和我停留在
[00:01:13.000 --> 00:01:17.000]  初期教會的時代
[00:01:17.000 --> 00:01:18.000]  一會兒
[00:01:18.000 --> 00:01:21.000]  最後再將你帶回來
[00:01:21.000 --> 00:01:23.000]  今天在香港21世紀的教會
[00:01:23.000 --> 00:01:26.000]  作出最後的形容
[00:01:26.000 --> 00:01:29.000]  我今天講的題目是
[00:01:29.000 --> 00:01:31.000]  因典之體
[00:01:31.000 --> 00:01:35.000]  其實是上星期那篇道的續集
[00:01:35.000 --> 00:01:37.000]  我有個副題叫做
[00:01:37.000 --> 00:01:40.000]  全然為你合體變身
[00:01:40.000 --> 00:01:43.000]  如果你上星期在這裡
[00:01:43.000 --> 00:01:45.000]  有聽過我講道的時候
[00:01:45.000 --> 00:01:46.000]  你應該記得
[00:01:46.000 --> 00:01:49.000]  我在講當保羅寫羅馬書的時候
[00:01:49.000 --> 00:01:52.000]  他頭十一章裡
[00:01:52.000 --> 00:01:54.000]  他用了十一章聖經
[00:01:54.000 --> 00:01:57.000]  去敘述上帝在基督裡
[00:01:57.000 --> 00:01:59.000]  給我們的慈悲
[00:01:59.000 --> 00:02:02.000]  而在他這個敘述的過程裡
[00:02:02.000 --> 00:02:05.000]  他很少給我們任何的應用
[00:02:05.000 --> 00:02:07.000]  他在這裡等
[00:02:07.000 --> 00:02:09.000]  等到第十二章
[00:02:09.000 --> 00:02:13.000]  而當我們打開第十二章的時候
[00:02:13.000 --> 00:02:14.000]  時候到了
[00:02:14.000 --> 00:02:16.000]  於是保羅為我們
[00:02:16.000 --> 00:02:19.000]  引發了一個福音的大爆炸
[00:02:19.000 --> 00:02:21.000]  保羅開始應用這個福音
[00:02:21.000 --> 00:02:22.000]  保羅說
[00:02:22.000 --> 00:02:24.000]  所以弟兄們
[00:02:24.000 --> 00:02:26.000]  我以神的慈悲勸你們
[00:02:26.000 --> 00:02:28.000]  將身體獻上
[00:02:28.000 --> 00:02:29.000]  當作活祭
[00:02:29.000 --> 00:02:31.000]  保羅說我給你一個應用
[00:02:31.000 --> 00:02:34.000]  將身體獻上當作活祭
