
[00:00:00.000 --> 00:00:02.000]  好像沒有人住在那裡
[00:00:02.000 --> 00:00:04.000]  但是我們第一次思想
[00:00:04.000 --> 00:00:06.000]  《古策書》第五十二章十三
[00:00:06.000 --> 00:00:08.000]  第六五十三章十二節
[00:00:08.000 --> 00:00:10.000]  《英年經》
[00:00:10.000 --> 00:00:12.000]  其實是
[00:00:12.000 --> 00:00:14.000]  《古策書》第四首
[00:00:14.000 --> 00:00:16.000]  《無形之波》第四首
[00:00:16.000 --> 00:00:18.000]  《復興》第四首
[00:00:18.000 --> 00:00:20.000]  全面有三首
[00:00:20.000 --> 00:00:22.000]  全面三首 第四是二章
[00:00:22.000 --> 00:00:24.000]  《聯儲法》是外國人之國
[00:00:24.000 --> 00:00:26.000]  四十九
[00:00:26.000 --> 00:00:28.000]  第四《復興》
[00:00:28.000 --> 00:00:30.000]  《清二色年》
[00:00:30.000 --> 00:00:32.000]  《明食當晚》
[00:00:32.000 --> 00:00:34.000]  都是被拒絕的名菜
[00:00:34.000 --> 00:00:36.000]  而《復興》
[00:00:36.000 --> 00:00:38.000]  第五十三章
[00:00:38.000 --> 00:00:40.000]  是在說受苦的名菜
[00:00:40.000 --> 00:00:42.000]  其實
[00:00:42.000 --> 00:00:44.000]  前面那三個
[00:00:44.000 --> 00:00:46.000]  思綱其實
[00:00:46.000 --> 00:00:48.000]  已經有三位律師
[00:00:48.000 --> 00:00:50.000]  已經跟著大陸合作過
[00:00:50.000 --> 00:00:52.000]  到現在
[00:00:52.000 --> 00:00:54.000]  其實是
[00:00:54.000 --> 00:00:56.000]  跟著大陸律師
[00:00:56.000 --> 00:00:58.000]  跟著大陸思綱過
[00:00:58.000 --> 00:01:00.000]  這三段經文
[00:01:00.000 --> 00:01:02.000]  所以如果你興趣
[00:01:02.000 --> 00:01:04.000]  你可以讀回關於教會的網頁
[00:01:04.000 --> 00:01:06.000]  我們裡面有廣告的
[00:01:06.000 --> 00:01:08.000]  資料庫
[00:01:08.000 --> 00:01:10.000]  你可以下載來重新聽
[00:01:10.000 --> 00:01:12.000]  但是今天我們一起思想的
[00:01:12.000 --> 00:01:14.000]  《英年經》
[00:01:14.000 --> 00:01:16.000]  講到此先
[00:01:16.000 --> 00:01:18.000]  我們先將簡單的一個結構
[00:01:18.000 --> 00:01:20.000]  講給大家聽
[00:01:20.000 --> 00:01:22.000]  它用一個交叉的能體
[00:01:22.000 --> 00:01:24.000]  其實呢
[00:01:24.000 --> 00:01:26.000]  不可以用太大字
[00:01:26.000 --> 00:01:28.000]  不可以用太大的字
[00:01:28.000 --> 00:01:30.000]  包著一些字
[00:01:30.000 --> 00:01:32.000]  最後最主要的
[00:01:32.000 --> 00:01:34.000]  其實就是
[00:01:34.000 --> 00:01:36.000]  受苦
