
[00:00:00.000 --> 00:00:05.240]  作為一個每年開始
[00:00:05.240 --> 00:00:07.240]  幾乎是媒體
[00:00:07.240 --> 00:00:09.240]  中西媒體 中西社會
[00:00:09.240 --> 00:00:11.240]  都拿來講的
[00:00:11.240 --> 00:00:13.240]  不一定是迷信
[00:00:13.240 --> 00:00:16.240]  因此 如果我們傳福音
[00:00:16.240 --> 00:00:18.240]  就是說向什麼人 做什麼人
[00:00:18.240 --> 00:00:20.240]  還有在他的話題
[00:00:20.240 --> 00:00:23.740]  在他那個位置裏面
[00:00:23.740 --> 00:00:26.740]  是跟他有共鳴溝通
[00:00:26.740 --> 00:00:30.740]  我想在新舊年的前後
[00:00:30.740 --> 00:00:32.740]  就用這一種動物
[00:00:32.740 --> 00:00:35.740]  是來到無論傳福音
[00:00:35.740 --> 00:00:37.740]  或者是做屬靈的教導
[00:00:37.740 --> 00:00:39.740]  都是好的
[00:00:39.740 --> 00:00:41.740]  為什麼呢
[00:00:41.740 --> 00:00:45.740]  因為如果有人問你是屬什麼的
[00:00:45.740 --> 00:00:48.740]  有些人就說迷信
[00:00:48.740 --> 00:00:50.740]  他說我是屬羊的
[00:00:50.740 --> 00:00:52.740]  基督徒屬羊的很多
[00:00:52.740 --> 00:00:55.740]  你們全部都是屬羊的
[00:00:55.740 --> 00:00:57.740]  屬羊屬於羔羊
[00:00:57.740 --> 00:00:59.740]  所以你說屬龍
[00:00:59.740 --> 00:01:01.740]  屬龍比較近撒旦
[00:01:01.740 --> 00:01:03.740]  屬虎比較兇
[00:01:03.740 --> 00:01:05.740]  屬貓貓狗狗那些
[00:01:05.740 --> 00:01:07.740]  又不是太好
[00:01:07.740 --> 00:01:09.740]  最簡單你說我是屬羊的
[00:01:09.740 --> 00:01:11.740]  是屬羔羊的
[00:01:11.740 --> 00:01:13.740]  因為我是羔羊的 補血買
[00:01:13.740 --> 00:01:15.740]  或者你說屬什麼
[00:01:15.740 --> 00:01:17.740]  我是屬主的
[00:01:17.740 --> 00:01:19.740]  這樣就對了
[00:01:19.740 --> 00:01:21.740]  避免所有東西
[00:01:21.740 --> 00:01:23.740]  而我們去講
[00:01:23.740 --> 00:01:25.740]  正如我所講
[00:01:25.740 --> 00:01:29.740]  聖經其實這十二種動物
[00:01:29.740 --> 00:01:32.740]  其中有一兩種是比較少
[00:01:32.740 --> 00:01:34.740]  因為在中東的地方
[00:01:34.740 --> 00:01:36.740]  是少那種動物
[00:01:36.740 --> 00:01:38.740]  所以聖經裡面的經文少
[00:01:38.740 --> 00:01:40.740]  但是你說馬
[00:01:40.740 --> 00:01:42.740]  牛 羊
[00:01:42.740 --> 00:01:44.740]  甚至龍
[00:01:44.740 --> 00:01:46.740]  聖經都有這些經文
