
[00:00:00.000 --> 00:00:02.520]  今天的講題是比較特別一點的
[00:00:02.520 --> 00:00:07.300]  也是一個進到21章後節
[00:00:07.300 --> 00:00:09.100]  講關於末世的事情
[00:00:09.100 --> 00:00:10.100]  我記得上個星期
[00:00:10.100 --> 00:00:12.880]  當梁牧師講到前半段
[00:00:12.880 --> 00:00:16.680]  講到當日他們見到耶路撒冷
[00:00:16.680 --> 00:00:18.880]  聖殿等等的災禍
[00:00:18.880 --> 00:00:21.700]  今天就擴闊到全球
[00:00:21.700 --> 00:00:24.720]  前兩天我有幾位好的同工
[00:00:24.720 --> 00:00:25.500]  就跟我說
[00:00:25.500 --> 00:00:26.640]  喂 陳牧師
[00:00:26.640 --> 00:00:28.240]  有東西看啊
[00:00:28.240 --> 00:00:30.240]  我說有什麼事呢
[00:00:30.240 --> 00:00:32.240]  他說去到七十一
[00:00:32.240 --> 00:00:34.240]  會有大搶購
[00:00:34.240 --> 00:00:36.240]  他說有大件事
[00:00:36.240 --> 00:00:38.240]  我說什麼大件事呢
[00:00:38.240 --> 00:00:39.740]  是不是疫情要搶東西呢
[00:00:39.740 --> 00:00:40.740]  是不是打仗呢
[00:00:40.740 --> 00:00:41.740]  結果就去了
[00:00:41.740 --> 00:00:44.740]  嘩 真是很多人在那裡
[00:00:44.740 --> 00:00:48.740]  還有幾位女同事在搶購
[00:00:48.740 --> 00:00:50.740]  看到嗎
[00:00:50.740 --> 00:00:53.740]  背後你認不出他們是哪幾個
[00:00:53.740 --> 00:00:57.240]  而右邊真是他們幾位姐妹
[00:00:57.240 --> 00:00:59.240]  就買了這兩箱東西
[00:00:59.240 --> 00:01:01.240]  當他們進去的時候
[00:01:01.240 --> 00:01:03.240]  陳牧師你看到多厲害
[00:01:03.240 --> 00:01:05.240]  接著他們就說
[00:01:05.240 --> 00:01:06.240]  你先回去吧
[00:01:06.240 --> 00:01:08.240]  因為要很長時間才能買單
[00:01:08.240 --> 00:01:10.240]  很長時間要排隊
[00:01:10.240 --> 00:01:12.240]  究竟是什麼事呢
[00:01:12.240 --> 00:01:14.240]  是不是疫情來要搶購呢
[00:01:14.240 --> 00:01:15.240]  不是
[00:01:15.240 --> 00:01:16.240]  是因為什麼
[00:01:16.240 --> 00:01:17.240]  七十一
[00:01:17.240 --> 00:01:19.240]  七七節
[00:01:19.240 --> 00:01:21.240]  有十天左右
[00:01:21.240 --> 00:01:22.240]  七十一
[00:01:22.240 --> 00:01:24.240]  昨天是七月十一日
[00:01:24.240 --> 00:01:26.240]  哦 原來如此
[00:01:26.240 --> 00:01:28.240]  因為這個緣故很多人買東西
[00:01:28.240 --> 00:01:31.240]  但是還有很多東西可以買
[00:01:31.240 --> 00:01:32.240]  入定貨
[00:01:32.240 --> 00:01:33.240]  我們是知道的
[00:01:33.240 --> 00:01:35.240]  如果真的疫情有大件事
[00:01:35.240 --> 00:01:38.240]  到時候的樣子應該是這樣的
[00:01:38.240 --> 00:01:39.240]  大家記不記得
[00:01:39.240 --> 00:01:41.240]  疫情2020年
[00:01:41.240 --> 00:01:43.240]  買不到東西的
[00:01:43.240 --> 00:01:44.240]  沒有東西買的
[00:01:44.240 --> 00:01:46.240]  是這樣的狀況
[00:01:46.240 --> 00:01:47.240]  真的會這樣
[00:01:47.240 --> 00:01:48.240]  我們知道
[00:01:48.240 --> 00:01:50.240]  今天在香港或者全球
[00:01:50.240 --> 00:01:53.240]  很多新奇的事情正在發生
[00:01:53.240 --> 00:01:55.240]  例如我們知道
[00:01:55.240 --> 00:01:57.240]  疫情來了幾年
[00:01:57.240 --> 00:02:00.240]  又例如現在氣候變化
[00:02:00.240 --> 00:02:02.240]  大家知道昨天香港多少度嗎
[00:02:02.240 --> 00:02:03.240]  三十五
[00:02:03.240 --> 00:02:06.240]  有些地方三十六點多
[00:02:06.240 --> 00:02:09.240]  大家知不知道上個月
[00:02:09.240 --> 00:02:12.240]  六月中美歐洲多少度
[00:02:12.240 --> 00:02:14.240]  四十六度
[00:02:14.240 --> 00:02:16.240]  西班牙
[00:02:16.240 --> 00:02:18.240]  知不知道法國和德國多少度
[00:02:18.240 --> 00:02:21.240]  四十到四十四點多
[00:02:21.240 --> 00:02:24.240]  知不知道六月最後兩個星期
[00:02:24.240 --> 00:02:25.240]  死多少人
[00:02:25.240 --> 00:02:26.240]  熱死多少人
[00:02:26.240 --> 00:02:28.240]  八千人
[00:02:28.240 --> 00:02:29.240]  知不知道
[00:02:29.240 --> 00:02:32.240]  其實全球所有事情都亂了
[00:02:32.240 --> 00:02:33.240]  我們都知道
[00:02:33.240 --> 00:02:34.240]  氣候亂了
[00:02:34.240 --> 00:02:36.240]  因為氣候的亂
[00:02:36.240 --> 00:02:38.240]  會有暴雨
[00:02:38.240 --> 00:02:41.240]  有十號風球
[00:02:41.240 --> 00:02:43.240]  有海嘯等等
[00:02:43.240 --> 00:02:44.240]  我想大家都知道
[00:02:44.240 --> 00:02:46.240]  我們曾經在香港試過
[00:02:46.240 --> 00:02:49.240]  一天有一次還是多少次的黑雨
[00:02:49.240 --> 00:02:50.240]  試過
[00:02:50.240 --> 00:02:51.240]  兩次
[00:02:51.240 --> 00:02:52.240]  知不知道
[00:02:52.240 --> 00:02:55.240]  當然我們都知道現在全球都混亂了
[00:02:55.240 --> 00:02:57.240]  或者有很多打仗
[00:02:57.240 --> 00:03:00.240]  有很多很怪的現象
[00:03:00.240 --> 00:03:03.240]  以往的世紀從來不發生
[00:03:03.240 --> 00:03:05.240]  或者核武
[00:03:05.240 --> 00:03:09.240]  或者AI的工具等等
[00:03:09.240 --> 00:03:10.240]  但有些我不明白
[00:03:10.240 --> 00:03:11.240]  什麼不明白呢
[00:03:11.240 --> 00:03:12.240]  我們知道的
[00:03:12.240 --> 00:03:13.240]  凡是暑假
[00:03:13.240 --> 00:03:16.240]  香港都會有大暴雨
[00:03:16.240 --> 00:03:17.240]  會有八號風球
[00:03:17.240 --> 00:03:18.240]  九號風球
[00:03:18.240 --> 00:03:19.240]  十號風球
[00:03:19.240 --> 00:03:22.240]  都會有停車場是水浸的
[00:03:22.240 --> 00:03:24.240]  知不知道我不明白什麼
[00:03:24.240 --> 00:03:29.240]  我不明白為什麼車還會停在那些必定水浸的停車場
[00:03:29.240 --> 00:03:31.240]  這個我真的不明白
[00:03:31.240 --> 00:03:32.240]  如果你不明白就回答我
[00:03:32.240 --> 00:03:33.240]  我每堂都問的
[00:03:33.240 --> 00:03:34.240]  為什麼呢
[00:03:34.240 --> 00:03:35.240]  例如大家知道
[00:03:35.240 --> 00:03:39.240]  在柴灣有個叫做環翠村停車場
[00:03:39.240 --> 00:03:41.240]  差不多一定會浸的
[00:03:41.240 --> 00:03:42.240]  但每次浸我都明白的
[00:03:42.240 --> 00:03:44.240]  都有車停在那裡
[00:03:44.240 --> 00:03:45.240]  為什麼呢
[00:03:45.240 --> 00:03:47.240]  我想了很久
[00:03:47.240 --> 00:03:49.240]  是不是想著可以僥倖
[00:03:49.240 --> 00:03:51.240]  應該浸不到我的
[00:03:51.240 --> 00:03:53.240]  又或者覺得
[00:03:53.240 --> 00:03:54.240]  真的很懶找
[00:03:54.240 --> 00:03:56.240]  另外來這一場
[00:03:56.240 --> 00:03:58.240]  可能距離家裡遠一點
[00:03:58.240 --> 00:03:59.240]  又或者
