
[00:00:00.000 --> 00:00:03.260]  事後約翰和很多的仕途一樣
[00:00:03.260 --> 00:00:09.200]  很努力地在初代教會將福音傳遞
[00:00:09.200 --> 00:00:13.740]  他悉心地牧養和照顧教導
[00:00:13.740 --> 00:00:15.820]  在《藥人一書》他自己說
[00:00:15.820 --> 00:00:18.160]  他已經將他從耶穌基督
[00:00:18.160 --> 00:00:19.740]  跟隨的那幾年當中
[00:00:19.740 --> 00:00:23.200]  親眼見過、親身經歷過的事情
[00:00:23.200 --> 00:00:25.000]  就是關於生命的道
[00:00:25.000 --> 00:00:28.640]  來向那些跟從他的人
[00:00:28.640 --> 00:00:31.720]  那些願意聆聽的人分享
[00:00:31.720 --> 00:00:33.900]  就是關於耶穌基督的研訓
[00:00:33.900 --> 00:00:35.660]  以致讓他們能夠
[00:00:35.660 --> 00:00:40.240]  和這位真神建立那種個人的關係
[00:00:40.240 --> 00:00:42.080]  他很想這羣信主的人
[00:00:42.080 --> 00:00:44.960]  能夠和耶穌基督建立那種團契的生活
[00:00:44.960 --> 00:00:47.520]  同樣也能夠和其他的信徒
[00:00:47.520 --> 00:00:51.720]  建立這種團契的生活
[00:00:51.720 --> 00:00:52.280]  不過很可惜
[00:00:52.280 --> 00:00:56.560]  我想當約翰來寫《藥人一書》的時候
[00:00:56.560 --> 00:01:01.120]  他心裏面可能有一種難過
[00:01:01.120 --> 00:01:03.520]  有一種無奈
[00:01:03.520 --> 00:01:05.000]  因爲經過年日
[00:01:05.000 --> 00:01:06.000]  在他帶領
[00:01:06.000 --> 00:01:08.640]  可能是他牧養、帶領信主的人當中
[00:01:08.640 --> 00:01:12.160]  有些人的信仰出了異化
[00:01:12.160 --> 00:01:13.960]  以致約翰在《藥人一書》
[00:01:13.960 --> 00:01:15.800]  再一次重新強調
[00:01:15.800 --> 00:01:18.800]  他說耶穌基督是真光
[00:01:18.800 --> 00:01:23.040]  凡是要和耶穌建立團契的生活
[00:01:23.040 --> 00:01:24.800]  來有相交的生活
[00:01:24.800 --> 00:01:26.240]  非常重要的一件事
[00:01:26.240 --> 00:01:29.480]  就是他們要行在光明的當中
[00:01:29.480 --> 00:01:31.240]  他說如果我們信耶穌
