
[00:00:00.000 --> 00:00:03.000]  好 弟兄姊妹 大家好
[00:00:03.000 --> 00:00:08.000]  其實我們是街坊 樓上樓下
[00:00:08.000 --> 00:00:12.000]  剛才我從22樓上來 很近
[00:00:12.000 --> 00:00:14.000]  但是我們星期日聚會的時候
[00:00:14.000 --> 00:00:17.000]  我們去到港大同學會聚會
[00:00:17.000 --> 00:00:21.000]  我們不在22樓教會聚會
[00:00:21.000 --> 00:00:23.000]  22樓做什麼呢
[00:00:23.000 --> 00:00:28.000]  就是借給百德做青少年的崇拜
[00:00:28.000 --> 00:00:31.000]  我們在這裡 大家知道有多少間教會嗎
[00:00:31.000 --> 00:00:33.000]  這一棟東墨大廈
[00:00:33.000 --> 00:00:36.000]  七十幾完美數字的 是吧
[00:00:36.000 --> 00:00:39.000]  我們經常都有聯繫的
[00:00:39.000 --> 00:00:41.000]  菲律賓那間教會就少一點
[00:00:41.000 --> 00:00:45.000]  但是其他教會很多時候都會有聯繫的
[00:00:45.000 --> 00:00:48.000]  我們其實都搬來這裡 不是說太久
[00:00:48.000 --> 00:00:51.000]  不過好像比你們久一點
[00:00:51.000 --> 00:00:54.000]  好 今天我都藉著來到港大
[00:00:54.000 --> 00:00:56.000]  是第一次我來港大
[00:00:56.000 --> 00:00:59.000]  都代表我們的教會
[00:00:59.000 --> 00:01:02.000]  我服侍的堂會 新生命浸信會
[00:01:02.000 --> 00:01:04.000]  向大家去問安
[00:01:04.000 --> 00:01:08.000]  好了 說到我們是新生命
[00:01:08.000 --> 00:01:11.000]  是街坊家裡 我們
[00:01:11.000 --> 00:01:12.000]  跟我江牧師都很熟的
[00:01:12.000 --> 00:01:16.000]  江牧師都是我很好的榜樣
[00:01:16.000 --> 00:01:18.000]  好了 今天跟大家去說
[00:01:18.000 --> 00:01:21.000]  凡有意應該聽殺種者的比喻
[00:01:21.000 --> 00:01:24.000]  有沒有人第一次聽殺種的比喻
[00:01:24.000 --> 00:01:27.000]  你這樣問我都不好意思舉手
[00:01:27.000 --> 00:01:29.000]  很熟悉的比喻 是吧
[00:01:29.000 --> 00:01:31.000]  但是我今天的焦點
[00:01:31.000 --> 00:01:33.000]  可能跟你以往聽的
[00:01:33.000 --> 00:01:36.000]  都有一點焦點有點不同
[00:01:36.000 --> 00:01:38.000]  今天我都試一下用
[00:01:38.000 --> 00:01:40.000]  在神的視覺上是怎樣去
[00:01:40.000 --> 00:01:43.000]  說這個殺種者的比喻
[00:01:43.000 --> 00:01:45.000]  怎樣說這個殺種的比喻
[00:01:45.000 --> 00:01:48.000]  好了 介紹一下我們的教會
[00:01:48.000 --> 00:01:50.000]  我們教會在22樓
[00:01:50.000 --> 00:01:53.000]  這個22樓就是東墨
[00:01:53.000 --> 00:01:55.000]  不是說東墨22樓
[00:01:55.000 --> 00:01:57.000]  我們教會不是很大
[00:01:57.000 --> 00:02:00.000]  其實我是第一次
[00:02:00.000 --> 00:02:03.000]  和你們一起分享神的話語
[00:02:03.000 --> 00:02:05.000]  但其實我站在這個講台
[00:02:05.000 --> 00:02:07.000]  站了很多次了
[00:02:07.000 --> 00:02:09.000]  因為有一段時間
[00:02:09.000 --> 00:02:12.000]  借給我們星期六晚上
[00:02:12.000 --> 00:02:15.000]  你們貴會借給我們一起聚會
[00:02:15.000 --> 00:02:16.000]  青少年聚會
[00:02:16.000 --> 00:02:19.000]  為什麼要借貴會星期六
[00:02:19.000 --> 00:02:21.000]  你們不回22樓
[00:02:21.000 --> 00:02:23.000]  因為我們22樓不是很大
[00:02:23.000 --> 00:02:24.000]  小一點
[00:02:24.000 --> 00:02:26.000]  你們以前未曾去
[00:02:26.000 --> 00:02:28.000]  現在你們是減了一個單位
[00:02:28.000 --> 00:02:30.000]  你們未減一個單位的時候
[00:02:30.000 --> 00:02:31.000]  是大很多的
[00:02:31.000 --> 00:02:34.000]  我們星期六就問你們去借場
[00:02:34.000 --> 00:02:37.000]  所以都站在這個講台很多次
[00:02:37.000 --> 00:02:39.000]  我們剛才講到22樓
[00:02:39.000 --> 00:02:42.000]  在我們的禮堂裡面
[00:02:42.000 --> 00:02:44.000]  雖然小 但都是一個禮堂
