
[00:00:00.000 --> 00:00:02.040]  為什麼我特別講這段經文呢?
[00:00:02.040 --> 00:00:05.400]  因為今年,現在已經來到12月
[00:00:05.400 --> 00:00:07.000]  12月很特別
[00:00:07.000 --> 00:00:10.440]  通常12月就是我們回顧過去一年
[00:00:10.440 --> 00:00:12.120]  發生過什麼事
[00:00:12.120 --> 00:00:14.120]  也都期盼
[00:00:14.120 --> 00:00:17.560]  未來一年能夠更好地
[00:00:17.560 --> 00:00:21.440]  發展更多的平安的一個月份,對嗎?
[00:00:21.440 --> 00:00:25.040]  通常都是回顧、發展
[00:00:25.040 --> 00:00:27.040]  現在是張臨期
[00:00:27.040 --> 00:00:29.040]  張臨期做什麼的?
[00:00:29.040 --> 00:00:31.440]  張臨期就是紀念主耶穌基督
[00:00:31.440 --> 00:00:34.440]  祂渡成肉身降到這個世界上
[00:00:34.440 --> 00:00:38.400]  彰顯上帝的愛,彰顯上帝的榮耀
[00:00:38.400 --> 00:00:41.680]  並且為導引的罪獻上祂自己
[00:00:41.680 --> 00:00:45.400]  但是張臨期不是單單紀念主耶穌基督的降生
[00:00:45.400 --> 00:00:47.200]  張臨期也是同時間
[00:00:47.200 --> 00:00:50.760]  我們指望主耶穌基督有一天會再來
[00:00:50.760 --> 00:00:52.760]  我們怎樣去準備自己
[00:00:52.760 --> 00:00:55.800]  回顧養亡
[00:00:55.800 --> 00:00:59.400]  聖餐,今天也是聖餐主日
[00:00:59.400 --> 00:01:01.400]  聖餐主日是什麼?
[00:01:01.400 --> 00:01:03.400]  我們紀念主耶穌基督
[00:01:03.400 --> 00:01:06.680]  在受難之前準備禮儀
[00:01:06.680 --> 00:01:09.880]  這個聖餐養我們紀念祂的受死
[00:01:09.880 --> 00:01:12.560]  但是同樣也是一個展望
[00:01:12.560 --> 00:01:16.120]  所以主耶穌基督設立聖餐的時候說
[00:01:16.120 --> 00:01:20.080]  我不會再跟你們學這杯,直至學新的日子
[00:01:20.080 --> 00:01:22.640]  就即時跟一班門徒說
[00:01:22.640 --> 00:01:25.280]  我不會再跟你們共同筵席
[00:01:25.280 --> 00:01:30.040]  直至在天國裡我們再一次在筵席上
[00:01:30.040 --> 00:01:33.960]  一同享用這個豐盛的筵席
[00:01:33.960 --> 00:01:37.480]  回顧養亡
[00:01:37.480 --> 00:01:40.440]  今天我們同樣也是回顧養亡
[00:01:40.440 --> 00:01:46.440]  我們從一個人身上學功課
[00:01:46.440 --> 00:01:49.880]  一班以色列人去到西乃山
[00:01:49.880 --> 00:01:54.120]  但是哪一個人帶領這班以色列人去到西乃山的?
[00:01:54.120 --> 00:01:55.960]  哪一個?
[00:01:55.960 --> 00:01:58.080]  摩西,對嗎?
[00:01:58.080 --> 00:02:00.160]  我們一起打開聖經
[00:02:00.160 --> 00:02:01.480]  如果有聖經的
[00:02:01.480 --> 00:02:06.480]  出埃及記第三章
[00:02:06.480 --> 00:02:13.280]  出埃及記第三章
[00:02:13.280 --> 00:02:19.200]  上一個月的聖餐主日
[00:02:19.200 --> 00:02:25.400]  英牧師剛剛跟我們講完積極、勉強
[00:02:25.400 --> 00:02:29.160]  怎樣在摩西身上學功課
[00:02:29.160 --> 00:02:31.720]  今天我們重講摩西
[00:02:31.720 --> 00:02:35.960]  我們這次講的就是怎樣神讓摩西回顧
[00:02:35.960 --> 00:02:39.800]  神讓摩西怎樣向前學
[00:02:39.800 --> 00:02:41.400]  很特別
[00:02:41.400 --> 00:02:43.440]  請大家自己打開經文
[00:02:43.440 --> 00:02:46.400]  我不跟大家一起讀了
[00:02:46.400 --> 00:02:51.120]  簡單來說,回顧摩西很簡單的一生
[00:02:51.120 --> 00:02:53.920]  摩西是120歲
[00:02:53.920 --> 00:02:58.400]  人生經過,很容易記的,分三段年日
[00:02:58.400 --> 00:03:01.200]  第一段年日,頭那40年
[00:03:01.200 --> 00:03:03.680]  他做王子
[00:03:03.680 --> 00:03:05.680]  他在皇宮裡面
[00:03:05.680 --> 00:03:09.880]  因為他被公主收養了,被法老的女兒收養了
[00:03:09.880 --> 00:03:13.040]  所以在那裡榮華富貴
[00:03:13.040 --> 00:03:16.960]  不單榮華富貴,他還很厲害的一個人
[00:03:16.960 --> 00:03:18.160]  他怎樣厲害呢?
[00:03:18.160 --> 00:03:20.920]  在史太行傳第七章二十二節
[00:03:20.920 --> 00:03:24.760]  當史提反跟以色列人講道
[00:03:24.760 --> 00:03:27.920]  在他殉道之前,他形容摩西
[00:03:27.920 --> 00:03:31.240]  摩西學了埃及人一切的學問
[00:03:31.240 --> 00:03:34.560]  說話、辦事都有才能
[00:03:34.560 --> 00:03:36.960]  其實摩西很厲害的
[00:03:36.960 --> 00:03:41.040]  他學了埃及人一切的學問
[00:03:41.040 --> 00:03:44.160]  說話、辦事都有才能
[00:03:44.160 --> 00:03:49.800]  所以當我們看神父召摩西
[00:03:49.800 --> 00:03:52.640]  摩西其中一個推搪的藉口是什麼?
[00:03:52.640 --> 00:03:54.640]  我口齒不靈理
[00:03:54.640 --> 00:03:57.280]  這個一定是推搪的
[00:03:57.280 --> 00:04:00.480]  他很厲害,頭那40年
[00:04:00.480 --> 00:04:03.240]  接著40歲的時候
[00:04:03.240 --> 00:04:05.640]  他見到有一個埃及人
[00:04:05.640 --> 00:04:08.520]  打他的同胞以色列人
[00:04:08.520 --> 00:04:11.920]  他見到周圍有人打死埃及人
[00:04:11.920 --> 00:04:13.600]  還將他埋葬了
[00:04:13.600 --> 00:04:16.240]  想著神不知鬼不覺
[00:04:16.240 --> 00:04:17.680]  誰知第二天
[00:04:17.680 --> 00:04:19.840]  他又見到兩個以色列人
[00:04:19.840 --> 00:04:22.160]  他的同胞在吵架
[00:04:22.160 --> 00:04:23.360]  於是他就勸架
[00:04:23.360 --> 00:04:25.920]  覺得大家都是同胞
[00:04:25.920 --> 00:04:27.720]  不要這樣傷憎
[00:04:27.720 --> 00:04:30.560]  誰知那兩個以色列人說
[00:04:30.560 --> 00:04:31.680]  你想打死我
[00:04:31.680 --> 00:04:36.160]  好像昨天你打死一個埃及人一樣
[00:04:36.160 --> 00:04:39.360]  嚇得他馬上要逃難
[00:04:39.360 --> 00:04:40.320]  馬上要逃跑
[00:04:40.320 --> 00:04:40.760]  為什麼?
[00:04:40.760 --> 00:04:42.160]  原來事情穿了出來
[00:04:42.160 --> 00:04:43.760]  他不知道為什麼穿了
[00:04:43.760 --> 00:04:45.080]  很明顯
[00:04:45.080 --> 00:04:47.120]  當然是之前那天
[00:04:47.120 --> 00:04:49.080]  他救的那個以色列人穿了出來
[00:04:49.080 --> 00:04:51.320]  很明顯
[00:04:51.320 --> 00:04:53.280]  接著他逃難
[00:04:53.280 --> 00:04:55.200]  接著那40年
[00:04:55.200 --> 00:04:57.400]  由40歲到80歲
[00:04:57.400 --> 00:05:02.520]  他在米甸的曠野渡過
[00:05:02.520 --> 00:05:06.160]  娶了米甸的祭司呂爺西波拉
[00:05:06.160 --> 00:05:07.360]  做了他的妻子
[00:05:07.360 --> 00:05:09.760]  生了兩個兒子
[00:05:09.760 --> 00:05:11.440]  一個叫做甲遜
[00:05:11.440 --> 00:05:13.920]  一個叫做以尼爾謝
[00:05:13.920 --> 00:05:14.560]  牧羊
[00:05:14.560 --> 00:05:16.400]  牧了40年
[00:05:16.400 --> 00:05:21.080]  到了80歲
[00:05:21.080 --> 00:05:25.160]  《初埃及記》第二章第三章就說到摩西
[00:05:25.160 --> 00:05:26.480]  80歲的時候
[00:05:26.480 --> 00:05:29.320]  上帝怎樣呼召他
[00:05:29.320 --> 00:05:32.720]  人生過了三分二
[00:05:32.720 --> 00:05:33.640]  80歲的時候
[00:05:33.640 --> 00:05:37.080]  你有沒有想過為神再創高峰
[00:05:37.080 --> 00:05:39.200]  再做一番事業
[00:05:39.200 --> 00:05:42.600]  通常我們現在80歲想著
[00:05:42.600 --> 00:05:44.720]  我怎樣可以
[00:05:44.720 --> 00:05:45.960]  和子女在一起
[00:05:45.960 --> 00:05:48.200]  和孫子在一起
[00:05:48.200 --> 00:05:52.240]  安安心心等候天父接我回去
[00:05:52.240 --> 00:05:54.640]  或者我們會這樣想
[00:05:54.640 --> 00:05:57.760]  但是上帝在80歲的時候
[00:05:57.760 --> 00:06:00.280]  呼召摩西
[00:06:00.280 --> 00:06:03.600]  我們未必有120歲命
[00:06:03.600 --> 00:06:05.480]  不過我在這裡都鼓勵
[00:06:05.480 --> 00:06:08.920]  那些即將退休或者退休的弟兄姊妹
[00:06:08.920 --> 00:06:10.440]  我當你有90歲命
[00:06:10.440 --> 00:06:13.200]  香港人現在80幾90歲了
[00:06:13.200 --> 00:06:16.920]  三分之二60歲
[00:06:16.920 --> 00:06:19.080]  你還有三分之一
[00:06:19.080 --> 00:06:22.040]  可以為神發光發熱
[00:06:22.040 --> 00:06:23.600]  我們未到60歲
[00:06:23.600 --> 00:06:24.240]  我快到了
[00:06:24.240 --> 00:06:25.720]  不過未到
[00:06:25.720 --> 00:06:28.360]  那些未到60歲的
[00:06:28.360 --> 00:06:32.880]  我們有更多機會可以侍奉著
[00:06:32.880 --> 00:06:35.000]  摩西就是這樣
[00:06:35.000 --> 00:06:38.480]  三段時間
[00:06:38.480 --> 00:06:41.960]  現在第一件事要問
[00:06:41.960 --> 00:06:43.800]  摩西在米顛曠野
[00:06:43.800 --> 00:06:45.880]  當上帝呼召他的時候
[00:06:45.880 --> 00:06:50.800]  你猜他的心情是如何
[00:06:50.800 --> 00:06:54.120]  他甘不甘願在米顛曠野
[00:06:54.120 --> 00:06:56.240]  當然不甘願
[00:06:56.240 --> 00:06:59.280]  他只是走到曠野那裡
[00:06:59.280 --> 00:07:01.080]  但每一次他回顧的時候
[00:07:01.080 --> 00:07:02.680]  他回顧的是什麼
[00:07:02.680 --> 00:07:05.200]  他回顧的是我想拯救我的同胞
[00:07:05.200 --> 00:07:08.240]  我想為我的同胞做一番事
[00:07:08.240 --> 00:07:10.320]  救他們脫離埃及人的手
[00:07:10.320 --> 00:07:13.120]  救他們不需要被埃及人欺壓
[00:07:13.120 --> 00:07:14.360]  但是那些同胞
[00:07:14.360 --> 00:07:16.040]  他跟我說
[00:07:16.040 --> 00:07:19.040]  誰立你做我的領袖
[00:07:19.040 --> 00:07:23.000]  我為什麼要聽你的話
[00:07:23.000 --> 00:07:25.640]  然後還穿了他的事出來
[00:07:25.640 --> 00:07:27.280]  被逼走
[00:07:27.280 --> 00:07:30.560]  這是對於他來說是傷痛的回憶
