
[00:00:00.000 --> 00:00:02.000]  頂智媒平安
[00:00:02.000 --> 00:00:04.000]  古語有一句說話
[00:00:04.000 --> 00:00:06.000]  秀采遇著兵
[00:00:06.000 --> 00:00:08.000]  有理就說不清
[00:00:08.000 --> 00:00:10.000]  其實這一句說話
[00:00:10.000 --> 00:00:12.000]  其實有點貶義
[00:00:12.000 --> 00:00:14.000]  特別貶那些做兵的人
[00:00:14.000 --> 00:00:16.000]  不是因為他們一個說潮州話
[00:00:16.000 --> 00:00:18.000]  一個說上海話
[00:00:18.000 --> 00:00:20.000]  這麼不同的語言
[00:00:20.000 --> 00:00:22.000]  大家的背景很不同
[00:00:22.000 --> 00:00:24.000]  秀采是文人
[00:00:24.000 --> 00:00:26.000]  詩文人
[00:00:26.000 --> 00:00:28.000]  有學識的
[00:00:28.000 --> 00:00:30.000]  兵的被人覺得讀不成書
[00:00:30.000 --> 00:00:32.000]  一副老粗
[00:00:32.000 --> 00:00:34.000]  簡單來說他們背景不同
[00:00:34.000 --> 00:00:36.000]  真是很難談
[00:00:36.000 --> 00:00:38.000]  我們大家沒有共同話題
[00:00:38.000 --> 00:00:40.000]  我講你不明白
[00:00:40.000 --> 00:00:42.000]  你講我不明白
[00:00:42.000 --> 00:00:44.000]  雞同鴨講
[00:00:44.000 --> 00:00:46.000]  所以秀采遇著兵
[00:00:46.000 --> 00:00:48.000]  真是有理都說不清
[00:00:48.000 --> 00:00:52.000]  在2019年
[00:00:52.000 --> 00:00:54.000]  那年很多情況都是
[00:00:54.000 --> 00:00:56.000]  有理說不清
[00:00:56.000 --> 00:00:58.000]  那年出現了很多
[00:00:58.000 --> 00:01:00.000]  武則天的後人
[00:01:00.000 --> 00:01:02.000]  什麼意思呢
[00:01:02.000 --> 00:01:04.000]  是沒得談
[00:01:04.000 --> 00:01:08.000]  其實讓我想起一套電影
[00:01:08.000 --> 00:01:10.000]  其實我沒有正式看
[00:01:10.000 --> 00:01:12.000]  只是看一些片段
[00:01:12.000 --> 00:01:14.000]  就叫傲慢與偏見
[00:01:14.000 --> 00:01:18.000]  講過一家庭
[00:01:18.000 --> 00:01:20.000]  有五個女兒
[00:01:20.000 --> 00:01:22.000]  當時的英國原來都重男輕女
[00:01:22.000 --> 00:01:24.000]  當男主角
[00:01:24.000 --> 00:01:26.000]  偶遇女主角
[00:01:26.000 --> 00:01:28.000]  男的被譽為傲慢
[00:01:28.000 --> 00:01:30.000]  女的也被譽為偏見
[00:01:30.000 --> 00:01:34.000]  其實他們兩個
[00:01:34.000 --> 00:01:36.000]  對方都有情感
[00:01:36.000 --> 00:01:38.000]  但因為傲慢
[00:01:38.000 --> 00:01:40.000]  偏見
[00:01:40.000 --> 00:01:42.000]  他們遇到很多衝擊
[00:01:42.000 --> 00:01:44.000]  很多誤會
[00:01:44.000 --> 00:01:46.000]  甚至說我不會嫁給你
[00:01:46.000 --> 00:01:48.000]  死了男人都不會嫁給你
[00:01:48.000 --> 00:01:50.000]  但當其中一個
[00:01:50.000 --> 00:01:52.000]  放下他的傲慢
[00:01:52.000 --> 00:01:54.000]  其中一個
[00:01:54.000 --> 00:01:56.000]  改變他的偏見
[00:01:56.000 --> 00:01:58.000]  甚至消除他的偏見
[00:01:58.000 --> 00:02:00.000]  結果大家看到一個好結果
[00:02:00.000 --> 00:02:04.000]  日常的溝通
[00:02:04.000 --> 00:02:06.000]  如果其中一方過分執著
[00:02:06.000 --> 00:02:08.000]  或者存有偏見
[00:02:08.000 --> 00:02:10.000]  是很難
[00:02:10.000 --> 00:02:14.000]  繼續講下去的
[00:02:14.000 --> 00:02:16.000]  很弊的一件事就是
[00:02:16.000 --> 00:02:18.000]  大家所堅持的
[00:02:18.000 --> 00:02:20.000]  可能純粹是個人的習慣
[00:02:20.000 --> 00:02:22.000]  傳統理解
[00:02:22.000 --> 00:02:24.000]  或者他認為對的東西
[00:02:24.000 --> 00:02:26.000]  不一定是真理
[00:02:26.000 --> 00:02:28.000]  就算我說得
[00:02:28.000 --> 00:02:30.000]  頗有道理
[00:02:30.000 --> 00:02:32.000]  甚至我說的是真理
[00:02:32.000 --> 00:02:34.000]  如果對方不明白
[00:02:34.000 --> 00:02:36.000]  聽不明白
[00:02:36.000 --> 00:02:38.000]  感受不到
[00:02:38.000 --> 00:02:40.000]  真的好像授材遇了兵那樣的情況
[00:02:40.000 --> 00:02:42.000]  或者我明白
[00:02:42.000 --> 00:02:44.000]  但我覺得我的看法
[00:02:44.000 --> 00:02:46.000]  我的傳統更好
[00:02:46.000 --> 00:02:48.000]  因著我的執著
[00:02:48.000 --> 00:02:50.000]  我不肯謙卑
[00:02:50.000 --> 00:02:52.000]  我不認低威
