
[00:00:00.000 --> 00:00:02.440]  我哋先一同祈禱
[00:00:02.440 --> 00:00:05.300]  真係天父我哋感謝您的恩典
[00:00:05.300 --> 00:00:08.480]  讓我哋喺主日清晨可以聚在一起
[00:00:08.480 --> 00:00:09.600]  嚟到敬拜您
[00:00:09.600 --> 00:00:12.540]  我哋求聖靈喺我哋當中幫助我哋
[00:00:12.540 --> 00:00:14.440]  聽一個
[00:00:14.440 --> 00:00:18.500]  兩千幾年前嘅訊息
[00:00:18.500 --> 00:00:22.440]  幫助我哋去思想明白上主對我哋嘅心意
[00:00:22.440 --> 00:00:24.500]  奉耶穌基督的名祈禱
[00:00:24.500 --> 00:00:25.140]  阿們
[00:00:25.140 --> 00:00:29.240]  從呢個禮拜開始呢
[00:00:29.240 --> 00:00:33.040]  我哋就會花六個禮拜嘅時間呢
[00:00:33.040 --> 00:00:36.440]  係思想二賽亞書第一至到第十二章
[00:00:36.440 --> 00:00:38.240]  咁唔係每一章都講
[00:00:38.240 --> 00:00:41.200]  我哋揀咗其中幾章嚟講
[00:00:41.200 --> 00:00:44.560]  咁既然呢係思想先知書啦
[00:00:44.560 --> 00:00:49.560]  我都希望大家會留意有關先知書嘅一啲嘅
[00:00:49.560 --> 00:00:51.700]  一啲嘅事
[00:00:51.700 --> 00:00:53.340]  第一呢
[00:00:53.340 --> 00:00:54.460]  先知書
[00:00:54.460 --> 00:00:56.340]  嘅訊息
[00:00:58.140 --> 00:01:03.340]  首先呢係針對佢寫作嘅時代嘅當代人講嘅
[00:01:03.340 --> 00:01:06.460]  大多數嘅先知書
[00:01:06.460 --> 00:01:08.900]  都係由於當時嘅人民
[00:01:08.900 --> 00:01:10.460]  墮落
[00:01:10.460 --> 00:01:12.360]  利器神
[00:01:12.360 --> 00:01:16.760]  上主就派先知去指責佢哋
[00:01:16.760 --> 00:01:18.360]  然後呢
[00:01:18.360 --> 00:01:21.200]  啊有人就將先知嘅訊息
[00:01:21.200 --> 00:01:22.940]  記錄落嚟
[00:01:22.940 --> 00:01:26.440]  成為我哋而家所讀嘅先知書
[00:01:27.260 --> 00:01:32.560]  所以呢我哋唔好諗住打開先知書呢就認為呢佢係為我哋而寫嘅
[00:01:32.560 --> 00:01:39.360]  我哋比較少睇先知書嘅其中一個原因呢就係
