
[00:00:00.000 --> 00:00:08.900]  如果大家回想2014年年底 你會想到什麼呢?
[00:00:08.900 --> 00:00:12.140]  你馬上想到什麼感覺呢?
[00:00:12.140 --> 00:00:21.900]  我也想想 實在太忙了 忙到好像很亂 要慢慢整合
[00:00:21.900 --> 00:00:27.300]  所以我也想大家在年底的時候安靜一下
[00:00:27.300 --> 00:00:34.900]  可能你會想到很多發生了的事 家庭發生的事 或者是工作等等
[00:00:34.900 --> 00:00:43.200]  或者想到社會 雨傘運動等等 我不知道你有什麼感受在當中
[00:00:43.200 --> 00:00:49.400]  但我想跟大家有多一個角度去看 就是在神的角度去看
[00:00:49.400 --> 00:00:54.400]  在當中你領受到神的帶領你有多少呢?
[00:00:54.400 --> 00:01:00.700]  或者神在當中 祂幫助我們的生命 陪伴我們有多少呢?
[00:01:00.700 --> 00:01:04.000]  可能我們在當中也經歷了一些艱難
[00:01:04.000 --> 00:01:08.600]  不過我們同樣經歷了神的慈愛 祂的恩典
[00:01:08.600 --> 00:01:14.000]  所以當我們這樣想的時候 以神的角度去看這些事情
[00:01:14.000 --> 00:01:19.700]  神怎樣帶領我們渡過的時候 我們就會有更多的感恩和讚美
[00:01:19.700 --> 00:01:24.600]  而不是只會局限在我們覺得很亂、很雜
[00:01:24.600 --> 00:01:29.600]  甚至有些事情我們很想做 但做不到等等這些事情上
[00:01:29.600 --> 00:01:37.300]  以至於我們在年底的時候 懂得更多的感恩和讚美
[00:01:37.300 --> 00:01:43.200]  有一位博士姓羅 他提到一件事
[00:01:43.200 --> 00:01:46.300]  在一本書裡面講到讚美 性惡的讚美
[00:01:46.300 --> 00:01:51.700]  他說很多時候我們讚美 有時是難有時是易
[00:01:51.700 --> 00:01:53.300]  他說什麼是難和什麼是易呢?
[00:01:53.300 --> 00:01:56.700]  他提出了很多東西 其中我提出了幾個
[00:01:56.700 --> 00:01:58.300]  他說什麼是難呢?
[00:01:58.300 --> 00:02:04.200]  就是當我們祈禱的事情 如果是有神聽我們祈禱過
[00:02:04.200 --> 00:02:06.500]  成就了 我們就容易讚美
[00:02:06.500 --> 00:02:10.700]  但是一些我們祈禱很久很久都沒有結果
[00:02:10.700 --> 00:02:14.200]  我們就會很難讚美
[00:02:14.200 --> 00:02:18.700]  又或者我們在教會裡面 在小組團體裡面
[00:02:18.700 --> 00:02:20.300]  我們讚美神都比較容易
[00:02:20.300 --> 00:02:29.100]  但是如果我們在病床 或者在一些失業的紀錄處
[00:02:29.100 --> 00:02:31.100]  看看怎樣去找工作的時候
[00:02:31.100 --> 00:02:34.100]  這些地方我們就難去敬拜
[00:02:34.100 --> 00:02:41.900]  又或者我們想到昨天有什麼神為我們好的事情
[00:02:41.900 --> 00:02:44.100]  為我們預備的 我們容易讚美
[00:02:44.100 --> 00:02:47.700]  再前一些 或者一年前的事情
[00:02:47.700 --> 00:02:51.500]  有沒有我們重新的為神給我們的恩惠呢?
[00:02:51.500 --> 00:02:53.100]  我們讚美神呢?
[00:02:53.100 --> 00:02:56.000]  所以其實我們想想 如果我們這樣看
[00:02:56.000 --> 00:02:59.700]  我們會少了很多的 忘記了很多的讚美
[00:02:59.700 --> 00:03:01.900]  或者疏忽了很多的讚美
[00:03:01.900 --> 00:03:06.100]  今天這篇詩篇103篇其實很豐富
[00:03:06.100 --> 00:03:09.300]  本來想一下 會不會可以一次過講到這麼多節呢?
[00:03:09.300 --> 00:03:11.700]  但是發覺原來彼此相連的
[00:03:11.700 --> 00:03:16.500]  一次過講 給我們很多的反省
[00:03:16.500 --> 00:03:20.800]  不如我們一起看看這段經文
[00:03:20.800 --> 00:03:25.800]  它讓我們知道 原來是神配得我們的讚美
[00:03:25.800 --> 00:03:26.900]  神配得我們的讚美
[00:03:26.900 --> 00:03:30.500]  主要是三方面 怎樣神配得我們的讚美呢?
[00:03:30.500 --> 00:03:33.600]  神第一方面 祂為我們做了很多事
[00:03:33.600 --> 00:03:35.400]  有很多的恩惠給了我們
[00:03:35.400 --> 00:03:37.500]  我們應該值得讚美祂
[00:03:37.500 --> 00:03:39.500]  但是如果我們再深一層想一下
[00:03:39.500 --> 00:03:41.900]  神為什麼給我們這麼多的恩惠呢?
[00:03:41.900 --> 00:03:43.900]  因為祂就是祂了
[00:03:43.900 --> 00:03:45.500]  祂是一個美善的神
[00:03:45.500 --> 00:03:47.700]  祂慈愛又公義
[00:03:47.700 --> 00:03:50.300]  以至於祂私人的這些好處給我們
[00:03:50.300 --> 00:03:53.500]  所以我們要為神是誰去讚美祂
[00:03:53.500 --> 00:03:55.500]  還有第三方面
[00:03:55.500 --> 00:03:59.900]  神更加講到祂是掌管萬有的主宰
[00:03:59.900 --> 00:04:01.700]  我們更加應該去讚美祂
[00:04:01.700 --> 00:04:04.500]  所以我們看這三方面彼此相連
[00:04:04.500 --> 00:04:05.900]  不如我們繼續看看
[00:04:05.900 --> 00:04:08.100]  首先第一節到第五節
[00:04:08.100 --> 00:04:11.500]  不如我們一起來讀
[00:04:11.500 --> 00:04:14.300]  我的心啊!
[00:04:14.300 --> 00:04:16.300]  你要稱頌耶和華
[00:04:16.300 --> 00:04:17.700]  凡在我裡面的
[00:04:17.700 --> 00:04:19.700]  都要稱頌祂的聖名
[00:04:19.700 --> 00:04:20.900]  我的心啊!
[00:04:20.900 --> 00:04:22.500]  你要稱頌耶和華
[00:04:22.500 --> 00:04:24.900]  不可忘記祂的一切恩惠
[00:04:24.900 --> 00:04:27.100]  祂赦免你一切的罪孽
[00:04:27.100 --> 00:04:29.100]  醫治你一切的疾病
[00:04:29.100 --> 00:04:32.100]  祂救贖你的命脫離地府
[00:04:32.100 --> 00:04:34.900]  以仁愛和憐憫為你的冠冕
