
[00:00:00.000 --> 00:00:02.000]  我們先祈禱一下
[00:00:02.000 --> 00:00:04.000]  祝福我們今天有理智的恩典
[00:00:04.000 --> 00:00:06.000]  使我們有平安
[00:00:06.000 --> 00:00:08.000]  有今天的機會
[00:00:08.000 --> 00:00:11.000]  可以繼續回來一同敬拜祢
[00:00:11.000 --> 00:00:14.000]  求祢一聲令現在開啟我們的心靈
[00:00:14.000 --> 00:00:18.000]  讓我們可以聽到明白祢的話
[00:00:18.000 --> 00:00:22.000]  並且從祢的話語裡面學習真理教義
[00:00:22.000 --> 00:00:26.000]  也能夠實行在我們的生命當中
[00:00:26.000 --> 00:00:28.000]  奉耶穌基督的名祈禱
[00:00:28.000 --> 00:00:35.000]  我們繼續看傳道書
[00:00:35.000 --> 00:00:43.000]  傳道者提到一個他在太陽底下觀察到的事
[00:00:43.000 --> 00:00:47.000]  就是好人不一定得好報
[00:00:47.000 --> 00:00:52.000]  惡人也不一定得惡報
[00:00:52.000 --> 00:00:57.000]  義人有時也會得到惡人的結局
[00:00:57.000 --> 00:01:01.000]  而惡人有時他會事事順利
[00:01:01.000 --> 00:01:07.000]  兒孫滿堂甚至死後還會風光大葬
[00:01:07.000 --> 00:01:12.000]  事實上傳道者所觀察到的事
[00:01:12.000 --> 00:01:19.000]  很多人在不同的時代都可以觀察到同樣的事情
[00:01:19.000 --> 00:01:23.000]  比如說詩篇73篇的作者
[00:01:23.000 --> 00:01:26.000]  他也曾經觀察到同樣的事
[00:01:26.000 --> 00:01:28.000]  以至他這樣問
[00:01:28.000 --> 00:01:31.000]  他說 邪惡的人就是這樣
[00:01:31.000 --> 00:01:35.000]  他們已經富足 仍然貪得無厭
[00:01:35.000 --> 00:01:43.000]  那麼我謹慎自守 不敢犯罪 是徒然嗎?
[00:01:43.000 --> 00:01:47.000]  所以我想跟大家思想一下
[00:01:47.000 --> 00:01:50.000]  有關義人受苦的問題
[00:01:50.000 --> 00:01:58.000]  義人受苦的確是一個令人困惑難解的問題
[00:01:58.000 --> 00:02:01.000]  因為聖經教導我們說
[00:02:01.000 --> 00:02:05.000]  義人一定會得到上帝的保護
[00:02:05.000 --> 00:02:08.000]  做事一定會順利
[00:02:08.000 --> 00:02:12.000]  詩篇第一篇就是一個很好的例子
[00:02:12.000 --> 00:02:16.000]  而在新約當中 保羅也告訴我們
