
[00:00:00.000 --> 00:00:04.000]  今天我看到你們的崇拜五彩紛紛
[00:00:04.000 --> 00:00:09.000]  首先有黃衣的敬拜隊將榮耀歸給上帝
[00:00:09.000 --> 00:00:13.000]  有白衣的獨經小組與我們去宣講
[00:00:13.000 --> 00:00:15.000]  宣讀神的話語
[00:00:15.000 --> 00:00:19.000]  又看到今天很多的蠟燭鮮花
[00:00:19.000 --> 00:00:22.000]  都象徵着聖誕的來臨
[00:00:22.000 --> 00:00:27.000]  我們去預備耶穌基督的降臨
[00:00:27.000 --> 00:00:30.000]  也在神的話語裏準備我們的心
[00:00:30.000 --> 00:00:33.000]  今天我選了《路加福音》
[00:00:33.000 --> 00:00:35.000]  一章26-38節
[00:00:35.000 --> 00:00:37.000]  《不可能的任命》
[00:00:37.000 --> 00:00:39.000]  不知道大家在你的生命當中
[00:00:39.000 --> 00:00:41.000]  有沒有經歷過不可能的任命呢?
[00:00:41.000 --> 00:00:43.000]  在人類的歷史長河裏
[00:00:43.000 --> 00:00:45.000]  有很多平凡或者卑微的人
[00:00:45.000 --> 00:00:47.000]  都經歷過一個不平凡的任命
[00:00:47.000 --> 00:00:49.000]  而改變了一個世界
[00:00:49.000 --> 00:00:51.000]  在我們聖經故事裏
[00:00:51.000 --> 00:00:52.000]  大家很熟悉
[00:00:52.000 --> 00:00:54.000]  這個是誰?
[00:00:54.000 --> 00:00:56.000]  可以說出來的了
[00:00:56.000 --> 00:00:58.000]  你應該知道的
[00:00:58.000 --> 00:01:02.000]  摩西他是不平凡的人
[00:01:02.000 --> 00:01:04.000]  是埃及王子
[00:01:04.000 --> 00:01:08.000]  不過當他在四十年的抗議裏面
[00:01:08.000 --> 00:01:10.000]  是一個很普通的牧羊人
[00:01:10.000 --> 00:01:12.000]  甚至想隱藏自己
[00:01:12.000 --> 00:01:14.000]  但是在荊棘裏面
[00:01:14.000 --> 00:01:16.000]  燒着的荊棘上帝呼召他
[00:01:16.000 --> 00:01:20.000]  帶領以色列人離開埃及
[00:01:20.000 --> 00:01:22.000]  穿過紅海
[00:01:22.000 --> 00:01:24.000]  去到英去之地
[00:01:24.000 --> 00:01:26.000]  摩西一開始也不願意
[00:01:26.000 --> 00:01:28.000]  說自己笨口絕舌
[00:01:28.000 --> 00:01:30.000]  但是他領受了這個不可能的任命
[00:01:30.000 --> 00:01:34.000]  也改變了整個以色列的歷史
[00:01:34.000 --> 00:01:36.000]  另外一個人物也是大家很熟悉的
