
[00:00:00.000 --> 00:00:04.700]  在一些教會的傳統節日當中
[00:00:04.700 --> 00:00:09.680]  聖誕節前幾個禮拜是章林節的主日
[00:00:09.680 --> 00:00:16.620]  所以我們雖然不是特別像禮儀教會般慶祝
[00:00:16.620 --> 00:00:19.100]  但是我們都有這個紀念
[00:00:19.100 --> 00:00:21.140]  特別是進入十二月的時候
[00:00:21.140 --> 00:00:22.920]  我們彼此提醒
[00:00:22.920 --> 00:00:26.240]  預備我們的心去慶祝聖誕節
[00:00:26.240 --> 00:00:29.040]  主耶穌基督降生這個節日
[00:00:29.040 --> 00:00:31.620]  我們能夠更加預備好我們的心靈
[00:00:31.620 --> 00:00:36.960]  所以今天和大家先上「期待救主來臨」這個訊息
[00:00:36.960 --> 00:00:40.640]  下個禮拜亦有關乎章林節
[00:00:40.640 --> 00:00:42.960]  先上基督降世的意義
[00:00:42.960 --> 00:00:47.280]  直至到我們聖誕主日在第三個禮拜
[00:00:47.280 --> 00:00:55.760]  章林節有些禮儀教會會將一個蠟燭的燈台拿出來
[00:00:55.760 --> 00:01:00.160]  我記得很多年前和弟兄姊妹說過這件事很久了
[00:01:00.160 --> 00:01:05.140]  後來我們自己買了一個電的燭台
[00:01:05.140 --> 00:01:07.980]  雖然不是完全是這樣
[00:01:07.980 --> 00:01:09.980]  不過也有一點點意思
[00:01:09.980 --> 00:01:11.980]  當然我們沒有五個禮拜那麼多
[00:01:11.980 --> 00:01:13.980]  所以可能簡化一點
[00:01:13.980 --> 00:01:18.040]  這裡中間有一支白色的蠟燭
[00:01:18.040 --> 00:01:22.560]  是等到聖誕節的時候才點亮的
[00:01:22.560 --> 00:01:26.560]  其他那幾支就是之前那幾個禮拜一個禮拜點一支
[00:01:26.560 --> 00:01:28.560]  一個禮拜點一支
[00:01:28.560 --> 00:01:33.040]  所以這裡如果大家看到還有四支蠟燭
[00:01:33.040 --> 00:01:36.640]  圍繞一支白色的蠟燭在中間
[00:01:36.640 --> 00:01:42.700]  其實這個所謂章林節就是去預備我們的心
[00:01:42.700 --> 00:01:45.200]  讓耶穌基督降生
[00:01:45.200 --> 00:01:48.000]  在聖誕降生之前
[00:01:48.000 --> 00:01:50.840]  我們能夠思想祂的意義
[00:01:50.840 --> 00:01:54.820]  和預備好在這個期間去實踐出
[00:01:54.820 --> 00:01:59.920]  或者去紀念耶穌帶給我們何等大的祝福給世人
[00:01:59.920 --> 00:02:01.720]  祂的恩惠祂的影響
[00:02:01.720 --> 00:02:04.720]  叫我們繼續去延續
[00:02:04.720 --> 00:02:09.900]  所以今天和大家看看這幾支蠟燭的意義
[00:02:09.900 --> 00:02:13.240]  我相信我們以前也有
[00:02:13.240 --> 00:02:15.240]  可能很久以前提過
[00:02:15.240 --> 00:02:17.240]  不過隔了那麼久我們重溫一下
[00:02:17.240 --> 00:02:19.740]  大家記不記得那四支蠟燭是說什麼的
[00:02:19.740 --> 00:02:21.740]  有沒有人不知道
