
[00:00:00.000 --> 00:00:02.000]  丹瑩姊妹平安
[00:00:02.000 --> 00:00:06.000]  又可以在這裡跟大家分享神的說話
[00:00:06.000 --> 00:00:09.000]  或者我們首先低頭祈禱
[00:00:09.000 --> 00:00:12.000]  祈求上帝的幫助
[00:00:12.000 --> 00:00:17.000]  我們在天的父,求主祢親臨在我們中間幫助我們
[00:00:17.000 --> 00:00:21.000]  叫我們心思所想的都被祢祝福
[00:00:21.000 --> 00:00:24.000]  用我口中所說的言語,心裡的意念
[00:00:24.000 --> 00:00:27.000]  說出來的時候就成為祢的道
[00:00:27.000 --> 00:00:29.000]  去幫助丹瑩姊妹
[00:00:29.000 --> 00:00:33.000]  我們這樣禱告,加上是奉主耶穌明子祈求
[00:00:33.000 --> 00:00:40.000]  究竟基督徒是信什麼呢?
[00:00:40.000 --> 00:00:45.000]  我們每個星期都會念《信經》
[00:00:45.000 --> 00:00:47.000]  《信經》裡面有一句話說
[00:00:47.000 --> 00:00:51.000]  我信身體復活
[00:00:51.000 --> 00:00:56.000]  但其實大家如果誠實一點去問自己的話
[00:00:56.000 --> 00:01:01.000]  心裡是不是真的相信這句話呢?
[00:01:01.000 --> 00:01:10.000]  其實我懷疑很多基督徒不相信身體復活
[00:01:10.000 --> 00:01:14.000]  其實通常基督徒相信什麼呢?
[00:01:14.000 --> 00:01:20.000]  我懷疑一般的基督徒其實是相信另一樣的東西
[00:01:20.000 --> 00:01:26.000]  那樣東西叫做靈魂不滅,死後就上天堂
[00:01:26.000 --> 00:01:30.000]  因為很多時候我們以為基督教的盼望就是這樣
[00:01:30.000 --> 00:01:33.000]  人死了,身體就留在地上
[00:01:33.000 --> 00:01:36.000]  最後腐化了,什麼都沒有了
[00:01:36.000 --> 00:01:42.000]  而真正的我,那個靈魂就去到天堂
[00:01:42.000 --> 00:01:48.000]  離開這個會老、會痛、會壞的身體
[00:01:48.000 --> 00:01:53.000]  這套想法聽起來是不是很熟悉呢?
[00:01:53.000 --> 00:01:58.000]  我想不單止基督徒或者很多非基督徒都這樣想
[00:01:58.000 --> 00:02:01.000]  基督教其實是相信這些東西的
[00:02:01.000 --> 00:02:06.000]  你給我傳福音就叫我靈魂上天堂
[00:02:06.000 --> 00:02:13.000]  但是這個想法或者這套語言不是《聖經》的語言
[00:02:13.000 --> 00:02:16.000]  《聖經》不是這樣說的
[00:02:16.000 --> 00:02:20.000]  這個其實是一個希臘的思想
[00:02:20.000 --> 00:02:27.000]  遠自荷馬的史詩到後來柏拉圖很詳細的解釋
[00:02:27.000 --> 00:02:32.000]  身體是次等的,暫時的
[00:02:32.000 --> 00:02:35.000]  靈魂才是不老的、不滅的
[00:02:35.000 --> 00:02:41.000]  靈魂才值得去拯救
[00:02:41.000 --> 00:02:49.000]  所以其實,弟兄姊妹,這套將靈魂和身體徹底分開的想法
[00:02:49.000 --> 00:02:51.000]  不是從《聖經》而來的
[00:02:51.000 --> 00:02:57.000]  今天我們詩篇經課裡面,詩篇第十六篇,第十節是這麼說的
[00:02:57.000 --> 00:03:00.000]  大家可以打開再看一次
[00:03:00.000 --> 00:03:04.000]  因為你必不將我的靈魂撇在陰間
[00:03:04.000 --> 00:03:07.000]  也不叫你的聖者見扭壞
[00:03:07.000 --> 00:03:14.000]  我們讀靈魂的這個字,在希伯來文叫nevish
[00:03:14.000 --> 00:03:19.000]  我們很容易以為一個可以離開身體
[00:03:19.000 --> 00:03:23.000]  單獨存在的那個部分,我們叫做靈魂
[00:03:23.000 --> 00:03:28.000]  但在舊約裡面,nevish這個字,靈魂這個字
[00:03:28.000 --> 00:03:30.000]  不應該稱它為靈魂
[00:03:30.000 --> 00:03:35.000]  nevish這個字是指一個不會脫離肉身的東西
[00:03:35.000 --> 00:03:38.000]  它是和身體緊緊結合的東西
[00:03:38.000 --> 00:03:43.000]  甚至可能指整個活著的人
