
[00:00:00.000 --> 00:00:01.840]  這個屬靈歷史
[00:00:01.840 --> 00:00:04.240]  主要原因就是大家如果看聖經
[00:00:04.240 --> 00:00:04.920]  你說有歷史
[00:00:04.920 --> 00:00:06.160]  聖經也有寫
[00:00:06.160 --> 00:00:08.280]  一直以來舊約、新約
[00:00:08.280 --> 00:00:09.720]  我們也看過很多歷史
[00:00:09.720 --> 00:00:13.080]  但是如果你有留意心理清的
[00:00:13.080 --> 00:00:14.080]  你就會知道
[00:00:14.080 --> 00:00:16.000]  我們現在2017年
[00:00:16.000 --> 00:00:20.160]  自從聖經寫下了那些新約之後
[00:00:20.160 --> 00:00:22.440]  一直到現在差不多兩千年
[00:00:22.440 --> 00:00:27.880]  沒有任何的東西寫下過
[00:00:28.440 --> 00:00:31.840]  這段期間究竟我們所信的信仰
[00:00:31.840 --> 00:00:34.040]  有些什麼變化、什麼發展呢?
[00:00:34.040 --> 00:00:36.640]  這一段歷史是重要的
[00:00:36.640 --> 00:00:39.160]  如果我們沒有了這一段歷史
[00:00:39.160 --> 00:00:40.960]  只是看舊約、看新約
[00:00:40.960 --> 00:00:42.600]  新約跳到現在
[00:00:42.600 --> 00:00:46.520]  你就會有很多東西沒有一個立場
[00:00:46.520 --> 00:00:49.920]  沒有一個清晰的眼光去看得準確
[00:00:49.920 --> 00:00:52.040]  所以這段歷史是很重要的
[00:00:52.040 --> 00:00:54.320]  這段歷史兩千年是講不完的
[00:00:54.320 --> 00:00:56.440]  我今天也是挑戰自己
[00:00:56.440 --> 00:00:57.520]  我講一千五百年
[00:00:58.480 --> 00:00:59.760]  下一次就講五百年
[00:00:59.760 --> 00:01:04.520]  其實那個細節的東西不是太重要
[00:01:04.520 --> 00:01:08.280]  細節的東西一直發生什麼事情
[00:01:08.280 --> 00:01:10.720]  讓我們學到什麼功課
[00:01:10.720 --> 00:01:13.760]  這些歷史告訴我們什麼呢?
[00:01:13.760 --> 00:01:14.720]  那個是重要的
[00:01:14.720 --> 00:01:15.760]  行不行?
[00:01:15.760 --> 00:01:19.360]  所以如果你很有心要研究那些細節的歷史
[00:01:19.360 --> 00:01:21.160]  我講完金磡道之後
[00:01:21.160 --> 00:01:22.120]  你回去自己找
[00:01:22.120 --> 00:01:23.360]  回去自己找
