
[00:00:00.000 --> 00:00:03.000]  大家見到這個power point
[00:00:03.000 --> 00:00:06.000]  打了紅色的那一句
[00:00:06.000 --> 00:00:13.000]  還是你藐視他豐富的恩慈
[00:00:13.000 --> 00:00:15.000]  寬容忍耐
[00:00:15.000 --> 00:00:21.000]  不曉得他的恩慈是令你悔改嗎
[00:00:21.000 --> 00:00:25.000]  這節經文其實是這句
[00:00:25.000 --> 00:00:26.000]  就是今天的主題
[00:00:26.000 --> 00:00:28.000]  各位聽衆姐妹
[00:00:30.000 --> 00:00:31.000]  朱立平幹
[00:00:31.000 --> 00:00:34.000]  我在BC省來的
[00:00:34.000 --> 00:00:40.000]  BC省大運哥說市很大
[00:00:40.000 --> 00:00:43.000]  一個面積很大的市
[00:00:43.000 --> 00:00:45.000]  叫做素里市
[00:00:45.000 --> 00:00:49.000]  幾年前做了一件事
[00:00:49.000 --> 00:00:51.000]  在市中心
[00:00:51.000 --> 00:00:54.000]  將一些parking meters
[00:00:54.000 --> 00:01:00.000]  那些入咪錶的老虎機
[00:01:00.000 --> 00:01:01.000]  不是各式老虎機
[00:01:01.000 --> 00:01:04.000]  是老虎那種老虎機
[00:01:04.000 --> 00:01:06.000]  就是泊車入錶那種
[00:01:06.000 --> 00:01:12.000]  改裝成為叫做kindness meter
[00:01:12.000 --> 00:01:15.000]  就是善心捐款錶
[00:01:15.000 --> 00:01:19.000]  善心捐款錶
[00:01:19.000 --> 00:01:23.000]  鼓勵人們入錢
[00:01:23.000 --> 00:01:26.000]  然後通街也有
[00:01:26.000 --> 00:01:31.000]  將收到的善款
[00:01:31.000 --> 00:01:37.000]  數目畫成一個進度表
[00:01:37.000 --> 00:01:42.000]  收到多少善款
[00:01:42.000 --> 00:01:45.000]  有多少kindness在素里市
[00:01:45.000 --> 00:01:49.000]  這裡寫著Low Kindness Levels
[00:01:50.000 --> 00:01:53.000]  為甚麼呢
[00:01:53.000 --> 00:01:57.000]  第一怕入國企老虎機
[00:01:57.000 --> 00:01:59.000]  這些parking meters
[00:01:59.000 --> 00:02:02.000]  第二現在人們都用credit card
[00:02:02.000 --> 00:02:04.000]  用那些card
[00:02:04.000 --> 00:02:07.000]  很少coin去入
[00:02:07.000 --> 00:02:09.000]  第三
[00:02:09.000 --> 00:02:11.000]  其實這是一個很好的gimmick
[00:02:11.000 --> 00:02:13.000]  是一個噱頭
[00:02:13.000 --> 00:02:15.000]  收善款
[00:02:15.000 --> 00:02:18.000]  不過做了很久
[00:02:18.000 --> 00:02:21.000]  善款的進度
[00:02:21.000 --> 00:02:23.000]  即是善心的進度
[00:02:23.000 --> 00:02:25.000]  不夠高
[00:02:25.000 --> 00:02:27.000]  就算這些poster
[00:02:27.000 --> 00:02:29.000]  填不到多少
[00:02:29.000 --> 00:02:31.000]  我們的信心進度很低
[00:02:31.000 --> 00:02:33.000]  我們的kindness level
[00:02:33.000 --> 00:02:36.000]  我們善心的水準
[00:02:36.000 --> 00:02:37.000]  水平的level
[00:02:37.000 --> 00:02:39.000]  很低很低很低
[00:02:39.000 --> 00:02:41.000]  都是這麼低
[00:02:41.000 --> 00:02:46.000]  那你的善心程度有多少
[00:02:46.000 --> 00:02:50.000]  今天說到第五個性的果子
[00:02:50.000 --> 00:02:52.000]  直至今天為止
[00:02:52.000 --> 00:02:56.000]  那你就自我量度一下
[00:02:56.000 --> 00:02:59.000]  愛喜樂平安忍耐
