
[00:00:00.000 --> 00:00:03.600]  好,讓我們開始之前,我們先一起祈禱
[00:00:03.600 --> 00:00:07.040]  蔡主我們感謝,讚美你
[00:00:07.040 --> 00:00:10.920]  謝謝你,讓我們今天的晚上能夠在這裡
[00:00:10.920 --> 00:00:13.280]  去一同聽你的話語
[00:00:13.280 --> 00:00:17.920]  祈求月聖年在我們當中親自作供
[00:00:17.920 --> 00:00:22.400]  讓你的話語成為我們生命的力量和提醒
[00:00:22.400 --> 00:00:24.640]  願無論講的和聽的
[00:00:24.640 --> 00:00:28.320]  願我們都能夠在你的話語裏面得著力量
[00:00:28.320 --> 00:00:30.640]  並且在生活當中走出來
[00:00:30.640 --> 00:00:32.640]  願你與我們同在
[00:00:32.640 --> 00:00:37.040]  我們這樣禱告,是奉主祈耶穌基督得聖名字祈求
[00:00:37.040 --> 00:00:38.000]  阿們
[00:00:38.000 --> 00:00:40.640]  弟兄姊妹,明天是什麼節?
[00:00:40.640 --> 00:00:43.920]  父親節,對,爸爸節
[00:00:43.920 --> 00:00:49.520]  首先祝爸爸父親節快樂
[00:00:49.520 --> 00:00:53.520]  咦,暫時好像只有你這個爸爸
[00:00:53.520 --> 00:00:58.560]  哦,也有爸爸,對,祝你們父親節快樂
[00:00:58.560 --> 00:01:03.040]  說起快樂,不知道這兩位爸爸
[00:01:03.040 --> 00:01:06.800]  你們是怎樣將快樂流露出來的呢?
[00:01:06.800 --> 00:01:09.040]  又或者在座的弟兄姊妹
[00:01:09.040 --> 00:01:15.120]  你想一想,你爸爸是怎樣將他的快樂流露出來的呢?
[00:01:15.120 --> 00:01:17.600]  我這樣問是有原因的
[00:01:17.600 --> 00:01:20.080]  因為中國傳統的爸爸
[00:01:20.080 --> 00:01:25.040]  通常都以威嚴的形象去視人
[00:01:25.040 --> 00:01:28.640]  俗語有句說話就說
[00:01:28.640 --> 00:01:31.200]  「嚴父出孝子」
[00:01:31.200 --> 00:01:33.920]  這個說話反映了做爸爸的
[00:01:33.920 --> 00:01:38.160]  通常都會做督責兒女的角色
[00:01:38.160 --> 00:01:41.600]  而為了樹立這個嚴父的形象
[00:01:41.600 --> 00:01:45.920]  很多爸爸,特別是上一代的爸爸
