
[00:00:00.000 --> 00:00:04.200]  今日的主題想和大家思想到兩代的牧羊
[00:00:04.200 --> 00:00:06.500]  特別是教養兒女的題目
[00:00:06.500 --> 00:00:10.700]  教養孩子是聖經裏面講到一個很重要的使命
[00:00:10.700 --> 00:00:14.700]  但同樣如果真是經歷的人就知道是一個艱難的使命
[00:00:14.700 --> 00:00:16.700]  基督徒很喜歡這一句金句
[00:00:16.700 --> 00:00:18.300]  《針研二十二章》第六節
[00:00:18.300 --> 00:00:19.200]  我們一起讀吧
[00:00:19.200 --> 00:00:23.000]  教養孩童使他走當行之道
[00:00:23.000 --> 00:00:25.500]  就是道老他也不偏
[00:00:25.500 --> 00:00:28.000]  即是我們教他走到一個敬虔的路
[00:00:28.000 --> 00:00:29.300]  道老都不偏離
[00:00:29.300 --> 00:00:32.000]  但假如一個兒女他是偏離
[00:00:32.000 --> 00:00:33.900]  而不離開敬虔
[00:00:33.900 --> 00:00:37.700]  請講到智慧的子使父親歡樂
[00:00:37.700 --> 00:00:41.200]  但愚昧的子使母親擔憂
[00:00:41.200 --> 00:00:43.500]  使父親憂愁
[00:00:43.500 --> 00:00:45.200]  使母親憂苦
[00:00:45.200 --> 00:00:48.000]  他說到我們要管教孩子
[00:00:48.000 --> 00:00:52.300]  針研說放縱兒子會使母親的羞愧
[00:00:52.300 --> 00:00:55.500]  所以針研這一段寶貴的說話是十九章十八節
[00:00:55.500 --> 00:00:56.500]  一起讀吧
[00:00:56.500 --> 00:00:59.900]  「趁有子望管教你的兒子
[00:00:59.900 --> 00:01:02.300]  你的心不可任他死亡」
[00:01:02.300 --> 00:01:03.800]  當他正在走一條路
[00:01:03.800 --> 00:01:05.100]  免得離開了神
[00:01:05.100 --> 00:01:10.000]  或者是慢慢走一個很多軟弱邪惡的路的時候
[00:01:10.000 --> 00:01:11.900]  我們真的要管教他
[00:01:11.900 --> 00:01:15.500]  一個蒙科的家庭就是他能夠教好他的兒女
[00:01:15.500 --> 00:01:19.500]  有敬虔、有勤奮、有喜樂
[00:01:19.500 --> 00:01:21.600]  他們愛神、愛人、愛家庭
[00:01:21.600 --> 00:01:23.400]  這個真是蒙科家庭
[00:01:23.400 --> 00:01:26.100]  或窮或富都是一個蒙科的家庭
[00:01:26.100 --> 00:01:30.100]  因為蒙科的孩子有人引領他走敬虔的路
[00:01:30.100 --> 00:01:31.800]  有時是他的父母
[00:01:31.800 --> 00:01:35.000]  有些時候是他的一些長輩鄰居
[00:01:35.000 --> 00:01:37.500]  教會裏面很多的人回到教會
[00:01:37.500 --> 00:01:42.600]  因為他的叔叔、阿姨、阿嬸等等帶他回教會
[00:01:42.600 --> 00:01:44.300]  或者表姐、表哥
[00:01:44.300 --> 00:01:47.100]  他有機會進入這個敬虔的路
[00:01:47.100 --> 00:01:49.500]  所以說到不單止是家庭的蒙科
[00:01:49.500 --> 00:01:54.600]  如果一個家庭、社會、國家、教會
[00:01:54.600 --> 00:01:56.800]  如果他們沒有敬虔的下一代
[00:01:56.800 --> 00:02:00.100]  這個社會、國家、教會都沒有盼望
[00:02:00.100 --> 00:02:04.600]  所以最近香港教會界有一個大的調查
[00:02:04.600 --> 00:02:06.600]  講到香港一些不同的現象
[00:02:06.600 --> 00:02:09.100]  其中有兩個現象值得大家留意
[00:02:09.100 --> 00:02:14.400]  它的現象就講到現在很多教會
[00:02:14.400 --> 00:02:16.400]  年輕人的比例很少
[00:02:16.400 --> 00:02:20.100]  可能是青少年、積青的比例太少
[00:02:20.100 --> 00:02:21.400]  他們問這個問題
[00:02:21.400 --> 00:02:23.600]  好像我這個年紀或更大年紀
[00:02:23.600 --> 00:02:25.400]  我們這一代很多兄弟姐妹
[00:02:25.400 --> 00:02:27.400]  好像我自己七兄弟姐妹
[00:02:27.400 --> 00:02:31.200]  這一代很多教會人數佔多的人數
[00:02:31.200 --> 00:02:33.900]  所以現在這班一下子退休
[00:02:33.900 --> 00:02:35.200]  一下子離開的時候
[00:02:35.200 --> 00:02:38.700]  如果下一批的青少年或者年輕人太少的時候
[00:02:38.700 --> 00:02:41.400]  教會的承擔是一個很大的挑戰
[00:02:41.400 --> 00:02:45.200]  和這個題目相關的一個調查裏面講的就是
[00:02:45.200 --> 00:02:47.000]  現在五十幾到六十幾的時候
[00:02:47.000 --> 00:02:51.200]  是承擔教會經濟的和侍奉的支柱
[00:02:51.200 --> 00:02:53.700]  到這一批人進入退休期的時候
[00:02:53.700 --> 00:02:56.400]  教會的演變都很急連
[00:02:56.400 --> 00:02:58.600]  所以這個可能是整個香港大的題目
[00:02:58.600 --> 00:03:02.900]  就是怎樣栽培他們年輕人承擔成長
[00:03:02.900 --> 00:03:05.500]  他們又能夠承擔各樣的事情
[00:03:05.500 --> 00:03:07.800]  其實這個年代講到教養孩童
