
[00:00:00.000 --> 00:00:02.000]  今日我們思想的
[00:00:02.000 --> 00:00:07.000]  是《河西亞書》第十章的這段說話
[00:00:07.000 --> 00:00:11.000]  大家對河西亞這位先知
[00:00:11.000 --> 00:00:15.000]  相信已經在以前的講道已經聽過了
[00:00:15.000 --> 00:00:20.000]  侍奉神有時候是真的很艱難的
[00:00:20.000 --> 00:00:25.000]  或者可以說是時時都有艱難的挑戰
[00:00:26.000 --> 00:00:30.000]  神第一次對河西亞講說話
[00:00:30.000 --> 00:00:33.000]  就是說你去結婚吧
[00:00:33.000 --> 00:00:36.000]  不過我要你選擇的女孩
[00:00:36.000 --> 00:00:41.000]  將來是會背叛你的
[00:00:41.000 --> 00:00:45.000]  是對你不忠的一個女孩
[00:00:45.000 --> 00:00:49.000]  我想天下沒有任何的父母
[00:00:49.000 --> 00:00:51.000]  會對自己的兒子說
[00:00:51.000 --> 00:00:56.000]  去選擇一個人做你太太將來是對你不忠的
[00:00:56.000 --> 00:01:00.000]  在和學本的譯本就更加露骨了
[00:01:00.000 --> 00:01:04.000]  在我們的經文那裡是打出來的
[00:01:04.000 --> 00:01:10.000]  就是今天第十章沒有打出來
[00:01:10.000 --> 00:01:13.000]  但是在河西亞第十章講到
[00:01:13.000 --> 00:01:18.000]  神是初次向河西亞說話的時候
[00:01:18.000 --> 00:01:22.000]  就是你去娶一個妓女為妻
[00:01:22.000 --> 00:01:27.000]  然後告訴她這個女人會對你不忠
[00:01:27.000 --> 00:01:29.000]  而你的子女
[00:01:29.000 --> 00:01:35.000]  你所生的子女也都會對你是不忠的
[00:01:35.000 --> 00:01:38.000]  都會背叛你的
[00:01:38.000 --> 00:01:42.000]  神是藉著河西亞的婚姻
[00:01:42.000 --> 00:01:46.000]  來做一個教材
[00:01:46.000 --> 00:01:54.000]  來叫當時的以色列看到神對他們的愛
[00:01:54.000 --> 00:01:56.000]  有一篇文章叫做
[00:01:56.000 --> 00:02:02.000]  神說他的婚姻也都不幸福
[00:02:02.000 --> 00:02:05.000]  是神的婚姻是不幸福
[00:02:05.000 --> 00:02:07.000]  是一位元大同牧師
[00:02:07.000 --> 00:02:10.000]  一個聖加達羅省的基督教會裡面
[00:02:10.000 --> 00:02:15.000]  元大同牧師發表了這篇文章
[00:02:15.000 --> 00:02:17.000]  我是個牧師
[00:02:17.000 --> 00:02:21.000]  我的太太有嚴重的抑鬱症
[00:02:21.000 --> 00:02:23.000]  她的身體也都太弱了
[00:02:23.000 --> 00:02:29.000]  所以家裡一切的家務都是我一手包辦的
[00:02:29.000 --> 00:02:32.000]  我實在做得很辛苦
[00:02:32.000 --> 00:02:35.000]  有一天我就去質問上帝
[00:02:35.000 --> 00:02:37.000]  我說上帝啊
[00:02:37.000 --> 00:02:40.000]  我為什麼有這樣的婚姻呢
[00:02:40.000 --> 00:02:44.000]  為什麼我做牧師又要在家裡做家傭
[00:02:44.000 --> 00:02:47.000]  又這麼辛苦呢
[00:02:47.000 --> 00:02:50.000]  神就突然對我說
[00:02:50.000 --> 00:02:52.000]  我的婚姻都不幸福
[00:02:52.000 --> 00:02:53.000]  我就嚇了一跳
[00:02:53.000 --> 00:02:57.000]  以為自己是聽錯了
[00:02:57.000 --> 00:02:59.000]  神就告訴我
[00:02:59.000 --> 00:03:03.000]  如果婚姻意味到一定幸福的話
[00:03:03.000 --> 00:03:05.000]  我一定會在聖經裡面
[00:03:05.000 --> 00:03:08.000]  向你們彰顯一個很幸福的榜樣
[00:03:08.000 --> 00:03:11.000]  但是你看到我自己的婚姻
[00:03:11.000 --> 00:03:16.000]  由開始到現在都是充滿衝突的
[00:03:16.000 --> 00:03:18.000]  我的妻子以色列百姓
[00:03:18.000 --> 00:03:22.000]  一次又一次的來頂撞我
[00:03:22.000 --> 00:03:23.000]  背叛我
[00:03:23.000 --> 00:03:27.000]  最後竟然將我的兒子釘在十字架上
[00:03:27.000 --> 00:03:30.000]  雖然沒有幸福可言
[00:03:30.000 --> 00:03:34.000]  但是我仍然是愛以色列
[00:03:34.000 --> 00:03:36.000]  我仍然愛猶太人
[00:03:36.000 --> 00:03:41.000]  因為這是我給他的應許
[00:03:41.000 --> 00:03:45.000]  我當時就茅塞頓開了
[00:03:45.000 --> 00:03:47.000]  心裡面就得到
[00:03:47.000 --> 00:03:49.000]  以前從未得到的
[00:03:49.000 --> 00:03:51.000]  在這方面的這種安慰
[00:03:51.000 --> 00:03:54.000]  我的眼淚就流下來了
[00:03:54.000 --> 00:03:57.000]  我就跟著問神
[00:03:57.000 --> 00:04:01.000]  不過太太不跟我說話
[00:04:01.000 --> 00:04:08.000]  她不理睬我,我有什麼方法來跟她溝通呢?
[00:04:08.000 --> 00:04:13.000]  我怎樣可以令我太太明白我的心意呢?
[00:04:13.000 --> 00:04:15.000]  神說
[00:04:15.000 --> 00:04:17.000]  你記不記得新約說
[00:04:17.000 --> 00:04:19.000]  我向你們吹笛
[00:04:19.000 --> 00:04:20.000]  你們不跳舞
[00:04:20.000 --> 00:04:22.000]  向你們舉哀
[00:04:22.000 --> 00:04:24.000]  你們不在這裡釘心口
[00:04:24.000 --> 00:04:28.000]  你們是不跟著耶穌的教導
[00:04:28.000 --> 00:04:31.000]  不玩同一樣的遊戲
[00:04:31.000 --> 00:04:32.000]  神說
[00:04:32.000 --> 00:04:35.000]  沒有人比我更會溝通了
[00:04:35.000 --> 00:04:38.000]  但是我的妻子以色列
[00:04:38.000 --> 00:04:41.000]  時時都不知道我說什麼
[00:04:41.000 --> 00:04:45.000]  甚至根本不聽我說什麼
[00:04:45.000 --> 00:04:46.000]  我對神說
[00:04:46.000 --> 00:04:51.000]  神啊,我太太性情真的很固執
[00:04:51.000 --> 00:04:56.000]  有時候真的氣得我好幾天都不想理她
[00:04:56.000 --> 00:04:59.000]  不想跟她說話
[00:04:59.000 --> 00:05:00.000]  但是不理她
[00:05:00.000 --> 00:05:03.000]  我就感到好有內疚感
[00:05:03.000 --> 00:05:06.000]  好有罪惡感
[00:05:06.000 --> 00:05:07.000]  神說
