
[00:00:00.000 --> 00:00:05.640]  約伯的第三章,讓我們看到約伯也是一個人
[00:00:05.640 --> 00:00:08.680]  約伯有他自己內心的那種感受
[00:00:08.680 --> 00:00:15.240]  到了第三章,我們看到他居然將那種感受完全爆發
[00:00:15.240 --> 00:00:17.080]  今天當我們去到第三章的時候
[00:00:17.080 --> 00:00:19.600]  我仍然沿用兩部分來看
[00:00:19.600 --> 00:00:22.160]  第一部分我們會強調在《釋經》裏面
[00:00:22.160 --> 00:00:26.320]  第二部分就是按照我們《釋經》所帶出的一些功課
[00:00:26.320 --> 00:00:27.840]  縱然大家會心裏想
[00:00:27.840 --> 00:00:30.280]  第三章都不應該放在《聖經》裏面
[00:00:30.280 --> 00:00:33.720]  怎可能對我們的生命有甚麼提醒
[00:00:33.720 --> 00:00:36.480]  甚至對上帝有甚麼認識
[00:00:36.480 --> 00:00:38.040]  我嘗試在《釋經》之後
[00:00:38.040 --> 00:00:43.400]  跟大家分享我自己在《釋經》過程當中的一些感受
[00:00:43.400 --> 00:00:46.160]  成為了我們生命學習的功課
[00:00:46.160 --> 00:00:47.680]  今天早上第一堂崇拜那邊
[00:00:47.680 --> 00:00:50.120]  我們都看到上帝給我們有恩典
[00:00:50.120 --> 00:00:52.640]  有四位新朋友都是信了耶穌
[00:00:52.640 --> 00:00:55.120]  我們要感謝神,讓上帝得著榮耀
[00:00:55.120 --> 00:00:57.920]  我們很希望今天當中如果有未信耶穌的朋友
[00:00:57.920 --> 00:01:00.200]  或許今天都是一個機會
[00:01:00.200 --> 00:01:03.720]  讓你對我們的上帝有更深的認識
[00:01:03.720 --> 00:01:05.800]  當我們去到《釋經》之前
[00:01:05.800 --> 00:01:08.680]  我們必須要先明白有兩件事
[00:01:08.680 --> 00:01:12.560]  這兩件事可以說是解決《約伯記》
[00:01:12.560 --> 00:01:15.000]  打後一段幾十章《聖經》裏面
[00:01:15.000 --> 00:01:17.040]  兩個很重要的基礎
[00:01:17.040 --> 00:01:20.520]  第一就是如果我們看回原文的《聖經》
[00:01:20.520 --> 00:01:23.080]  《約伯記》的第一章和第二章
[00:01:23.080 --> 00:01:26.120]  和第四十二章第七節之後
[00:01:26.120 --> 00:01:29.040]  其實它的文體所謂的題材
[00:01:29.040 --> 00:01:31.040]  是屬於散文的題材
[00:01:31.040 --> 00:01:34.160]  或者是屬於敘述性的一些題材
[00:01:34.160 --> 00:01:36.880]  是一些敘述文來的,是講一些故事出來
[00:01:36.880 --> 00:01:40.240]  所以第一章第二章和第四十二章第七節打後
[00:01:40.240 --> 00:01:43.360]  是一些敘述文,是一些散文的形式
[00:01:43.360 --> 00:01:47.080]  但是去到第三章一直到第四十二章的第六節
[00:01:47.080 --> 00:01:49.400]  其實內容的文體
[00:01:49.400 --> 00:01:53.360]  《約伯記》的文體的題材是屬於詩歌書
[00:01:53.360 --> 00:01:55.880]  所以其實是詩來的
[00:01:55.880 --> 00:01:57.160]  換句話說
[00:01:57.160 --> 00:02:00.080]  《約伯記》為什麼在《聖經》當中
[00:02:00.080 --> 00:02:04.360]  它居然是和詩篇和箏言的放在一起
[00:02:04.360 --> 00:02:06.320]  就是因為這個是詩歌
[00:02:06.320 --> 00:02:08.120]  以致到今天我不是詩人
[00:02:08.120 --> 00:02:09.720]  如果今天李牧師講道
