
[00:00:00.000 --> 00:00:01.400]  讓我們打開神的話語
[00:00:01.400 --> 00:00:04.800]  再一次同心低頭來禱告
[00:00:04.800 --> 00:00:05.800]  慈悲仁愛的天父
[00:00:05.800 --> 00:00:07.600]  我們多謝祢
[00:00:07.600 --> 00:00:11.600]  多謝祢沒有按照我們的本相來待我們
[00:00:11.600 --> 00:00:15.800]  多謝祢常常用口恩來奉庇我們
[00:00:15.800 --> 00:00:18.000]  多謝主永遠愛我們的緣故
[00:00:18.000 --> 00:00:20.600]  祢留下祢自己寶貴的話語
[00:00:20.600 --> 00:00:22.400]  讓我們今天屬祢的兒女
[00:00:22.400 --> 00:00:25.200]  可以很自由地打開來研讀
[00:00:25.200 --> 00:00:26.600]  還有幫助我們
[00:00:26.600 --> 00:00:28.800]  幫助我們打開自己的話語的時候
[00:00:28.800 --> 00:00:31.000]  讓他們有一個謙卑受教的心
[00:00:31.000 --> 00:00:33.800]  讓真理的聖靈成為我們的老師
[00:00:33.800 --> 00:00:36.600]  帶領我們進入到神理的話語當中
[00:00:36.600 --> 00:00:38.600]  讓講的、讓聽的
[00:00:38.600 --> 00:00:40.200]  同樣在你的話語裡面
[00:00:40.200 --> 00:00:42.800]  被你所教導、被你所提醒
[00:00:42.800 --> 00:00:44.200]  祝福我們以下的時間
[00:00:44.200 --> 00:00:45.400]  聽我們的禱告
[00:00:45.400 --> 00:00:47.400]  奉耶穌基督你的聖名
[00:00:47.400 --> 00:00:48.600]  阿們
[00:00:48.600 --> 00:00:50.000]  今天是年初一
[00:00:50.000 --> 00:00:52.200]  很想再一次祝福大家
[00:00:52.200 --> 00:00:53.400]  新春蒙福
[00:00:53.400 --> 00:00:55.400]  主恩常在
[00:00:55.400 --> 00:00:56.800]  我想問一下弟兄姊妹
[00:00:56.800 --> 00:00:59.600]  當你面對接下來有幾天的假期之前
[00:00:59.600 --> 00:01:02.600]  你忙不忙啊?
[00:01:02.600 --> 00:01:04.800]  個個都不忙的啊?
[00:01:04.800 --> 00:01:06.800]  忙不忙啊?
[00:01:06.800 --> 00:01:09.800]  哇 師伯很齊聲的說忙
[00:01:09.800 --> 00:01:12.600]  我相信忙就好像我們
[00:01:12.600 --> 00:01:14.200]  中國人裡面或者我們
[00:01:14.200 --> 00:01:16.400]  香港人或者現代人裡面
[00:01:16.400 --> 00:01:20.400]  常常放在我們的口裡面說忙
[00:01:20.400 --> 00:01:23.800]  收到一個Facebook裡面有一位的姐妹
[00:01:23.800 --> 00:01:25.000]  她說過年的時候
[00:01:25.000 --> 00:01:27.000]  她媽媽預備了蒸糕
[00:01:27.000 --> 00:01:29.000]  但是突然間家裡的
[00:01:29.000 --> 00:01:31.000]  抽油煙機壞了
[00:01:31.000 --> 00:01:33.200]  但是媽媽仍然要蒸糕
[00:01:33.200 --> 00:01:36.400]  結果整間屋子就像蒸籠一樣
[00:01:36.400 --> 00:01:38.800]  忙於預備很多的禮物
[00:01:38.800 --> 00:01:40.200]  忙於我們自己
[00:01:40.200 --> 00:01:42.200]  於預備接待很多的親戚朋友
[00:01:42.200 --> 00:01:43.200]  甚至
[00:01:43.200 --> 00:01:45.800]  媽媽蒸了的糕是送給子女的
[00:01:45.800 --> 00:01:47.200]  享用
[00:01:47.200 --> 00:01:48.200]  忙
[00:01:48.200 --> 00:01:50.000]  我相信好像成為我們
[00:01:50.000 --> 00:01:51.600]  現代人裡面一個的
[00:01:51.600 --> 00:01:55.000]  生活 生命裡面一個的結連
[00:01:55.000 --> 00:01:57.200]  平日我們上班 忙上班
[00:01:57.200 --> 00:01:58.600]  忙上學 忙進修
[00:01:58.600 --> 00:02:00.200]  忙這個 忙那個
[00:02:00.200 --> 00:02:01.800]  就算有假期的時候
[00:02:01.800 --> 00:02:03.200]  我相信假期的來臨
[00:02:03.200 --> 00:02:04.400]  大家都非常的忙
[00:02:04.400 --> 00:02:06.000]  因為我們要約見誰
[00:02:06.000 --> 00:02:07.200]  我們去哪裡旅行
[00:02:07.200 --> 00:02:09.400]  哇 很多事情都很忙
[00:02:09.400 --> 00:02:10.600]  忙 忙 忙
[00:02:10.600 --> 00:02:12.400]  就成為人生裡面
[00:02:12.400 --> 00:02:13.200]  一個好像
[00:02:13.200 --> 00:02:15.800]  脫不開一個的結連
[00:02:15.800 --> 00:02:17.200]  如果今天你告訴別人
[00:02:17.200 --> 00:02:19.200]  你不忙的時候
[00:02:19.200 --> 00:02:20.400]  好像彷彿
[00:02:20.400 --> 00:02:22.000]  沒有了自己的價值
[00:02:22.000 --> 00:02:24.000]  好像人生沒有了意義
[00:02:24.000 --> 00:02:28.800]  好像自己落在一個沒用的境況
[00:02:28.800 --> 00:02:31.000]  但是詩歌裡面有一首的詩歌
[00:02:31.000 --> 00:02:32.600]  歌詞裡面就說
[00:02:32.600 --> 00:02:33.800]  人活著
[00:02:33.800 --> 00:02:37.800]  原是要歌頌讚揚創造我們的主
[00:02:37.800 --> 00:02:39.000]  他說人活著
[00:02:39.000 --> 00:02:42.600]  原是要將榮耀歸還給你
[00:02:42.600 --> 00:02:43.800]  究竟今天
[00:02:43.800 --> 00:02:46.000]  人活在地上的時候
[00:02:46.000 --> 00:02:49.800]  人生的優次究竟是怎麼樣呢?
[00:02:49.800 --> 00:02:51.000]  當我們看回
[00:02:51.000 --> 00:02:53.000]  神帶領這群以色列人
[00:02:53.000 --> 00:02:54.800]  從一個圍爐的地方
[00:02:54.800 --> 00:02:56.400]  離開這個埃及地方
[00:02:56.400 --> 00:02:57.200]  經過紅海
[00:02:57.200 --> 00:03:00.000]  經過曠野四十年
[00:03:00.000 --> 00:03:02.600]  神帶領他們平安的
[00:03:02.600 --> 00:03:05.600]  憑信心的渡過約旦河
[00:03:05.600 --> 00:03:06.400]  今天
[00:03:06.400 --> 00:03:09.200]  他們就來到約旦河的西岸
[00:03:09.200 --> 00:03:11.800]  迦南地的土地上面
[00:03:11.800 --> 00:03:15.200]  就在這個耶利哥的平原上面
[00:03:15.200 --> 00:03:16.400]  當我們看回
[00:03:16.400 --> 00:03:19.800]  約書記第五章第一節的時候
[00:03:19.800 --> 00:03:21.600]  裡面很清楚說到
[00:03:21.600 --> 00:03:24.000]  當這群在迦南裡面的人
[00:03:24.000 --> 00:03:26.800]  他見到這群以色列人浩浩蕩蕩
[00:03:26.800 --> 00:03:28.200]  進入到這個迦南地
[00:03:28.200 --> 00:03:30.200]  過了約旦河的時候
[00:03:30.200 --> 00:03:32.000]  聖經裡面怎麼描述呢?
[00:03:32.000 --> 00:03:33.400]  聖經描述他們的心
[00:03:33.400 --> 00:03:35.000]  因為以色列人的緣故
[00:03:35.000 --> 00:03:36.400]  就消化了
[00:03:36.400 --> 00:03:38.800]  不再有膽氣
[00:03:38.800 --> 00:03:41.800]  原本迦南是一個強大威猛的
[00:03:41.800 --> 00:03:44.200]  叫做城牆堅固的一個族類
[00:03:44.200 --> 00:03:47.200]  但是他見到神就這樣叫這群以色列人
[00:03:47.200 --> 00:03:50.600]  能夠很平安的很順利的渡過約旦河
[00:03:50.600 --> 00:03:53.200]  他們連和他們打仗的心
[00:03:53.200 --> 00:03:54.800]  都消化了
[00:03:54.800 --> 00:03:57.200]  不敢和他們打仗
[00:03:57.200 --> 00:04:00.600]  更加看回約書記第六章第一節的時候
[00:04:00.600 --> 00:04:04.600]  耶利哥裡面的人竟然將高大的城牆關起來
[00:04:04.600 --> 00:04:09.000]  沒有人能夠出和進
[00:04:09.000 --> 00:04:11.400]  等於說如果你是以色列人
[00:04:11.400 --> 00:04:13.400]  如果你是約書亞
[00:04:13.400 --> 00:04:15.200]  你會怎麼做呢?
[00:04:15.200 --> 00:04:17.600]  我相信你必定乘著這個氣勢
[00:04:17.600 --> 00:04:21.000]  一舉而入打敗耶利哥
[00:04:21.000 --> 00:04:25.200]  進入到神為他們預備這個流奶與蜜之地
[00:04:25.200 --> 00:04:26.800]  但是當我們細讀
[00:04:26.800 --> 00:04:29.600]  約書記第五章的經文的時候
[00:04:29.600 --> 00:04:32.800]  神的心意並不是這樣
[00:04:32.800 --> 00:04:37.200]  神的心意就叫他們停留在耶利哥的平原上面
[00:04:37.200 --> 00:04:38.800]  神要他們停一停
[00:04:38.800 --> 00:04:40.600]  神要他們想清楚
[00:04:40.600 --> 00:04:42.600]  神要他們再向前看看
[00:04:42.600 --> 00:04:46.000]  究竟神要帶他們走一條什麼路
[00:04:46.000 --> 00:04:48.400]  神要教導這些以色列人
[00:04:48.400 --> 00:04:51.000]  人生的優遲
[00:04:51.000 --> 00:04:53.600]  神要教導他們第一件事是什麼呢?
[00:04:53.600 --> 00:04:56.000]  神要他們能夠重新認定
[00:04:56.000 --> 00:04:58.200]  他們是神的兒女
[00:04:58.200 --> 00:05:01.200]  在短短第二節到第九節的經文裡面
[00:05:01.200 --> 00:05:04.800]  有八次提及到割禮
[00:05:04.800 --> 00:05:07.600]  為什麼神要這些以色列的百姓
[00:05:07.600 --> 00:05:12.800]  在耶利哥的平原裡面去施行割禮呢?
