
[00:00:00.000 --> 00:00:02.000]  今日的講題叫做「估你唔到」
[00:00:02.000 --> 00:00:03.640]  剛才大家聽到了
[00:00:03.640 --> 00:00:06.320]  其實已經是羅馬書第十一章
[00:00:06.320 --> 00:00:07.600]  最後的部份
[00:00:07.600 --> 00:00:09.360]  二十五到三十六節
[00:00:09.360 --> 00:00:11.560]  我們如果要明白這個部份
[00:00:11.560 --> 00:00:14.120]  其實這個部份是在整個羅馬書
[00:00:14.120 --> 00:00:16.760]  一到十一章這個大段落裏面最後的
[00:00:16.760 --> 00:00:19.160]  所以你要明白整個大段落
[00:00:19.160 --> 00:00:20.920]  和特別最後這個部份的時候
[00:00:20.920 --> 00:00:23.240]  你一定要溫習這個段落的開始
[00:00:23.240 --> 00:00:25.160]  就是整個羅馬書的約節
[00:00:25.160 --> 00:00:27.080]  一章十六和十七節
[00:00:27.080 --> 00:00:29.760]  記不記得一章十六節怎麼背?
[00:00:29.760 --> 00:00:32.000]  你已經背了,只是你忘記了
[00:00:32.000 --> 00:00:34.560]  你剛剛也背過了,只是你忘記了
[00:00:34.560 --> 00:00:37.360]  「我不以福音為恥」
[00:00:37.360 --> 00:00:39.920]  「這福音本是神的大能」
[00:00:39.920 --> 00:00:41.400]  然後「要搞一切相信的」
[00:00:41.400 --> 00:00:45.960]  「先是猶太人,後是希臘人或希尼尼人」
[00:00:45.960 --> 00:00:48.960]  我們要明白這個經文的時候
[00:00:48.960 --> 00:00:51.400]  不僅要讀十六節,還要讀十七節
[00:00:51.400 --> 00:00:53.960]  這一節是今天要背的金句
[00:00:53.960 --> 00:00:56.560]  跳完讚美操刀還要背聖經
[00:00:56.560 --> 00:01:00.400]  請我們一起先讀一讀這一節的金句,預備起
[00:01:00.400 --> 00:01:05.040]  「因為神的義正在這福音上顯明出來」
[00:01:05.040 --> 00:01:08.560]  「這義是本於信,以至於信」
[00:01:08.560 --> 00:01:12.800]  「如經上所記,二人必因信得心」
[00:01:12.800 --> 00:01:15.120]  你要明白整個大段落講什麼的時候
[00:01:15.120 --> 00:01:16.920]  你一定要回到這裡一開始
[00:01:16.920 --> 00:01:20.440]  可以整個約節引子
[00:01:20.440 --> 00:01:22.440]  規限了這段經文是怎麼解釋的
[00:01:22.440 --> 00:01:23.600]  這裡在講什麼呢?
[00:01:23.600 --> 00:01:25.400]  它在講神的義
[00:01:25.400 --> 00:01:28.760]  你看到「神的義」這個「義」字出現了三次
[00:01:28.760 --> 00:01:29.960]  什麼叫「神的義」呢?
[00:01:29.960 --> 00:01:31.080]  溫習起來就很簡單
[00:01:31.080 --> 00:01:34.200]  原來我們今天每一個人在神面前都是罪人
[00:01:34.200 --> 00:01:36.960]  待會我們看到都是不順服的人
[00:01:36.960 --> 00:01:40.040]  我們本身就應該要受我們的刑罰
[00:01:40.040 --> 00:01:41.960]  不過,因順清義
[00:01:41.960 --> 00:01:44.200]  因為耶穌基督在十字架的福音
[00:01:44.200 --> 00:01:46.280]  叫我們可以在神面前
[00:01:46.280 --> 00:01:49.600]  無條件的伯伯、神宣告我們無罪
[00:01:49.600 --> 00:01:52.200]  因為耶穌基督擔當了我們一切的罪
[00:01:52.200 --> 00:01:54.040]  所以面對著神的義
[00:01:54.040 --> 00:01:55.640]  人要回應
[00:01:55.640 --> 00:01:56.560]  怎麼回應呢?
[00:01:56.560 --> 00:01:58.080]  同樣一個字出現了三次
[00:01:58.080 --> 00:01:59.200]  那個是什麼字呢?
[00:01:59.200 --> 00:02:00.520]  「信」,我們要信
[00:02:00.520 --> 00:02:02.600]  「而人必因信得心」
[00:02:02.600 --> 00:02:03.880]  你怎麼能夠得心呢?
[00:02:03.880 --> 00:02:05.040]  它上面說
[00:02:05.040 --> 00:02:06.920]  「本於信,以至於信」
[00:02:06.920 --> 00:02:08.800]  這兩節是很重要的經文
[00:02:08.800 --> 00:02:09.840]  今天時間不夠
[00:02:09.840 --> 00:02:12.520]  我沒時間跟大家背下去
[00:02:12.520 --> 00:02:15.480]  但我邀請你回去背下去,好不好?
[00:02:15.480 --> 00:02:17.400]  有些沒有樂透
[00:02:17.400 --> 00:02:18.840]  你鼓勵一下你旁邊的人
[00:02:18.840 --> 00:02:21.280]  回去盡量背下去,好不好?
[00:02:21.280 --> 00:02:23.240]  很重要,OK
[00:02:23.240 --> 00:02:24.600]  無論如何
[00:02:24.600 --> 00:02:27.200]  我為了讓你待會更加明白
[00:02:27.200 --> 00:02:28.600]  這節經文的原因
[00:02:28.600 --> 00:02:30.760]  我現在想先做一點東西
[00:02:30.760 --> 00:02:32.920]  待會我會做一些動作
[00:02:32.920 --> 00:02:34.640]  你跟著我做就可以了
[00:02:34.640 --> 00:02:37.640]  我都會按照你的位置、空間去做
[00:02:37.640 --> 00:02:40.080]  做動作的時候只有一個原則
[00:02:40.080 --> 00:02:43.680]  就是我舉起左手,你就舉起右手
[00:02:43.680 --> 00:02:45.480]  OK,就好像一塊鏡一樣
[00:02:45.480 --> 00:02:47.680]  反過來我舉起右手,你怎麼辦?
[00:02:47.680 --> 00:02:48.680]  舉起左手,好嗎?
[00:02:48.680 --> 00:02:50.360]  OK,就是這樣做
[00:02:50.360 --> 00:02:53.280]  那麼,準備了
[00:02:53.280 --> 00:03:02.240]  其實剛才那些動作
[00:03:02.240 --> 00:03:04.560]  裡面有一個很完整的意思
[00:03:04.560 --> 00:03:07.400]  誰知道那些意思是什麼?
[00:03:07.400 --> 00:03:08.760]  應該有人會知道的
[00:03:08.760 --> 00:03:10.480]  我看到有幾隻手
[00:03:10.480 --> 00:03:11.880]  大部分人不知道
[00:03:11.880 --> 00:03:13.920]  不知道不要緊,你跟著做就可以了
[00:03:13.920 --> 00:03:15.880]  為什麼呢?待會會解釋給你聽
[00:03:15.880 --> 00:03:16.880]  不過無論如何
[00:03:16.880 --> 00:03:18.080]  其實剛才我看你做的時候
[00:03:18.080 --> 00:03:19.160]  我覺得很感動
[00:03:19.160 --> 00:03:21.120]  因為同福堂的弟兄姊妹真的很乖
[00:03:21.120 --> 00:03:23.480]  叫他做什麼就做什麼
[00:03:23.480 --> 00:03:25.280]  你跟我爭一下,你旁邊那個
[00:03:25.280 --> 00:03:27.400]  你真的很乖,這樣說
[00:03:27.400 --> 00:03:32.680]  想不到第一個重點
[00:03:32.680 --> 00:03:33.760]  我們一起先讀一讀
[00:03:33.760 --> 00:03:34.800]  預備起
[00:03:34.800 --> 00:03:38.880]  藉信心認知神的救贖計劃
[00:03:38.880 --> 00:03:40.800]  其實在整個羅馬書的討論裡面
[00:03:40.800 --> 00:03:43.400]  神的救恩就是一個恩信稱義的救恩
[00:03:43.400 --> 00:03:45.360]  但是很多事情是不明白的
[00:03:45.360 --> 00:03:47.760]  對以色列人有不明白的地方
[00:03:47.760 --> 00:03:50.400]  外邦人也有外邦人不明白的地方
[00:03:50.400 --> 00:03:53.880]  不過第一個頭兩三節經文就是告訴我們
[00:03:53.880 --> 00:03:56.720]  原來我們要藉著信心去認知
[00:03:56.720 --> 00:04:00.560]  去確定神的救恩有他的心意在背後
