
[00:00:00.000 --> 00:00:05.480]  各位吾安 主來平安 願上主的恩典常與眾人同在
[00:00:05.480 --> 00:00:07.480]  我們先同心的禱告
[00:00:07.480 --> 00:00:12.600]  親愛的恩主 感謝祢赤下寶貴的救恩
[00:00:12.600 --> 00:00:15.000]  讓我們經歷在上帝您的恩情
[00:00:15.000 --> 00:00:17.800]  感謝祢赤下寶貴的話語
[00:00:17.800 --> 00:00:21.000]  赤下寶貴的聖靈 引導我們進入真理
[00:00:21.000 --> 00:00:24.200]  願主祢的靈在我們當中的臨在
[00:00:24.200 --> 00:00:26.800]  以致無論講的聽的和蒙福
[00:00:26.800 --> 00:00:28.200]  聽我們的禱告
[00:00:28.200 --> 00:00:31.600]  同教我的救主 耶穌基督 寶貴的聖名去救
[00:00:31.600 --> 00:00:32.600]  阿們
[00:00:32.600 --> 00:00:36.600]  問問大家要怎樣界定什麼叫勇敢
[00:00:36.600 --> 00:00:40.200]  真正的勇敢其實不是不害怕
[00:00:40.200 --> 00:00:42.600]  而是可能雖然真的很害怕
[00:00:42.600 --> 00:00:46.600]  知道要成就的事是重要 是有價值的
[00:00:46.600 --> 00:00:50.000]  願意去跨過我們的恐懼 咬實牙筋
[00:00:50.000 --> 00:00:51.600]  我們放膽擺上去
[00:00:51.600 --> 00:00:55.400]  在四川大地震的時候
[00:00:55.400 --> 00:01:01.400]  一位母親用她的身體去保護著懷中幾個越大的嬰孩
[00:01:01.400 --> 00:01:04.200]  在手機的短信裡留下了一個遺言
[00:01:04.200 --> 00:01:07.600]  她說 親愛的寶貝 如果你能夠活著
[00:01:07.600 --> 00:01:09.800]  一定要記住 我愛你
[00:01:09.800 --> 00:01:13.200]  勇敢的推動力 是母愛
[00:01:13.200 --> 00:01:17.200]  在SARS期間 主動要求去搶救病人
[00:01:17.200 --> 00:01:20.200]  而殉職的醫生我們記得 謝遠文
[00:01:20.200 --> 00:01:24.000]  勇敢的推動力 是使命 是責任 是愛
[00:01:24.800 --> 00:01:26.800]  不一定要很多的大人物
[00:01:26.800 --> 00:01:28.800]  一個很平凡的小孩子
[00:01:28.800 --> 00:01:31.800]  一個病患 留院的小孩子
[00:01:31.800 --> 00:01:36.800]  流著眼淚 任由醫生叔叔抽血給你打針
[00:01:36.800 --> 00:01:41.800]  他的勇敢的推動力 可能是想快點回家 想快點痊癒
[00:01:41.800 --> 00:01:46.200]  在福音書裡 我們看到一群昔日
[00:01:46.200 --> 00:01:51.200]  更從耶穌的時候 表現得一般般的門徒
[00:01:51.200 --> 00:01:54.400]  他們面對風浪 他們膽怯
[00:01:54.400 --> 00:01:56.400]  他們爭誰大
[00:01:56.400 --> 00:01:59.400]  赫西瑪利云不能夠警醒 在睡覺
[00:01:59.400 --> 00:02:02.400]  耶穌被捕的時候 他們雞飛狗走
[00:02:02.400 --> 00:02:06.400]  我們很詫異 為什麼赤道行傳的時候
[00:02:06.400 --> 00:02:09.400]  成為初期教會的中流砥柱
