
[00:00:00.000 --> 00:00:02.960]  在美國紐約的曼哈頓區
[00:00:02.960 --> 00:00:06.760]  有一個印第安人和一個美國人在聊天
[00:00:06.760 --> 00:00:09.400]  聊了幾下,突然間那個印第安人就說
[00:00:09.400 --> 00:00:12.960]  喂!你聽不聽見蟬叫聲?
[00:00:12.960 --> 00:00:15.680]  蟬叫聲?這裡是哪裡?
[00:00:15.680 --> 00:00:18.920]  這裡是曼哈頓區最繁忙的第五街
[00:00:18.920 --> 00:00:22.000]  你聽見蟬叫聲?不要玩了
[00:00:22.000 --> 00:00:25.600]  於是這個印第安人就帶了這個美國人
[00:00:25.600 --> 00:00:27.720]  走去一棵樹的底下
[00:00:27.720 --> 00:00:29.400]  大家認真聽一下
[00:00:29.400 --> 00:00:33.440]  那個美國人就真的集中精神去聽
[00:00:33.440 --> 00:00:35.920]  真的聽見蟬叫聲
[00:00:35.920 --> 00:00:38.960]  他就說你的聽覺真是好
[00:00:38.960 --> 00:00:41.840]  那個印第安人就說不是我的聽覺好
[00:00:41.840 --> 00:00:43.720]  而是這裡經過的人
[00:00:43.720 --> 00:00:46.720]  心裡面都擺滿了其他的東西
[00:00:46.720 --> 00:00:49.360]  於是他們聽不到蟬叫聲
[00:00:49.360 --> 00:00:51.280]  不信的話我做個實驗給你看
[00:00:51.280 --> 00:00:54.920]  於是就在袋裡拿了一堆銀幣出來
[00:00:54.920 --> 00:00:56.080]  一拋
[00:00:56.080 --> 00:01:00.680]  當然掉下來,大家都停下來看
[00:01:00.680 --> 00:01:04.960]  看看發生什麼事,叮叮噹噹
[00:01:04.960 --> 00:01:06.840]  大家看《藥書話記》的時候
[00:01:06.840 --> 00:01:10.720]  不知道心裡面都會不會放著其他東西
[00:01:10.720 --> 00:01:13.320]  以致神藉著《藥書話記》跟我們說的東西
[00:01:13.320 --> 00:01:16.240]  我們未必聽得很清楚
[00:01:16.240 --> 00:01:19.280]  什麼其他東西呢?就不是那些銀幣
[00:01:19.280 --> 00:01:20.720]  而在聖經裡面
[00:01:20.720 --> 00:01:22.680]  特別是《藥書話記》裡面
[00:01:22.680 --> 00:01:26.880]  很多血腥暴力的場面
[00:01:26.880 --> 00:01:28.280]  令我們想起
[00:01:28.280 --> 00:01:32.760]  這個會不會是坊間所說的種族滅絕
[00:01:32.760 --> 00:01:34.400]  種族清洗
[00:01:34.400 --> 00:01:36.200]  種族大屠殺呢?
[00:01:36.200 --> 00:01:37.640]  其實很多無神論者
[00:01:37.640 --> 00:01:41.440]  都是用這些根據來攻擊聖經的
[00:01:41.440 --> 00:01:44.800]  今天當我們看《藥書話記》
[00:01:44.800 --> 00:01:48.440]  第十章28至43節的時候
[00:01:48.440 --> 00:01:51.960]  確是好像證實這種說法
[00:01:51.960 --> 00:01:53.960]  這十三節的聖經是在說
[00:01:53.960 --> 00:01:59.720]  約書亞攻擊加南地的南部的八個城市
[00:01:59.720 --> 00:02:01.400]  短短的十三節聖經
[00:02:01.400 --> 00:02:03.280]  希伯來園文已經出現
[00:02:03.280 --> 00:02:05.040]  不斷地出現在這三個字
[00:02:05.040 --> 00:02:06.240]  是什麼呢?
