
[00:00:00.000 --> 00:00:02.000]  各位影子每日早晨
[00:00:02.000 --> 00:00:04.000]  今日的講題是
[00:00:04.000 --> 00:00:08.000]  「不時依靠勢力,不時依靠才能」
[00:00:08.000 --> 00:00:13.000]  經文就在《使徒行傳》十三章一至五節
[00:00:13.000 --> 00:00:16.000]  我們一齊讀這段經文
[00:00:16.000 --> 00:00:17.000]  第一節
[00:00:17.000 --> 00:00:19.000]  在安提柯的教會中
[00:00:19.000 --> 00:00:22.000]  有幾位先知和教師
[00:00:22.000 --> 00:00:27.000]  就是巴拿巴和清夫尼潔的西面
[00:00:27.000 --> 00:00:30.000]  古里內人路求
[00:00:30.000 --> 00:00:36.000]  與昏風之王希律同樣的馬廉並掃羅
[00:00:36.000 --> 00:00:39.000]  他們侍奉主禁食的時候
[00:00:39.000 --> 00:00:41.000]  聖靈說
[00:00:41.000 --> 00:00:44.000]  要為我分派巴拿巴和掃羅
[00:00:44.000 --> 00:00:48.000]  去做我照他們所做的工
[00:00:48.000 --> 00:00:50.000]  於是禁食禱告
[00:00:50.000 --> 00:00:53.000]  按守在他們頭上
[00:00:53.000 --> 00:00:56.000]  就打發他們去了
[00:00:56.000 --> 00:00:59.000]  他們既被聖靈差遣
[00:00:59.000 --> 00:01:01.000]  就下到西流基
[00:01:01.000 --> 00:01:06.000]  從那裡坐船往塞浦路斯去
[00:01:06.000 --> 00:01:08.000]  到了薩拉米
[00:01:08.000 --> 00:01:14.000]  就在猶太人國會堂裡全港神的道
[00:01:14.000 --> 00:01:18.000]  也有約翰作他們的幫手
[00:01:18.000 --> 00:01:21.000]  我們在這個故事開始
[00:01:21.000 --> 00:01:24.000]  在這個講題開始之前
[00:01:24.000 --> 00:01:27.000]  有一個故事想跟大家分享
[00:01:27.000 --> 00:01:30.000]  話說有一位牧者
[00:01:30.000 --> 00:01:35.000]  他被邀請到一間老人院探訪
[00:01:35.000 --> 00:01:38.000]  他特別是探訪一位長者
[00:01:38.000 --> 00:01:40.000]  並且要為他祈禱
[00:01:40.000 --> 00:01:43.000]  在傾談和禱告的過程當中
[00:01:43.000 --> 00:01:47.000]  這位牧者很受感動
[00:01:47.000 --> 00:01:49.000]  他心裏面就想
[00:01:49.000 --> 00:01:56.000]  如果有志願者能夠長期定期去探望
[00:01:56.000 --> 00:01:59.000]  或者探訪這班長者
[00:01:59.000 --> 00:02:03.000]  並且為他們禱告就真是太好了
[00:02:03.000 --> 00:02:06.000]  後來原來這位牧者
[00:02:06.000 --> 00:02:09.000]  自己就成為了志願者
[00:02:09.000 --> 00:02:12.000]  有一天這位牧者
[00:02:12.000 --> 00:02:16.000]  他也恆常去到這間老人院探訪
[00:02:16.000 --> 00:02:19.000]  他在大廳放了一張
[00:02:19.000 --> 00:02:25.000]  寫著「免費代討」的牌
[00:02:25.000 --> 00:02:27.000]  放在這張桌子上
[00:02:27.000 --> 00:02:28.000]  你們猜猜
[00:02:28.000 --> 00:02:32.000]  有沒有人來到這位牧者面前
[00:02:32.000 --> 00:02:35.000]  去請這位牧者為自己去禱告呢?
[00:02:35.000 --> 00:02:38.000]  大家聽完這個故事的時候
[00:02:38.000 --> 00:02:39.000]  會不會覺得
[00:02:39.000 --> 00:02:43.000]  這位牧者這麼奇怪呢?
[00:02:43.000 --> 00:02:45.000]  其實一點也不奇怪
[00:02:45.000 --> 00:02:48.000]  因為我們燒浸的崇拜
[00:02:48.000 --> 00:02:50.000]  都有這個服侍
[00:02:50.000 --> 00:02:53.000]  一班祈禱隊的隊員
[00:02:53.000 --> 00:02:57.000]  會在崇拜前45分鐘
[00:02:57.000 --> 00:02:59.000]  去到祈禱房裡
