
[00:00:00.000 --> 00:00:03.000]  歡迎大家來到我們的周六神拜
[00:00:03.000 --> 00:00:07.000]  今年五月我們開始了一個新的講道系列
[00:00:07.000 --> 00:00:09.000]  耀華華的十誡
[00:00:09.000 --> 00:00:11.000]  耶穌基督的十誡
[00:00:11.000 --> 00:00:15.000]  聖經中的十誡究竟有哪十誡呢?
[00:00:15.000 --> 00:00:20.000]  一開始的時候是一組關於上帝的三胞胎
[00:00:20.000 --> 00:00:22.000]  別無他臣
[00:00:22.000 --> 00:00:23.000]  別無他象
[00:00:23.000 --> 00:00:25.000]  別無他名
[00:00:25.000 --> 00:00:29.000]  接著有兩個正面的誡命
[00:00:29.000 --> 00:00:31.000]  理論當紀念安息日
[00:00:31.000 --> 00:00:34.000]  接著你們當孝敬父母
[00:00:34.000 --> 00:00:39.000]  這五條誡命會陪伴到我們今年的年底
[00:00:39.000 --> 00:00:43.000]  接著到2024年的開始
[00:00:43.000 --> 00:00:46.000]  我們開始十誡的下半部
[00:00:46.000 --> 00:00:47.000]  不可殺人
[00:00:47.000 --> 00:00:48.000]  不可姦淫
[00:00:48.000 --> 00:00:49.000]  不可偷渡
[00:00:49.000 --> 00:00:52.000]  是一個有關淪寫的三胞胎
[00:00:52.000 --> 00:00:57.000]  接著最後再加上兩個比較特殊的負面誡命
[00:00:57.000 --> 00:00:59.000]  不可作假見證
[00:00:59.000 --> 00:01:02.000]  最後是不可貪能
[00:01:02.000 --> 00:01:08.000]  這五條誡命就會帶領我們度過2024年的頭半年
[00:01:08.000 --> 00:01:10.000]  所以我們今年可以講到十誡的一半
[00:01:10.000 --> 00:01:11.000]  到了第五誡
[00:01:11.000 --> 00:01:13.000]  接著下一年開始
[00:01:13.000 --> 00:01:19.000]  我們需要半年的時間再講完後面的五誡
[00:01:19.000 --> 00:01:22.000]  兩個星期前我們完成了第二誡
[00:01:22.000 --> 00:01:23.000]  別無他象
[00:01:23.000 --> 00:01:28.000]  今天我們要開始講的是第三條誡命
[00:01:28.000 --> 00:01:30.000]  別無他明
[00:01:30.000 --> 00:01:31.000]  如果大家記得
[00:01:31.000 --> 00:01:36.000]  我們是以三部曲的形式去講每一條誡命
[00:01:36.000 --> 00:01:38.000]  每一條誡命都有三篇
[00:01:38.000 --> 00:01:40.000]  第一部曲是舊約篇
[00:01:40.000 --> 00:01:42.000]  第二部曲是新約篇
[00:01:42.000 --> 00:01:46.000]  接著到第三部曲是一個綜合篇
[00:01:46.000 --> 00:01:48.000]  整合了第一和第二部曲
[00:01:48.000 --> 00:01:54.000]  再延伸到今天的世界去作形容
[00:01:54.000 --> 00:01:58.000]  我們之所以這麼繁複地去研讀每一條誡命
[00:01:58.000 --> 00:02:00.000]  其實是有原因的
[00:02:00.000 --> 00:02:07.000]  原因是因為上帝給了我們一架宏偉響亮的Grand Piano
[00:02:07.000 --> 00:02:14.000]  上帝給了我們一個很大很Grand的鋼琴
[00:02:14.000 --> 00:02:17.000]  這個鋼琴裏面有低音的部分
[00:02:17.000 --> 00:02:19.000]  這個鋼琴裏面有高音的部分
[00:02:19.000 --> 00:02:24.000]  中間還有一個極其重要的叫做Middle C
[00:02:24.000 --> 00:02:26.000]  如果你有彈過琴就知道
[00:02:26.000 --> 00:02:29.000]  第一個琴鍵你要學的是Middle C
[00:02:29.000 --> 00:02:32.000]  聖經的Middle C是一個Double C
[00:02:32.000 --> 00:02:34.000]  Christ Crucified
[00:02:34.000 --> 00:02:39.000]  釘在十字架上的基督就是這個Christ Crucified
[00:02:39.000 --> 00:02:45.000]  將舊約的低音和新約的高音連結在一起
[00:02:45.000 --> 00:02:48.000]  很多時候我們去港島的時候
[00:02:48.000 --> 00:02:51.000]  我們的港島視野其實是非常狹窄
[00:02:51.000 --> 00:02:53.000]  我們彈來彈去只有兩個音
[00:02:53.000 --> 00:02:57.000]  好像剛剛初學的人彈琴就是叮叮噹噹
[00:02:57.000 --> 00:02:59.000]  只有兩個音
[00:02:59.000 --> 00:03:03.000]  但是你看看上帝給我們的這個Grand Piano
[00:03:03.000 --> 00:03:06.000]  這個很宏偉的鋼琴有多少個琴鍵呢
[00:03:06.000 --> 00:03:08.000]  1,189個琴鍵
[00:03:08.000 --> 00:03:11.000]  1,189章的聖經
[00:03:11.000 --> 00:03:17.000]  1,189個緊密連貫息息相關的琴鍵
[00:03:17.000 --> 00:03:23.000]  當然我們不可能在每一篇都是用盡所有琴鍵
[00:03:23.000 --> 00:03:26.000]  沒有一首歌是用盡所有的琴鍵
[00:03:26.000 --> 00:03:29.000]  但是我們必須要想辦法
[00:03:29.000 --> 00:03:32.000]  盡用上帝給我們的這個Grand Piano
[00:03:32.000 --> 00:03:35.000]  上帝不是給我們一個玩具
[00:03:35.000 --> 00:03:36.000]  在叮叮噹噹兩下
[00:03:36.000 --> 00:03:38.000]  上帝給了我們Grand Piano
[00:03:38.000 --> 00:03:40.000]  我們要用盡這個Piano
[00:03:40.000 --> 00:03:44.000]  去宣講上帝全盤的旨意
[00:03:44.000 --> 00:03:47.000]  保羅在《試圖行傳》第二十章裏面
[00:03:47.000 --> 00:03:50.000]  他說保羅我將上帝全盤的旨意
[00:03:50.000 --> 00:03:52.000]  講給你們聽
[00:03:52.000 --> 00:03:54.000]  保羅在業博所三年的時候
[00:03:54.000 --> 00:03:56.000]  他用三年的時候將上帝全盤的旨意
[00:03:56.000 --> 00:03:58.000]  The whole counsel of God
