
[00:00:00.000 --> 00:00:03.400]  羅馬書講到第四講
[00:00:03.400 --> 00:00:07.100]  羅馬書的一章十八至三十二節
[00:00:07.100 --> 00:00:09.400]  我們講了三講是什麼?
[00:00:09.400 --> 00:00:11.800]  第一講是羅馬書的介紹
[00:00:11.800 --> 00:00:13.000]  第二講
[00:00:13.000 --> 00:00:15.800]  頭七節的經文在第一章
[00:00:15.800 --> 00:00:19.200]  是將整部羅馬書濃縮了
[00:00:19.200 --> 00:00:21.000]  是一個總結
[00:00:21.000 --> 00:00:22.500]  然後上一次
[00:00:22.500 --> 00:00:25.000]  保羅對羅馬教會說
[00:00:25.000 --> 00:00:28.800]  他願意用心靈誠實來侍奉他們
[00:00:28.800 --> 00:00:33.100]  為他去到羅馬作好準備
[00:00:33.100 --> 00:00:35.800]  今天進入主題
[00:00:35.800 --> 00:00:37.800]  進入神學
[00:00:37.800 --> 00:00:42.000]  要講的就是恩信清義的福音
[00:00:42.000 --> 00:00:44.200]  我今天給它的主題叫
[00:00:44.200 --> 00:00:48.000]  「神該定無知者的罪嗎?」
[00:00:48.000 --> 00:00:50.000]  這樣的一個問題
[00:00:50.000 --> 00:00:52.900]  在基督教的內外
[00:00:52.900 --> 00:00:57.400]  千幾二千年被人討論
[00:00:57.400 --> 00:00:59.200]  究竟如果一個人
[00:00:59.200 --> 00:01:01.100]  完全未聽過福音
[00:01:01.100 --> 00:01:04.100]  神應不應該定他的罪?
[00:01:04.100 --> 00:01:06.800]  看我們人怎麼說
[00:01:06.800 --> 00:01:08.600]  中國人怎麼說
[00:01:08.600 --> 00:01:11.100]  「不知者不罪」
[00:01:11.100 --> 00:01:14.000]  看著2020年的元旦
[00:01:14.000 --> 00:01:16.000]  在香港的旺角
[00:01:16.000 --> 00:01:21.300]  有四名男子涉嫌襲擊一位便衣警察
[00:01:21.300 --> 00:01:25.200]  這位便衣警察受到重傷
[00:01:25.200 --> 00:01:28.400]  事後這四名男子都被捕
[00:01:28.400 --> 00:01:31.400]  在西九龍的法院被裁判
[00:01:31.400 --> 00:01:35.400]  兩名男子襲警罪名成立
[00:01:35.400 --> 00:01:37.200]  其他那兩個
[00:01:37.200 --> 00:01:38.200]  他們說
[00:01:38.200 --> 00:01:41.400]  「我們不知道原來看水」
[00:01:41.400 --> 00:01:44.600]  「原來把風都是犯罪」
[00:01:44.600 --> 00:01:46.600]  「法官大人你要輕判」
[00:01:46.600 --> 00:01:48.600]  「我們真的不知道」
[00:01:48.600 --> 00:01:50.600]  法官說「你們說得對」
[00:01:50.600 --> 00:01:52.200]  「不知者不罪」
[00:01:52.200 --> 00:01:56.000]  「我就輕判你們入獄三個月」
[00:01:56.000 --> 00:01:58.400]  原來人間的法庭
[00:01:58.400 --> 00:02:00.800]  真是「不知者不罪」
[00:02:00.800 --> 00:02:03.600]  但是天上的法庭又是怎樣呢?
[00:02:03.600 --> 00:02:06.400]  神的判斷又會是怎樣呢?
[00:02:06.400 --> 00:02:08.400]  我們一起來看看
[00:02:08.400 --> 00:02:10.200]  如果大家記得
[00:02:10.200 --> 00:02:12.200]  上一次我跟大家說了
[00:02:12.200 --> 00:02:14.600]  羅馬書的一章十七節
[00:02:14.600 --> 00:02:17.000]  和三章二十一節
[00:02:17.000 --> 00:02:20.000]  一頭一尾兩節的經文說什麼?
[00:02:20.000 --> 00:02:23.200]  「義人必因信得身」
[00:02:23.200 --> 00:02:25.200]  中間夾著的經文
[00:02:25.200 --> 00:02:27.400]  就是最重要的訊息
[00:02:27.400 --> 00:02:28.800]  就是告訴我們
[00:02:28.800 --> 00:02:31.600]  每一個人都犯了罪
[00:02:31.600 --> 00:02:35.400]  每個人都在神的憤怒之下
[00:02:35.400 --> 00:02:37.600]  我們需要耶穌基督的義
[00:02:37.600 --> 00:02:39.200]  披在我們的身上
[00:02:39.200 --> 00:02:42.800]  才能夠逃脫神的審判
[00:02:42.800 --> 00:02:45.400]  神的憤怒
[00:02:45.400 --> 00:02:48.800]  我們才能夠與神和好
[00:02:48.800 --> 00:02:55.000]  這就是羅馬書中很重要的訊息
[00:02:55.000 --> 00:02:58.000]  我們剛才讀的經文
