
[00:00:00.000 --> 00:00:02.000]  第一節目今日我們這段經文
[00:00:02.000 --> 00:00:04.000]  大家讀的時候
[00:00:04.000 --> 00:00:06.000]  不知道有沒有發覺
[00:00:06.000 --> 00:00:08.000]  其實都似曾相識
[00:00:08.000 --> 00:00:10.000]  應該不是很多人
[00:00:10.000 --> 00:00:12.000]  第一次讀除了我們的新來賓
[00:00:12.000 --> 00:00:14.000]  是不是
[00:00:14.000 --> 00:00:16.000]  第一節目應該讀過這段經文
[00:00:16.000 --> 00:00:18.000]  講到都應該講過了
[00:00:18.000 --> 00:00:20.000]  是不是
[00:00:20.000 --> 00:00:22.000]  好嘢
[00:00:22.000 --> 00:00:24.000]  其實這段經文
[00:00:24.000 --> 00:00:26.000]  是今年年頭講過的
[00:00:28.000 --> 00:00:30.000]  但當我一路去求問神的時候
[00:00:30.000 --> 00:00:32.000]  原來不經意
[00:00:32.000 --> 00:00:34.000]  又是回到這段經文裏
[00:00:34.000 --> 00:00:36.000]  不同的地方就是
[00:00:36.000 --> 00:00:38.000]  今年年頭講的時候
[00:00:38.000 --> 00:00:40.000]  是用馬太福音
[00:00:40.000 --> 00:00:42.000]  講的就是
[00:00:42.000 --> 00:00:44.000]  我們怎樣可以建立一個屬靈的生命
[00:00:44.000 --> 00:00:46.000]  但是不覺不覺
[00:00:46.000 --> 00:00:48.000]  原來
[00:00:48.000 --> 00:00:50.000]  這個是什麼月份
[00:00:50.000 --> 00:00:52.000]  十一月
[00:00:52.000 --> 00:00:54.000]  即是在邁尾
[00:00:54.000 --> 00:00:56.000]  下個月就是聖誕
[00:00:56.000 --> 00:00:58.000]  是不是
[00:00:58.000 --> 00:01:00.000]  不覺不覺原來一年
[00:01:00.000 --> 00:01:02.000]  容易又聖誕
[00:01:02.000 --> 00:01:04.000]  時間過得很快
[00:01:04.000 --> 00:01:06.000]  今日其實我們再次去講
[00:01:06.000 --> 00:01:08.000]  這段經文的時候
[00:01:08.000 --> 00:01:10.000]  可能神是要提醒我們
[00:01:10.000 --> 00:01:14.000]  讓我們有一個
[00:01:14.000 --> 00:01:16.000]  按他心意侍奉的目標
[00:01:16.000 --> 00:01:18.000]  讓我們跟隨他的時候
[00:01:18.000 --> 00:01:20.000]  我們就能夠
[00:01:20.000 --> 00:01:22.000]  寫幾背十格
[00:01:22.000 --> 00:01:24.000]  來跟隨他
[00:01:24.000 --> 00:01:26.000]  其實今日主要的經文
[00:01:26.000 --> 00:01:28.000]  很短的
[00:01:28.000 --> 00:01:30.000]  在34至38節
[00:01:30.000 --> 00:01:32.000]  剛才我們讀的經文
[00:01:32.000 --> 00:01:34.000]  是講一些背景
[00:01:34.000 --> 00:01:36.000]  我們溫習一些背景
[00:01:36.000 --> 00:01:38.000]  我們看看這個PowerPoint
[00:01:38.000 --> 00:01:40.000]  在29節那裏
[00:01:40.000 --> 00:01:44.000]  在29節那裏主耶穌
[00:01:44.000 --> 00:01:46.000]  問門徒他是誰
[00:01:46.000 --> 00:01:48.000]  然後彼得就來到
[00:01:48.000 --> 00:01:50.000]  回應
[00:01:50.000 --> 00:01:52.000]  你就是基督
[00:01:54.000 --> 00:01:56.000]  因為耶穌就是基督
[00:01:56.000 --> 00:01:58.000]  這個在整本科幻書裏
[00:01:58.000 --> 00:02:00.000]  在我們整個信仰裏很重要
[00:02:00.000 --> 00:02:02.000]  為什麼我們要信耶穌
[00:02:02.000 --> 00:02:04.000]  不信摩西
[00:02:04.000 --> 00:02:06.000]  是不是
[00:02:06.000 --> 00:02:08.000]  因為耶穌就是基督
[00:02:08.000 --> 00:02:10.000]  是那位的救主
[00:02:10.000 --> 00:02:12.000]  是那位的彌賽亞
[00:02:12.000 --> 00:02:14.000]  但是
[00:02:14.000 --> 00:02:16.000]  這是彼得對耶穌
[00:02:16.000 --> 00:02:18.000]  的認識
[00:02:18.000 --> 00:02:20.000]  就是這個基督
[00:02:20.000 --> 00:02:22.000]  是一個能夠行神蹟的基督
[00:02:22.000 --> 00:02:24.000]  一個能夠去醫病
[00:02:24.000 --> 00:02:26.000]  趕鬼的基督
[00:02:26.000 --> 00:02:28.000]  一個很有學識
[00:02:28.000 --> 00:02:30.000]  講話很有道理的基督
[00:02:30.000 --> 00:02:32.000]  這個是彼得
[00:02:32.000 --> 00:02:34.000]  對耶穌的認識
[00:02:34.000 --> 00:02:36.000]  但是接下來
[00:02:36.000 --> 00:02:38.000]  我們看31節那裏
[00:02:38.000 --> 00:02:44.000]  耶穌就告訴
[00:02:44.000 --> 00:02:46.000]  門徒聽
[00:02:46.000 --> 00:02:48.000]  他這個基督
[00:02:48.000 --> 00:02:50.000]  除了能夠行神蹟之外
[00:02:50.000 --> 00:02:52.000]  他還是一個怎樣的基督
[00:02:52.000 --> 00:02:54.000]  他的終局是怎樣
[00:02:54.000 --> 00:02:58.000]  就是他必須
[00:02:58.000 --> 00:03:00.000]  受許多的苦
[00:03:00.000 --> 00:03:02.000]  他必須被殺
[00:03:02.000 --> 00:03:04.000]  不過不要緊
