
[00:00:00.000 --> 00:00:05.260]  講到祝福,我們今天跟大家思想繼續的主題
[00:00:05.260 --> 00:00:08.980]  就是「迎接所盼望的福」
[00:00:08.980 --> 00:00:15.200]  在今年我們教會的主題就是「等候所盼望的福」的時候
[00:00:15.200 --> 00:00:18.860]  我就很自然想到彼得書信
[00:00:18.860 --> 00:00:24.940]  因為彼得是一位可以說上星期跟大家說過的盼望的仕途
[00:00:24.940 --> 00:00:29.820]  在他的書信裏,帶我們去思想和確定
[00:00:29.820 --> 00:00:34.620]  我們這個永恆盼望的確實和重要
[00:00:34.620 --> 00:00:38.540]  所以我們會一直思想一下
[00:00:38.540 --> 00:00:43.340]  彼得給我們的勸勉,成為我們的幫助
[00:00:43.340 --> 00:00:47.740]  當時他所寫信的對象就是正在面對逼迫
[00:00:47.740 --> 00:00:51.660]  和在生活上諸多困難的一班信徒
[00:00:51.660 --> 00:00:56.260]  分散各地,是一個很廣泛的一種情況
[00:00:56.260 --> 00:01:00.100]  但是同時間亦帶給所有信徒
[00:01:00.100 --> 00:01:01.820]  無論在哪個地方
[00:01:01.820 --> 00:01:04.460]  甚至超越時間空間
[00:01:04.460 --> 00:01:07.580]  成為我們很大的鼓勵
[00:01:07.580 --> 00:01:12.140]  因為唯有基督是我們真正的力量
[00:01:12.140 --> 00:01:15.540]  讓我們能夠活出豐盛的生命
[00:01:15.540 --> 00:01:20.820]  上星期我們講了彼得前書第一章的頭三節
[00:01:20.820 --> 00:01:24.100]  就是在主裏面我們有活潑的盼望
[00:01:24.100 --> 00:01:26.420]  這正是彼得一開宗明義
[00:01:26.420 --> 00:01:29.940]  來講出這封書信給我們的主題
[00:01:29.940 --> 00:01:31.340]  在耶穌基督裏面
[00:01:31.340 --> 00:01:33.740]  我們能夠有活潑的盼望
[00:01:33.740 --> 00:01:35.140]  The Living Hope
[00:01:35.140 --> 00:01:38.420]  因為我們有一位The Living Lord
[00:01:38.420 --> 00:01:41.060]  真正經歷到神是很真實的
[00:01:41.060 --> 00:01:42.860]  祂是活著的主
[00:01:42.860 --> 00:01:47.980]  祂是一位知道我們一切的需要
[00:01:47.980 --> 00:01:51.980]  和我們一起渡過我們人生每一個階段的上帝
[00:01:51.980 --> 00:01:53.780]  祂是活著的主
[00:01:53.780 --> 00:01:56.820]  在很需要的時候祂和我們講說話
[00:01:56.820 --> 00:02:00.660]  我們很需要的時候祂去賜下恩典
[00:02:00.660 --> 00:02:02.460]  所以我們有一個活潑的盼望
[00:02:02.460 --> 00:02:04.980]  今天我們來進一步看看
[00:02:04.980 --> 00:02:06.660]  我們既然有活潑的盼望
[00:02:06.660 --> 00:02:07.980]  彼得繼續講的時候
[00:02:07.980 --> 00:02:09.980]  我們有很多的福分
[00:02:09.980 --> 00:02:12.380]  我們要把握在今世的時候
[00:02:12.380 --> 00:02:16.780]  我們更加來存著一個迎接盼望的福
[00:02:16.780 --> 00:02:18.860]  來過我們的生活
[00:02:18.860 --> 00:02:20.580]  所以我們先來讀一讀這段經文
[00:02:20.580 --> 00:02:25.260]  接著由第三節開始接續上個星期的一節
[00:02:25.260 --> 00:02:27.580]  然後我們讀到十二節
[00:02:27.580 --> 00:02:30.140]  也是第一章彼得前書的經文
[00:02:30.140 --> 00:02:34.500]  我們在家的弟兄姊妹可以和聲音一起讀出
[00:02:34.500 --> 00:02:40.900]  願眾讚歸於我們主耶穌基督的父上帝
[00:02:40.900 --> 00:02:43.460]  他曾召自己的大聯盟
[00:02:43.460 --> 00:02:45.780]  藉耶穌基督從死裡復活
[00:02:45.780 --> 00:02:47.100]  重生了我們
[00:02:47.100 --> 00:02:50.060]  叫我們有活潑的盼望
[00:02:50.060 --> 00:02:52.460]  可以得著不能扭壞
[00:02:52.460 --> 00:02:53.980]  不能玷污
[00:02:53.980 --> 00:02:55.260]  不能衰殘
[00:02:55.260 --> 00:02:59.860]  為你們存留在天上的基業
[00:02:59.860 --> 00:03:04.580]  我們這因信蒙上帝能力保守的人
[00:03:04.580 --> 00:03:06.500]  必能得著所預備
[00:03:06.500 --> 00:03:09.980]  到末世要顯現的救恩
[00:03:09.980 --> 00:03:13.340]  因此你們是大有喜樂
[00:03:13.340 --> 00:03:18.060]  但如今在百般的試煉中暫時憂愁
[00:03:18.060 --> 00:03:20.900]  叫你們的信心既被試驗
[00:03:20.900 --> 00:03:26.900]  就比那被火試驗仍然能壞的金紙更顯寶貴
[00:03:26.900 --> 00:03:29.620]  可以在耶穌基督顯現的時候
[00:03:29.620 --> 00:03:34.220]  得著稱讚榮耀尊貴
[00:03:34.220 --> 00:03:36.820]  你們雖然沒有見過他
[00:03:36.820 --> 00:03:38.140]  卻是愛他
[00:03:38.140 --> 00:03:39.860]  如今雖不得看見
[00:03:39.860 --> 00:03:41.820]  但卻因信他
[00:03:41.820 --> 00:03:43.100]  就有說不出來
[00:03:43.100 --> 00:03:46.180]  滿有榮光的大喜樂
[00:03:46.180 --> 00:03:49.460]  並且得著你們信心的果孝
[00:03:49.460 --> 00:03:53.060]  就是靈魂的救恩
[00:03:53.060 --> 00:03:54.060]  輪到這救恩
[00:03:54.060 --> 00:03:58.020]  如先說你們要得恩典的眾先知
[00:03:58.020 --> 00:04:01.980]  早已詳細地尋求考察
[00:04:01.980 --> 00:04:06.620]  就是考察在他們心裡基督的靈
[00:04:06.620 --> 00:04:08.900]  如先證明基督受苦難
[00:04:08.900 --> 00:04:10.220]  後來得榮耀
[00:04:10.220 --> 00:04:13.940]  是指著什麼時候並怎樣的時候
[00:04:13.940 --> 00:04:17.860]  他們得了啟示知道他們所傳講的一切事
[00:04:17.860 --> 00:04:19.340]  不是為自己
[00:04:19.340 --> 00:04:20.820]  乃是為你們
[00:04:20.820 --> 00:04:23.500]  那靠著從天上差來的聖靈
[00:04:23.500 --> 00:04:25.260]  傳福音給你們的人
[00:04:25.260 --> 00:04:29.100]  現在將這些事報給你們
[00:04:29.100 --> 00:04:35.380]  天使也願意詳細察看這事
[00:04:35.380 --> 00:04:39.060]  所以我們看到這段經文裡
[00:04:39.060 --> 00:04:43.900]  彼得一開始提到我們活潑的盼望
