
[00:00:00.000 --> 00:00:04.540]  我們繼續看《羅馬書》第十二章第三節至第二十一節
[00:00:04.540 --> 00:00:08.300]  上次提到《羅馬書》第十二章第一至第二節時
[00:00:08.300 --> 00:00:13.680]  提到保羅分享救贖既然這麼偉大
[00:00:13.680 --> 00:00:15.860]  信徒其實是要回應的
[00:00:15.860 --> 00:00:17.580]  上次提到回應
[00:00:17.580 --> 00:00:21.020]  其實我們要把自己獻上當作活祭
[00:00:21.020 --> 00:00:23.020]  接下來的問題是
[00:00:23.020 --> 00:00:26.020]  把自己獻上當作活祭
[00:00:26.020 --> 00:00:29.440]  這個回應在實際的生活中
[00:00:29.440 --> 00:00:31.780]  究竟是怎樣的生活呢?
[00:00:31.780 --> 00:00:34.400]  接著保羅就去解釋了
[00:00:34.400 --> 00:00:36.400]  首先他說
[00:00:36.400 --> 00:00:39.440]  我憑著所賜我的恩對你們各人說
[00:00:39.440 --> 00:00:41.720]  不要看自己過於所蕩漢的
[00:00:41.720 --> 00:00:45.120]  要照著神所分給各人信心的大小
[00:00:45.120 --> 00:00:47.600]  看得合乎中度
[00:00:47.600 --> 00:00:50.720]  第一個他提醒我們
[00:00:50.720 --> 00:00:56.160]  其實是有一個正確正面的態度
[00:00:56.160 --> 00:00:58.040]  來去看自己
[00:00:58.040 --> 00:01:01.400]  用中庸的眼光來去看自己
[00:01:01.400 --> 00:01:04.760]  我們每個人在神的救贖計劃裏面
[00:01:04.760 --> 00:01:06.280]  都不是閒人
[00:01:06.280 --> 00:01:09.240]  也都不是無關重要的
[00:01:09.240 --> 00:01:12.160]  我們每個人都是在神的計劃當中
[00:01:12.160 --> 00:01:13.720]  神的救贖當中
[00:01:13.720 --> 00:01:15.520]  既然有份的時候
[00:01:15.520 --> 00:01:17.640]  神都看為我們是重要的
[00:01:17.640 --> 00:01:19.640]  雖然是這樣
[00:01:19.640 --> 00:01:22.960]  但是我們自己怎樣去看自己
[00:01:22.960 --> 00:01:26.120]  我們自身的態度是怎樣的呢?
[00:01:26.120 --> 00:01:28.880]  保羅說
[00:01:28.880 --> 00:01:31.120]  不要看自己過於所蕩漢的
[00:01:31.120 --> 00:01:33.920]  要照著神所分給各人信心的大小
[00:01:33.920 --> 00:01:35.200]  看得合乎中度
[00:01:35.200 --> 00:01:36.840]  第一樣就是說
[00:01:36.840 --> 00:01:40.400]  不要看自己過於重要
[00:01:40.400 --> 00:01:42.400]  不要看自己過於重要
[00:01:42.400 --> 00:01:46.200]  我們要按著神所給我們各人信心的大小
[00:01:46.200 --> 00:01:48.200]  看得合乎中度的意思就是說
[00:01:48.200 --> 00:01:50.200]  按著神給我們
[00:01:50.200 --> 00:01:54.880]  在對於神的信心當中
[00:01:54.880 --> 00:01:57.520]  我們看得合如其位
[00:01:57.520 --> 00:02:00.080]  我們不會看自己是過份重要的
[00:02:00.080 --> 00:02:02.080]  我們不會看自己是
[00:02:02.080 --> 00:02:04.480]  好像沒有了我不行的
[00:02:04.480 --> 00:02:06.640]  而我看自己
[00:02:06.640 --> 00:02:09.240]  就好像神給我有多大的信心
[00:02:09.240 --> 00:02:10.880]  神怎樣看我
[00:02:10.880 --> 00:02:12.880]  我亦都是怎樣看自己
[00:02:12.880 --> 00:02:14.560]  這是第一點
