
[00:00:00.000 --> 00:00:03.000]  我們過去一路都在講傳道書
[00:00:03.000 --> 00:00:09.000]  我們跟着所羅門一直的追尋他所謂的智慧的人生
[00:00:09.000 --> 00:00:12.000]  雖然我們有一陣子沒有講了
[00:00:12.000 --> 00:00:14.000]  但是我覺得我們不太容易忘記
[00:00:14.000 --> 00:00:15.000]  爲什麼呢
[00:00:15.000 --> 00:00:18.000]  因爲所羅門他所追尋的
[00:00:18.000 --> 00:00:24.000]  其實跟我們每天的生活很容易就連上線
[00:00:24.000 --> 00:00:26.000]  那麼我們上次講到了第十章
[00:00:26.000 --> 00:00:28.000]  一直到第十一節
[00:00:28.000 --> 00:00:30.000]  那麼第十章呢
[00:00:30.000 --> 00:00:32.000]  所羅門經過了這些追尋之後
[00:00:32.000 --> 00:00:34.000]  他到了第十章的時候
[00:00:34.000 --> 00:00:37.000]  他就開始把智慧跟愚昧
[00:00:37.000 --> 00:00:39.000]  把他在每天的生活當中
[00:00:39.000 --> 00:00:41.000]  當然不是所有的事情
[00:00:41.000 --> 00:00:42.000]  但是他所看到的
[00:00:42.000 --> 00:00:43.000]  把它列出來
[00:00:43.000 --> 00:00:45.000]  讓我們能夠看見
[00:00:45.000 --> 00:00:49.000]  我自己是覺得說很多時候我們可以跟他認同
[00:00:49.000 --> 00:00:53.000]  因爲他是一個很有智慧的
[00:00:53.000 --> 00:00:54.000]  從聖經上來講
[00:00:54.000 --> 00:00:55.000]  但是他呢
[00:00:55.000 --> 00:00:58.000]  因爲他的眼目離開了神耶和華神
[00:00:58.000 --> 00:00:59.000]  是他智慧的神
[00:00:59.000 --> 00:01:02.000]  他眼睛定睛在他的那些
[00:01:02.000 --> 00:01:04.000]  許許多多的妻子妾
[00:01:04.000 --> 00:01:06.000]  還有他的財物
[00:01:06.000 --> 00:01:07.000]  他的權利上面
[00:01:07.000 --> 00:01:08.000]  所以呢
[00:01:08.000 --> 00:01:12.000]  他就開始有疑惑了
[00:01:12.000 --> 00:01:14.000]  他不知道到底人生的目的是什麼
[00:01:14.000 --> 00:01:16.000]  那麼其實有的時候
[00:01:16.000 --> 00:01:17.000]  雖然我們沒有他那麼多的
[00:01:17.000 --> 00:01:19.000]  有他這麼多的太太
[00:01:19.000 --> 00:01:21.000]  我們也沒有他這麼多的財產
[00:01:21.000 --> 00:01:23.000]  我們也沒有他的這麼多的權利
[00:01:23.000 --> 00:01:25.000]  但是在我們有的東西上面
[00:01:25.000 --> 00:01:29.000]  很多時候會讓我們疑惑
[00:01:29.000 --> 00:01:31.000]  會讓我們不知道
[00:01:31.000 --> 00:01:33.000]  到底我這樣子做對不對
[00:01:33.000 --> 00:01:34.000]  我該不該
[00:01:34.000 --> 00:01:37.000]  或者是我要不要做什麼事情
[00:01:37.000 --> 00:01:38.000]  所以所羅門在第十章呢
[00:01:38.000 --> 00:01:39.000]  他就告訴我們
