
[00:00:00.000 --> 00:00:05.000]  各位領子妹,主內平安
[00:00:05.000 --> 00:00:07.000]  很開心可以一齊的敬拜主
[00:00:07.000 --> 00:00:15.000]  今天也很高興有十幾位的媳婦受浸加入教會
[00:00:15.000 --> 00:00:20.000]  也歡迎他們的親戚朋友一齊聚會
[00:00:20.000 --> 00:00:23.000]  敬拜我們的神
[00:00:23.000 --> 00:00:27.000]  過去幾年,香港和世界都變了很多
[00:00:27.000 --> 00:00:32.000]  人心惶惶,有時候真的覺得生活很艱難
[00:00:32.000 --> 00:00:37.000]  雖然防疫措施已經放寬了
[00:00:37.000 --> 00:00:43.000]  但是消費券都到手了
[00:00:43.000 --> 00:00:46.000]  有些人都說差不多用得七七八八了,是不是?
[00:00:46.000 --> 00:00:51.000]  但是好像我們人的心情都不是這麼開懷
[00:00:51.000 --> 00:00:55.000]  加上世界局勢變得這麼緊張
[00:00:55.000 --> 00:01:00.000]  很多人都會問,我們等到什麼時候呢?
[00:01:00.000 --> 00:01:03.000]  什麼時候生活才會有轉變呢?
[00:01:03.000 --> 00:01:07.000]  所以今天有弟兄姊妹受浸加入教會
[00:01:07.000 --> 00:01:10.000]  是很高興的一件事
[00:01:10.000 --> 00:01:14.000]  今時今日仍然願意在眾人面前
[00:01:14.000 --> 00:01:19.000]  去立志承認要跟隨耶穌
[00:01:19.000 --> 00:01:21.000]  很不容易
[00:01:21.000 --> 00:01:28.000]  我們知道,其實日子已經不能再回頭了
[00:01:28.000 --> 00:01:33.000]  我們舊有的生活常態已經不會再恢復
[00:01:33.000 --> 00:01:36.000]  我們仍然要保持社交距離
[00:01:36.000 --> 00:01:39.000]  檢疫的制度,網上購物
[00:01:39.000 --> 00:01:42.000]  線上學習,視訊會議
[00:01:42.000 --> 00:01:46.000]  或者是遠程的醫療服務
[00:01:46.000 --> 00:01:49.000]  網上實體雙線崇拜
[00:01:49.000 --> 00:01:52.000]  這些已經成為我們的習慣
[00:01:52.000 --> 00:01:54.000]  成為我們新的常態
[00:01:54.000 --> 00:01:58.000]  雖然全球外遊陸陸續續都開放
[00:01:58.000 --> 00:02:02.000]  有些人已經心動動,要去旅行了
[00:02:02.000 --> 00:02:05.000]  但是仍然有很多工場
[00:02:05.000 --> 00:02:07.000]  宣教的工場封鎖了
[00:02:07.000 --> 00:02:10.000]  尤其是一些創啟地區
[00:02:10.000 --> 00:02:14.000]  你要申請簽證,一點都不容易
[00:02:14.000 --> 00:02:20.000]  這樣看起來,福音是否沒有了傳福音的機遇呢?
[00:02:20.000 --> 00:02:25.000]  我們是否只能消極地期望要回頭
[00:02:25.000 --> 00:02:27.000]  好像以前那樣就好了
[00:02:27.000 --> 00:02:32.000]  還是我們正視後疫情的需要
[00:02:32.000 --> 00:02:34.000]  和善用新的常態
[00:02:34.000 --> 00:02:38.000]  今天我們所讀的經文是《菲勒比書》
[00:02:38.000 --> 00:02:41.000]  我相信很多人都知道
[00:02:41.000 --> 00:02:47.000]  《菲勒比書》是保羅在獄中寫成的
[00:02:47.000 --> 00:02:50.000]  保羅被監禁的事
[00:02:50.000 --> 00:02:52.000]  一般人想
[00:02:52.000 --> 00:02:57.000]  理應會使福音迅速萎縮
[00:02:57.000 --> 00:03:02.000]  或者教會理應在打壓之中解散
[00:03:02.000 --> 00:03:05.000]  基督教理應從此在馬其頓
[00:03:05.000 --> 00:03:08.000]  以及歐洲肖性歷積
[00:03:08.000 --> 00:03:11.000]  不過事實並不是這樣
[00:03:11.000 --> 00:03:13.000]  為甚麼呢?
[00:03:13.000 --> 00:03:17.000]  因為我們知道所信的是祂
[00:03:17.000 --> 00:03:21.000]  剛才施班所獻唱的詩歌很好
[00:03:21.000 --> 00:03:24.000]  讓我們成為一個強心針
[00:03:24.000 --> 00:03:26.000]  在我們仔細讀聖經之前
[00:03:26.000 --> 00:03:28.000]  我們一起低頭祈禱吧
[00:03:28.000 --> 00:03:33.000]  掌管萬有的主,我們敬拜你
[00:03:33.000 --> 00:03:36.000]  一切都在你的手裡
[00:03:36.000 --> 00:03:39.000]  求你打開我們的心
[00:03:39.000 --> 00:03:42.000]  引導我們明白你的話語
[00:03:42.000 --> 00:03:44.000]  好使我們知道
[00:03:44.000 --> 00:03:47.000]  在你的裡面沒有被限制
[00:03:47.000 --> 00:03:50.000]  幫助我們每一天都把握機遇
[00:03:50.000 --> 00:03:53.000]  去傳揚你美好的福音
[00:03:53.000 --> 00:03:56.000]  以下的時間恭敬交托
[00:03:56.000 --> 00:04:00.000]  禱告是奉我主耶穌基督復活德性的名求
[00:04:00.000 --> 00:04:02.000]  阿們
[00:04:03.000 --> 00:04:06.000]  保羅雖然身陷困境
[00:04:06.000 --> 00:04:10.000]  但是他並沒有自憐
[00:04:10.000 --> 00:04:13.000]  也沒有產生無可奈何
[00:04:13.000 --> 00:04:16.000]  聽天由命這些心情
[00:04:16.000 --> 00:04:19.000]  反而仍舊很積極地
[00:04:19.000 --> 00:04:24.000]  以他獨特的眼光去面對困境
[00:04:24.000 --> 00:04:28.000]  我們知道菲律賓傳卷書
[00:04:28.000 --> 00:04:33.000]  很多次都說喜樂歡歡喜喜
[00:04:33.000 --> 00:04:36.000]  保羅在坐牢的時候
[00:04:36.000 --> 00:04:38.000]  他仍然大發熱心
[00:04:38.000 --> 00:04:41.000]  仍然去傳揚福音
[00:04:41.000 --> 00:04:45.000]  他甚至說不是說福音
[00:04:45.000 --> 00:04:48.000]  仍然繼續擴展
[00:04:48.000 --> 00:04:51.000]  而是他說我所遭遇的事
[00:04:51.000 --> 00:04:55.000]  反而叫福音更加興旺
[00:04:55.000 --> 00:04:58.000]  保羅所遭遇的苦難和監禁
[00:04:58.000 --> 00:05:01.000]  反而使福音更加興旺
[00:05:01.000 --> 00:05:03.000]  為什麼會這樣呢
[00:05:03.000 --> 00:05:07.000]  因為他不是用肉眼去看事情
[00:05:07.000 --> 00:05:09.000]  而是從淑靈的角度
[00:05:09.000 --> 00:05:12.000]  去看到另一幅圖畫
[00:05:12.000 --> 00:05:15.000]  這就是淑靈的新道理
[00:05:15.000 --> 00:05:18.000]  新的視野新的常態
[00:05:18.000 --> 00:05:24.000]  他知道他為了什麼來避愁
[00:05:24.000 --> 00:05:26.000]  是因為基督的緣故
[00:05:26.000 --> 00:05:28.000]  是為了得著生命
[00:05:28.000 --> 00:05:30.000]  和可以為主作功
[00:05:30.000 --> 00:05:33.000]  於是使福音在兩個群體當中
[00:05:33.000 --> 00:05:36.000]  都興旺起來
[00:05:36.000 --> 00:05:38.000]  是更加興旺起來
[00:05:38.000 --> 00:05:41.000]  第一個群體是未信的人
[00:05:41.000 --> 00:05:45.000]  聖經第十三節這樣說
[00:05:45.000 --> 00:05:47.000]  我所遭遇的事
[00:05:47.000 --> 00:05:49.000]  更是叫福音興旺
[00:05:49.000 --> 00:05:51.000]  以致我受的困所
[00:05:51.000 --> 00:05:55.000]  在御刑全軍和其餘的人中
[00:05:55.000 --> 00:05:59.000]  已經顯明出來
[00:05:59.000 --> 00:06:03.000]  已經顯明是基督的緣故
[00:06:03.000 --> 00:06:06.000]  當一般人看見保羅坐牢
[00:06:06.000 --> 00:06:09.000]  就是代表福音受阻了
[00:06:09.000 --> 00:06:12.000]  保羅受挫教會受累
[00:06:12.000 --> 00:06:15.000]  保羅卻看到另一個看見
[00:06:15.000 --> 00:06:17.000]  就是他坐牢是出於
[00:06:17.000 --> 00:06:19.000]  主人數基督的微義
[00:06:19.000 --> 00:06:21.000]  為了得著福音
[00:06:21.000 --> 00:06:24.000]  為了得著生命
[00:06:24.000 --> 00:06:28.000]  因為平時不是那麼多機會
[00:06:28.000 --> 00:06:31.000]  會接觸到御刑全軍
[00:06:31.000 --> 00:06:33.000]  御刑全軍是什麼人呢
[00:06:33.000 --> 00:06:35.000]  其實是羅馬帝王
[00:06:35.000 --> 00:06:39.000]  貼身的禁衛軍
[00:06:39.000 --> 00:06:43.000]  如果不是保羅坐牢
[00:06:43.000 --> 00:06:44.000]  怎麼會有機會
[00:06:44.000 --> 00:06:47.000]  可以接觸到御刑全軍呢
[00:06:47.000 --> 00:06:50.000]  並且是能夠接觸到
[00:06:50.000 --> 00:06:52.000]  當時羅馬的人
[00:06:52.000 --> 00:06:54.000]  他們都知道
[00:06:54.000 --> 00:06:57.000]  都看見這個新的道理
[00:06:57.000 --> 00:06:59.000]  就是他坐牢是有
[00:06:59.000 --> 00:07:01.000]  耶穌基督的微義
[00:07:01.000 --> 00:07:03.000]  和主權的
[00:07:03.000 --> 00:07:06.000]  是因為耶穌基督的福音
[00:07:06.000 --> 00:07:07.000]  所以這一班人
[00:07:07.000 --> 00:07:08.000]  他都可以聽到
[00:07:08.000 --> 00:07:12.000]  耶穌基督的故事
[00:07:12.000 --> 00:07:16.000]  福音更加興旺
[00:07:16.000 --> 00:07:19.000]  第二批人是已經信了的人
[00:07:19.000 --> 00:07:21.000]  在第十四節
[00:07:21.000 --> 00:07:22.000]  一章十四節
[00:07:22.000 --> 00:07:23.000]  我們一起讀吧
[00:07:23.000 --> 00:07:25.000]  預備起
[00:07:25.000 --> 00:07:28.000]  並且那在主類的弟兄
[00:07:28.000 --> 00:07:30.000]  多半因我受的困所
[00:07:30.000 --> 00:07:32.000]  就督信不疑
[00:07:32.000 --> 00:07:35.000]  越發放膽傳神的道
[00:07:35.000 --> 00:07:37.000]  無所懼怕
[00:07:37.000 --> 00:07:38.000]  沒錯
[00:07:38.000 --> 00:07:40.000]  因為看見這個新的道理
[00:07:40.000 --> 00:07:44.000]  首先叫保羅放膽傳道
[00:07:44.000 --> 00:07:46.000]  繼而的就是叫
