
[00:00:00.000 --> 00:00:03.740]  好,我們今天會開始一個新的系列
[00:00:03.740 --> 00:00:06.080]  就會看以利亞
[00:00:06.080 --> 00:00:09.400]  其實我們以前看過以利沙的,不知道有沒有印象
[00:00:09.400 --> 00:00:14.500]  以利亞就是他的師父
[00:00:14.500 --> 00:00:20.160]  今天我們的經文是來自《獵王紀》上17章第一節開始
[00:00:20.160 --> 00:00:22.640]  去到24節,經文都比較長
[00:00:22.640 --> 00:00:26.780]  希望大家都可以多些忍耐
[00:00:26.780 --> 00:00:28.580]  我估計應該都不會超時的
[00:00:28.580 --> 00:00:34.600]  我們非常習慣會給自己信心的東西穿上一些外衣
[00:00:34.600 --> 00:00:38.280]  例如如果我們能夠多些穩定的收入
[00:00:38.280 --> 00:00:40.600]  健全些的醫療系統
[00:00:40.600 --> 00:00:43.400]  又或者多些良好的社交網絡
[00:00:43.400 --> 00:00:48.600]  資源充沛,甚至有一些更加完善的教會系統,什麼都好
[00:00:48.600 --> 00:00:51.180]  我們就會多些安全感
[00:00:51.180 --> 00:00:53.180]  我們就會安全多一些
[00:00:53.180 --> 00:00:56.960]  但是萬一這些外衣突然之間撕裂的時候
[00:00:56.960 --> 00:01:00.700]  我們信心到底剩下多少呢?
[00:01:00.700 --> 00:01:06.480]  《獵王紀》上17章記錄了以色列歷史裡面最黑暗的時代
[00:01:06.480 --> 00:01:08.760]  因為當時是哪一個打息呢?
[00:01:08.760 --> 00:01:11.440]  就是一個叫做阿哈王的人
[00:01:11.440 --> 00:01:13.440]  當時大概我們估計
[00:01:13.440 --> 00:01:18.620]  阿哈王已經一路離棄耶路撒冷,已經大概14年了
[00:01:18.620 --> 00:01:21.620]  阿哈王有一個老婆叫做耶洗別
[00:01:21.620 --> 00:01:28.080]  如果大家想生個女兒,又或者娶個孫子
[00:01:28.080 --> 00:01:31.040]  你又幫她改名字,就千萬不要改這個名字
[00:01:31.040 --> 00:01:35.040]  因為這個名字通常在舊約裡面都是沒有什麼人喜歡的
[00:01:35.040 --> 00:01:39.620]  這個基本上被定型為最邪惡的女人之一
[00:01:39.620 --> 00:01:44.640]  所以耶洗別當時就是將巴力的崇拜引進了進來
[00:01:44.640 --> 00:01:46.000]  到底巴力是什麼呢?
[00:01:46.000 --> 00:01:54.720]  巴力在迦南的神話裡面是被尊為掌管風雨雷電和農作物收成的神
[00:01:54.720 --> 00:02:01.600]  整個的以色列社會上到下都將生命的保障壓在巴力的身上
[00:02:01.600 --> 00:02:07.120]  他們認為只要有巴力,風調雨順就有保障
[00:02:07.120 --> 00:02:12.760]  只要拜巴力,經濟生活就應該不會有問題
[00:02:12.760 --> 00:02:19.060]  就在這個時候出現了一個人物,就叫做以利亞
[00:02:19.060 --> 00:02:24.440]  在第十七章的全章,從三個層面我們今天會看一個赤裸的信心
[00:02:24.440 --> 00:02:25.540]  什麼叫赤裸的信心?
[00:02:25.540 --> 00:02:33.060]  赤裸的信心第一就是甘於離開安全區,專心去仰賴神奇妙的供應
[00:02:33.060 --> 00:02:39.000]  聶王紀的上第十七章第一節,我們一起來看看,這節的經文比較長,一起讀出來,請讀
[00:02:39.000 --> 00:02:44.460]  提斯比人以利亞,就是從激烈的提斯比來的先知
[00:02:44.460 --> 00:02:51.500]  對亞哈說,我指著我所侍奉永活的耶和華以色列的上主起誓
[00:02:51.500 --> 00:02:57.880]  這幾年若沒有我的命令,天必不降路,也不下雨
