
[00:00:00.000 --> 00:00:02.880]  今天我們繼續升地網上行
[00:00:02.880 --> 00:00:08.680]  上一次我們講到阿巴拉罕的獻耳殺故事
[00:00:08.680 --> 00:00:10.000]  創世紀二十二章
[00:00:10.000 --> 00:00:13.120]  今天我們繼續看二十三章
[00:00:13.120 --> 00:00:16.760]  二十三章第一節開始要交代什麼呢
[00:00:16.760 --> 00:00:18.520]  就是撒拉
[00:00:18.520 --> 00:00:19.800]  叫做Matriarch
[00:00:19.800 --> 00:00:23.320]  撒拉是阿巴拉罕的妻子
[00:00:23.320 --> 00:00:26.640]  去世和埋葬的事蹟
[00:00:26.640 --> 00:00:28.280]  二十三章第一節
[00:00:28.280 --> 00:00:31.240]  撒拉享壽一百二十七歲
[00:00:31.240 --> 00:00:34.920]  就是撒拉一生的壽數
[00:00:34.920 --> 00:00:40.520]  撒拉死在迦南地的基列阿巴就是希伯倫
[00:00:40.520 --> 00:00:43.800]  阿巴拉罕為他哀動哭號
[00:00:43.800 --> 00:00:48.480]  後來阿巴拉罕從死人面前起來對客人說
[00:00:48.480 --> 00:00:52.760]  我在你們中間是外人是寄居的
[00:00:52.760 --> 00:00:56.160]  求你們將這裏給我一塊地
[00:00:56.160 --> 00:00:59.120]  我好埋葬我的死人使他們
[00:00:59.120 --> 00:01:01.560]  看他不在我眼前
[00:01:01.560 --> 00:01:06.520]  這裏就交代他在希伯倫這個地方
[00:01:06.520 --> 00:01:11.160]  他就找一塊埋葬的腹地
[00:01:11.160 --> 00:01:12.720]  我們叫做墓地
[00:01:12.720 --> 00:01:14.240]  就在這些客人面前
[00:01:14.240 --> 00:01:17.640]  客人是其中一些迦南地本地的人
[00:01:17.640 --> 00:01:21.120]  你知道阿巴拉罕是寄居者
[00:01:21.120 --> 00:01:25.640]  一生上帝呼召他來到迦南地的時候
[00:01:25.640 --> 00:01:29.080]  他在這裏做一個奴隸
[00:01:29.080 --> 00:01:31.320]  從來沒有自己的地方
[00:01:31.320 --> 00:01:35.680]  所以到阿巴拉罕的太太要離開這個世界
[00:01:35.680 --> 00:01:37.640]  撒拉終於離開的時候
[00:01:37.640 --> 00:01:43.640]  他就需要為她處理一些身後事
[00:01:43.640 --> 00:01:45.360]  有什麼好說呢
[00:01:45.360 --> 00:01:48.560]  埋葬一宗葬禮
[00:01:48.560 --> 00:01:51.360]  聖經裏面算是第一次
[00:01:51.360 --> 00:01:53.560]  比較有些細節
[00:01:53.560 --> 00:01:58.160]  來講一個埋葬的事蹟
[00:01:58.160 --> 00:01:59.920]  講到撒拉
[00:01:59.920 --> 00:02:01.920]  我們首先問一個問題
[00:02:01.920 --> 00:02:06.440]  就是葬禮有什麼意思
[00:02:06.440 --> 00:02:08.480]  特別是在近東的社會
[00:02:08.480 --> 00:02:11.400]  對於我們現代人來說當然是重要
[00:02:11.400 --> 00:02:14.280]  但在近東的社會更加重要
[00:02:14.280 --> 00:02:15.920]  在近東的社會裏面
[00:02:15.920 --> 00:02:20.120]  葬禮是一些honor and shame的事
[00:02:20.120 --> 00:02:21.600]  如果在這裏看到
[00:02:21.600 --> 00:02:22.960]  由下至上
[00:02:22.960 --> 00:02:29.800]  最底下的一種葬禮是最羞恥最羞辱的
[00:02:29.800 --> 00:02:32.040]  上面的就是最honor的
[00:02:32.040 --> 00:02:34.520]  所以按照當時社會的practice
[00:02:34.520 --> 00:02:36.880]  或者聖經裏面給我們的一些數據
[00:02:36.880 --> 00:02:40.560]  我們就知道一個人怎樣接受一個葬禮
[00:02:40.560 --> 00:02:41.920]  怎樣被埋葬
